time,lat,lon,vmax,mslp
2008-08-28 00:00:00,19.4,-57.3,30,1007
2008-08-28 03:00:00,19.5,-57.5,30,1006
2008-08-28 06:00:00,19.7,-57.8,30,1004
2008-08-28 09:00:00,19.9,-58.2,33,1004
2008-08-28 12:00:00,20.1,-58.6,35,1003
2008-08-28 15:00:00,20.3,-59.1,35,1003
2008-08-28 18:00:00,20.5,-59.6,35,1003
2008-08-28 21:00:00,20.7,-60.1,38,1002
2008-08-29 00:00:00,20.8,-60.5,40,1001
2008-08-29 03:00:00,20.9,-61.0,43,1001
2008-08-29 06:00:00,20.9,-61.5,45,1000
2008-08-29 09:00:00,21.0,-62.0,45,1000
2008-08-29 12:00:00,21.1,-62.4,45,1000
2008-08-29 15:00:00,21.3,-62.9,45,1000
2008-08-29 18:00:00,21.5,-63.4,45,1000
2008-08-29 21:00:00,21.6,-64.0,45,1000
2008-08-30 00:00:00,21.7,-64.5,45,1000
2008-08-30 03:00:00,21.8,-65.0,45,1000
2008-08-30 06:00:00,21.8,-65.5,45,1000
2008-08-30 09:00:00,21.8,-65.9,45,1000
2008-08-30 12:00:00,21.9,-66.2,45,1000
2008-08-30 15:00:00,22.0,-66.6,45,1000
2008-08-30 18:00:00,22.2,-66.9,45,1000
2008-08-30 21:00:00,22.4,-67.2,48,1000
2008-08-31 00:00:00,22.6,-67.5,50,999
2008-08-31 03:00:00,22.8,-67.9,48,999
2008-08-31 06:00:00,23.1,-68.5,45,999
2008-08-31 09:00:00,23.3,-69.1,43,999
2008-08-31 12:00:00,23.5,-69.8,40,999
2008-08-31 15:00:00,23.6,-70.4,40,998
2008-08-31 18:00:00,23.6,-71.0,40,997
2008-08-31 21:00:00,23.6,-71.4,43,997
2008-09-01 00:00:00,23.5,-71.7,45,997
2008-09-01 03:00:00,23.4,-71.9,48,997
2008-09-01 06:00:00,23.2,-72.0,50,996
2008-09-01 09:00:00,23.0,-72.1,55,993
2008-09-01 12:00:00,22.8,-72.2,60,990
2008-09-01 15:00:00,22.6,-72.3,65,988
2008-09-01 18:00:00,22.3,-72.4,70,985
2008-09-01 21:00:00,22.0,-72.3,73,981
2008-09-02 00:00:00,21.8,-72.3,75,977
2008-09-02 03:00:00,21.6,-72.5,70,979
2008-09-02 06:00:00,21.4,-72.7,65,980
2008-09-02 09:00:00,21.2,-72.9,63,982
2008-09-02 12:00:00,21.0,-73.0,60,983
2008-09-02 15:00:00,20.8,-73.0,58,984
2008-09-02 18:00:00,20.6,-72.9,55,985
2008-09-02 21:00:00,20.5,-72.8,55,987
2008-09-03 00:00:00,20.4,-72.6,55,988
2008-09-03 03:00:00,20.3,-72.5,53,990
2008-09-03 06:00:00,20.2,-72.4,50,991
2008-09-03 09:00:00,20.3,-72.1,48,994
2008-09-03 12:00:00,20.6,-71.9,45,996
2008-09-03 15:00:00,21.1,-71.8,48,995
2008-09-03 18:00:00,21.6,-71.8,50,994
2008-09-03 19:00:00,21.7,-71.8,50,994
2008-09-03 21:00:00,22.0,-71.8,52,992
2008-09-04 00:00:00,22.7,-71.8,55,989
2008-09-04 03:00:00,23.1,-72.0,58,990
2008-09-04 06:00:00,23.4,-72.4,60,990
2008-09-04 09:00:00,23.7,-72.8,58,990
2008-09-04 12:00:00,24.1,-73.2,55,989
2008-09-04 15:00:00,24.6,-73.7,55,989
2008-09-04 18:00:00,25.1,-74.3,55,989
2008-09-04 21:00:00,25.6,-75.0,55,988
2008-09-05 00:00:00,26.1,-75.8,55,987
2008-09-05 03:00:00,26.6,-76.6,55,986
2008-09-05 06:00:00,27.2,-77.3,55,984
2008-09-05 09:00:00,27.7,-78.0,55,982
2008-09-05 12:00:00,28.2,-78.5,55,980
2008-09-05 15:00:00,29.0,-78.6,58,980
2008-09-05 18:00:00,29.9,-78.7,60,980
2008-09-05 21:00:00,30.7,-79.1,60,980
2008-09-06 00:00:00,31.5,-79.3,60,980
2008-09-06 03:00:00,32.4,-79.1,60,981
2008-09-06 06:00:00,33.4,-78.8,60,981
2008-09-06 07:00:00,33.8,-78.7,60,981
2008-09-06 09:00:00,34.6,-78.5,54,983
2008-09-06 12:00:00,35.7,-78.1,45,985
2008-09-06 15:00:00,36.8,-77.5,45,989
2008-09-06 18:00:00,37.8,-76.7,45,993
2008-09-06 21:00:00,38.9,-75.7,45,994
2008-09-07 00:00:00,40.0,-74.5,45,994
2008-09-07 03:00:00,41.0,-73.2,45,995
2008-09-07 06:00:00,41.9,-71.7,45,995
2008-09-07 09:00:00,42.8,-70.0,45,995
2008-09-07 12:00:00,43.8,-68.0,45,995
2008-09-07 15:00:00,44.8,-65.9,45,995
2008-09-07 18:00:00,45.7,-63.7,45,995
2008-09-07 21:00:00,46.5,-61.4,43,996
2008-09-08 00:00:00,47.0,-59.1,40,996
2008-09-08 03:00:00,47.3,-57.1,40,996
2008-09-08 06:00:00,47.5,-55.4,40,996
2008-09-08 09:00:00,47.7,-53.7,38,996
2008-09-08 12:00:00,47.8,-52.1,35,996
