time,lat,lon,vmax,mslp
2008-11-05 18:00:00,13.7,-81.7,25,1004
2008-11-05 21:00:00,13.9,-81.9,28,1004
2008-11-06 00:00:00,14.2,-82.0,30,1004
2008-11-06 03:00:00,14.5,-82.1,33,1004
2008-11-06 06:00:00,14.8,-82.1,35,1003
2008-11-06 09:00:00,15.1,-82.1,38,1002
2008-11-06 12:00:00,15.4,-82.0,40,1000
2008-11-06 15:00:00,15.7,-81.9,48,997
2008-11-06 18:00:00,16.1,-81.9,55,994
2008-11-06 21:00:00,16.5,-81.8,60,991
2008-11-07 00:00:00,16.8,-81.8,65,987
2008-11-07 03:00:00,17.1,-81.7,65,986
2008-11-07 06:00:00,17.4,-81.7,65,985
2008-11-07 09:00:00,17.7,-81.7,70,982
2008-11-07 12:00:00,18.0,-81.6,75,979
2008-11-07 15:00:00,18.3,-81.5,78,977
2008-11-07 18:00:00,18.6,-81.4,80,975
2008-11-07 21:00:00,18.8,-81.2,90,970
2008-11-08 00:00:00,19.0,-81.0,100,964
2008-11-08 03:00:00,19.2,-80.7,105,958
2008-11-08 06:00:00,19.4,-80.4,110,951
2008-11-08 09:00:00,19.6,-80.0,118,948
2008-11-08 12:00:00,19.8,-79.6,125,944
2008-11-08 15:00:00,20.0,-79.2,125,948
2008-11-08 18:00:00,20.2,-78.8,125,951
2008-11-08 21:00:00,20.5,-78.3,108,960
2008-11-09 00:00:00,20.7,-78.0,90,968
2008-11-09 01:00:00,20.7,-78.0,85,970
2008-11-09 03:00:00,20.8,-77.9,73,978
2008-11-09 06:00:00,21.0,-77.7,55,990
2008-11-09 09:00:00,21.2,-77.7,45,996
2008-11-09 12:00:00,21.3,-77.8,35,1002
2008-11-09 15:00:00,21.5,-77.9,30,1003
2008-11-09 18:00:00,21.6,-77.9,25,1004
2008-11-09 21:00:00,21.7,-77.9,25,1005
2008-11-10 00:00:00,21.8,-77.9,25,1005
2008-11-10 03:00:00,21.9,-77.9,25,1006
2008-11-10 06:00:00,22.1,-77.8,25,1006
2008-11-10 09:00:00,22.3,-77.8,23,1007
2008-11-10 12:00:00,22.4,-77.7,20,1007
2008-11-10 15:00:00,22.5,-77.6,20,1008
2008-11-10 18:00:00,22.5,-77.6,20,1008
2008-11-10 21:00:00,22.5,-77.5,20,1009
2008-11-11 00:00:00,22.4,-77.5,20,1009
2008-11-11 03:00:00,22.3,-77.5,20,1009
2008-11-11 06:00:00,22.1,-77.6,20,1009
2008-11-11 09:00:00,22.0,-77.7,20,1009
2008-11-11 12:00:00,21.8,-77.9,20,1009
2008-11-11 15:00:00,21.6,-78.1,20,1009
2008-11-11 18:00:00,21.3,-78.3,20,1009
2008-11-11 21:00:00,21.1,-78.5,20,1009
2008-11-12 00:00:00,20.9,-78.8,20,1009
2008-11-12 03:00:00,20.8,-79.2,20,1009
2008-11-12 06:00:00,20.8,-79.7,20,1009
2008-11-12 09:00:00,20.9,-80.2,20,1009
2008-11-12 12:00:00,21.0,-80.7,20,1009
2008-11-12 15:00:00,21.2,-81.2,20,1009
2008-11-12 18:00:00,21.4,-81.7,20,1009
2008-11-12 21:00:00,21.7,-82.2,20,1010
2008-11-13 00:00:00,22.1,-82.8,20,1010
2008-11-13 03:00:00,22.4,-83.3,20,1010
2008-11-13 06:00:00,22.8,-83.8,20,1010
2008-11-13 09:00:00,23.3,-84.3,20,1010
2008-11-13 12:00:00,23.8,-84.7,20,1010
2008-11-13 15:00:00,24.3,-85.1,20,1010
2008-11-13 18:00:00,25.0,-85.5,20,1010
2008-11-13 21:00:00,25.8,-85.8,20,1010
2008-11-14 00:00:00,26.8,-85.9,20,1010
2008-11-14 03:00:00,27.8,-85.8,20,1010
2008-11-14 06:00:00,28.9,-85.6,20,1010
