time,lat,lon,vmax,mslp
2010-06-24 18:00:00,15.9,-82.0,25,1007
2010-06-24 21:00:00,15.9,-82.0,25,1007
2010-06-25 00:00:00,16.0,-82.1,25,1006
2010-06-25 03:00:00,16.1,-82.2,25,1006
2010-06-25 06:00:00,16.1,-82.3,25,1006
2010-06-25 09:00:00,16.1,-82.4,28,1006
2010-06-25 12:00:00,16.2,-82.5,30,1005
2010-06-25 15:00:00,16.3,-82.8,30,1005
2010-06-25 18:00:00,16.4,-83.1,30,1005
2010-06-25 21:00:00,16.5,-83.5,30,1005
2010-06-26 00:00:00,16.6,-83.9,30,1004
2010-06-26 03:00:00,16.6,-84.4,35,1004
2010-06-26 06:00:00,16.7,-84.9,40,1004
2010-06-26 09:00:00,16.8,-85.5,40,1004
2010-06-26 12:00:00,16.9,-86.1,40,1004
2010-06-26 15:00:00,17.0,-86.7,48,1000
2010-06-26 18:00:00,17.2,-87.2,55,996
2010-06-26 21:00:00,17.3,-87.7,55,996
2010-06-27 00:00:00,17.5,-88.2,55,995
2010-06-27 03:00:00,17.7,-88.7,55,993
2010-06-27 06:00:00,18.0,-89.1,55,991
2010-06-27 09:00:00,18.3,-89.6,50,992
2010-06-27 12:00:00,18.5,-90.0,45,992
2010-06-27 15:00:00,18.7,-90.4,40,993
2010-06-27 18:00:00,18.9,-90.7,35,993
2010-06-27 21:00:00,19.1,-90.9,38,992
2010-06-28 00:00:00,19.2,-91.1,40,991
2010-06-28 03:00:00,19.3,-91.3,40,991
2010-06-28 06:00:00,19.5,-91.4,40,991
2010-06-28 09:00:00,19.7,-91.5,45,990
2010-06-28 12:00:00,20.0,-91.6,50,989
2010-06-28 15:00:00,20.2,-91.7,50,990
2010-06-28 18:00:00,20.3,-91.7,50,990
2010-06-28 21:00:00,20.5,-91.7,53,989
2010-06-29 00:00:00,20.7,-91.7,55,987
2010-06-29 03:00:00,21.1,-91.7,55,986
2010-06-29 06:00:00,21.5,-91.9,55,985
2010-06-29 09:00:00,22.0,-92.2,58,984
2010-06-29 12:00:00,22.4,-92.7,60,983
2010-06-29 15:00:00,22.7,-93.2,60,982
2010-06-29 18:00:00,22.9,-93.6,60,981
2010-06-29 21:00:00,23.0,-94.0,63,977
2010-06-30 00:00:00,23.0,-94.4,65,973
2010-06-30 03:00:00,23.0,-94.6,68,970
2010-06-30 06:00:00,23.1,-94.8,70,966
2010-06-30 09:00:00,23.2,-95.0,73,962
2010-06-30 12:00:00,23.5,-95.2,75,958
2010-06-30 15:00:00,24.0,-95.5,75,958
2010-06-30 18:00:00,24.3,-96.2,80,962
2010-06-30 21:00:00,24.4,-96.8,85,955
2010-07-01 00:00:00,24.3,-97.3,90,948
2010-07-01 02:00:00,24.2,-97.7,95,946
2010-07-01 03:00:00,24.2,-97.9,90,950
2010-07-01 06:00:00,24.1,-98.4,75,963
2010-07-01 09:00:00,23.8,-98.9,68,970
2010-07-01 12:00:00,23.5,-99.5,60,977
2010-07-01 15:00:00,23.2,-100.1,50,982
2010-07-01 18:00:00,23.1,-100.7,40,987
2010-07-01 21:00:00,23.1,-101.3,35,992
2010-07-02 00:00:00,23.2,-101.9,30,997
