time,lat,lon,vmax,mslp
2010-07-22 06:00:00,21.5,-73.8,30,1009
2010-07-22 09:00:00,21.6,-74.1,30,1009
2010-07-22 12:00:00,21.7,-74.4,30,1008
2010-07-22 15:00:00,21.9,-74.6,30,1008
2010-07-22 18:00:00,22.2,-74.9,30,1007
2010-07-22 21:00:00,22.7,-75.3,33,1006
2010-07-22 23:15:00,23.0,-75.7,35,1006
2010-07-23 00:00:00,23.1,-75.9,35,1006
2010-07-23 03:00:00,23.4,-76.7,38,1005
2010-07-23 05:15:00,23.7,-77.5,40,1005
2010-07-23 06:00:00,23.8,-77.8,40,1005
2010-07-23 09:00:00,24.2,-78.9,38,1006
2010-07-23 12:00:00,24.8,-79.7,35,1006
2010-07-23 14:30:00,25.4,-80.2,35,1007
2010-07-23 15:00:00,25.5,-80.3,34,1007
2010-07-23 18:00:00,25.8,-81.1,30,1008
2010-07-23 21:00:00,26.1,-81.8,30,1009
2010-07-24 00:00:00,26.3,-82.6,30,1010
2010-07-24 03:00:00,26.5,-83.5,30,1012
2010-07-24 06:00:00,26.7,-84.4,30,1013
2010-07-24 09:00:00,27.1,-85.2,28,1013
2010-07-24 12:00:00,27.5,-85.9,25,1013
2010-07-24 15:00:00,27.8,-86.5,25,1013
2010-07-24 18:00:00,28.1,-87.1,25,1013
2010-07-24 21:00:00,28.3,-87.7,25,1013
2010-07-25 00:00:00,28.6,-88.3,25,1012
2010-07-25 03:00:00,28.9,-88.9,25,1012
2010-07-25 06:00:00,29.2,-89.5,25,1012
2010-07-25 09:00:00,29.5,-90.1,23,1012
2010-07-25 12:00:00,29.8,-90.5,20,1012
2010-07-25 15:00:00,30.0,-90.8,18,1013
2010-07-25 18:00:00,30.1,-91.0,15,1014
