time,lat,lon,vmax,mslp
2010-08-02 12:00:00,12.5,-40.7,30,1007
2010-08-02 15:00:00,12.7,-41.5,30,1007
2010-08-02 18:00:00,12.9,-42.4,30,1007
2010-08-02 21:00:00,13.1,-43.4,30,1007
2010-08-03 00:00:00,13.3,-44.4,30,1007
2010-08-03 03:00:00,13.5,-45.4,33,1007
2010-08-03 06:00:00,13.7,-46.6,35,1006
2010-08-03 09:00:00,14.0,-47.9,35,1007
2010-08-03 12:00:00,14.3,-49.3,35,1007
2010-08-03 15:00:00,14.8,-50.8,35,1008
2010-08-03 18:00:00,15.3,-52.2,35,1009
2010-08-03 21:00:00,15.7,-53.5,35,1009
2010-08-04 00:00:00,16.1,-54.8,35,1009
2010-08-04 03:00:00,16.5,-56.0,35,1009
2010-08-04 06:00:00,17.0,-57.2,35,1009
2010-08-04 09:00:00,17.5,-58.4,35,1009
2010-08-04 12:00:00,18.0,-59.5,35,1009
2010-08-04 15:00:00,18.6,-60.4,38,1009
2010-08-04 18:00:00,19.2,-61.1,40,1009
2010-08-04 21:00:00,19.8,-61.8,40,1009
2010-08-05 00:00:00,20.4,-62.5,40,1009
2010-08-05 03:00:00,21.0,-63.1,40,1009
2010-08-05 06:00:00,21.7,-63.7,40,1009
2010-08-05 09:00:00,22.3,-64.3,40,1009
2010-08-05 12:00:00,23.0,-64.9,40,1008
2010-08-05 15:00:00,23.7,-65.4,43,1008
2010-08-05 18:00:00,24.4,-65.8,45,1007
2010-08-05 21:00:00,25.0,-66.1,50,1005
2010-08-06 00:00:00,25.6,-66.6,50,1006
2010-08-06 03:00:00,26.1,-67.0,45,1007
2010-08-06 06:00:00,26.4,-67.2,40,1007
2010-08-06 09:00:00,26.7,-67.2,40,1007
2010-08-06 12:00:00,27.0,-67.1,40,1007
2010-08-06 15:00:00,27.3,-67.0,40,1008
2010-08-06 18:00:00,27.7,-66.9,40,1008
2010-08-06 21:00:00,28.1,-66.8,40,1008
2010-08-07 00:00:00,28.5,-66.6,40,1008
2010-08-07 03:00:00,28.7,-66.5,38,1009
2010-08-07 06:00:00,28.9,-66.4,35,1009
2010-08-07 09:00:00,29.0,-66.3,35,1010
2010-08-07 12:00:00,29.1,-66.2,35,1010
2010-08-07 15:00:00,29.2,-66.0,35,1011
2010-08-07 18:00:00,29.3,-65.9,35,1012
2010-08-07 21:00:00,29.5,-65.8,33,1012
2010-08-08 00:00:00,29.7,-65.7,30,1012
2010-08-08 03:00:00,30.0,-65.7,30,1013
2010-08-08 06:00:00,30.3,-65.7,30,1013
