time,lat,lon,vmax,mslp
2010-08-21 12:00:00,10.7,-31.1,25,1009
2010-08-21 15:00:00,10.8,-31.4,25,1009
2010-08-21 18:00:00,11.0,-31.7,25,1008
2010-08-21 21:00:00,11.2,-32.0,28,1008
2010-08-22 00:00:00,11.4,-32.4,30,1007
2010-08-22 03:00:00,11.6,-32.7,33,1006
2010-08-22 06:00:00,11.8,-33.1,35,1005
2010-08-22 09:00:00,12.1,-33.5,35,1005
2010-08-22 12:00:00,12.4,-33.9,35,1005
2010-08-22 15:00:00,12.8,-34.3,35,1005
2010-08-22 18:00:00,13.2,-34.8,35,1004
2010-08-22 21:00:00,13.5,-35.3,40,1002
2010-08-23 00:00:00,13.8,-35.9,45,1000
2010-08-23 03:00:00,14.0,-36.6,48,999
2010-08-23 06:00:00,14.2,-37.4,50,997
2010-08-23 09:00:00,14.4,-38.2,53,996
2010-08-23 12:00:00,14.7,-39.1,55,994
2010-08-23 15:00:00,15.0,-40.0,60,991
2010-08-23 18:00:00,15.2,-40.9,65,987
2010-08-23 21:00:00,15.3,-41.8,70,985
2010-08-24 00:00:00,15.4,-42.6,75,982
2010-08-24 03:00:00,15.5,-43.4,78,980
2010-08-24 06:00:00,15.6,-44.2,80,977
2010-08-24 09:00:00,15.9,-45.0,75,981
2010-08-24 12:00:00,16.2,-45.8,70,984
2010-08-24 15:00:00,16.6,-46.7,68,986
2010-08-24 18:00:00,17.0,-47.5,65,987
2010-08-24 21:00:00,17.4,-48.3,68,986
2010-08-25 00:00:00,17.7,-49.0,70,984
2010-08-25 03:00:00,18.0,-49.7,70,984
2010-08-25 06:00:00,18.4,-50.4,70,984
2010-08-25 09:00:00,18.9,-51.0,70,984
2010-08-25 12:00:00,19.4,-51.6,70,984
2010-08-25 15:00:00,20.0,-52.1,73,982
2010-08-25 18:00:00,20.7,-52.6,75,980
2010-08-25 21:00:00,21.4,-53.1,78,979
2010-08-26 00:00:00,22.0,-53.6,80,977
2010-08-26 03:00:00,22.6,-54.1,83,975
2010-08-26 06:00:00,23.1,-54.6,85,973
2010-08-26 09:00:00,23.6,-55.0,85,973
2010-08-26 12:00:00,24.0,-55.4,85,973
2010-08-26 15:00:00,24.4,-55.9,88,972
2010-08-26 18:00:00,24.8,-56.4,90,970
2010-08-26 21:00:00,25.2,-56.9,93,968
2010-08-27 00:00:00,25.6,-57.3,95,966
2010-08-27 03:00:00,25.9,-57.8,103,960
2010-08-27 06:00:00,26.2,-58.3,110,953
2010-08-27 09:00:00,26.3,-58.8,110,951
2010-08-27 12:00:00,26.5,-59.3,110,948
2010-08-27 15:00:00,26.8,-59.7,113,945
2010-08-27 18:00:00,27.1,-60.1,115,942
2010-08-27 21:00:00,27.4,-60.3,110,944
2010-08-28 00:00:00,27.7,-60.5,105,946
2010-08-28 03:00:00,28.0,-60.8,100,948
2010-08-28 06:00:00,28.3,-61.0,95,950
2010-08-28 09:00:00,28.6,-61.0,95,951
2010-08-28 12:00:00,28.9,-60.8,95,952
2010-08-28 15:00:00,29.2,-60.6,93,954
2010-08-28 18:00:00,29.6,-60.2,90,955
2010-08-28 21:00:00,30.2,-59.8,88,957
2010-08-29 00:00:00,30.9,-59.2,85,958
2010-08-29 03:00:00,31.6,-58.6,83,961
2010-08-29 06:00:00,32.4,-57.9,80,964
2010-08-29 09:00:00,33.5,-57.0,78,965
2010-08-29 12:00:00,34.7,-56.2,75,966
2010-08-29 15:00:00,36.1,-55.6,75,967
2010-08-29 18:00:00,37.3,-55.0,75,968
2010-08-29 21:00:00,38.1,-54.4,73,969
2010-08-30 00:00:00,38.7,-53.8,70,969
2010-08-30 03:00:00,39.4,-53.3,68,970
2010-08-30 06:00:00,40.0,-52.8,65,970
2010-08-30 09:00:00,40.4,-52.2,65,970
2010-08-30 12:00:00,40.6,-51.6,65,970
2010-08-30 15:00:00,40.8,-51.0,63,972
2010-08-30 18:00:00,41.0,-50.2,60,973
2010-08-30 21:00:00,41.1,-49.2,60,975
2010-08-31 00:00:00,41.1,-48.0,60,976
2010-08-31 03:00:00,41.1,-46.5,58,979
2010-08-31 06:00:00,41.2,-44.8,55,981
2010-08-31 09:00:00,41.2,-43.0,55,983
2010-08-31 12:00:00,41.3,-41.0,55,985
2010-08-31 15:00:00,41.6,-38.6,53,986
2010-08-31 18:00:00,42.1,-35.9,50,987
2010-08-31 21:00:00,42.8,-33.1,48,988
2010-09-01 00:00:00,43.5,-30.4,45,988
2010-09-01 03:00:00,44.1,-28.1,43,989
2010-09-01 06:00:00,44.8,-26.3,40,990
2010-09-01 09:00:00,45.5,-25.0,40,991
2010-09-01 12:00:00,46.2,-24.0,40,991
2010-09-01 15:00:00,47.0,-22.9,40,992
2010-09-01 18:00:00,47.9,-22.0,40,992
2010-09-01 21:00:00,48.7,-21.3,40,993
2010-09-02 00:00:00,49.5,-20.7,40,994
2010-09-02 03:00:00,50.3,-20.2,40,995
2010-09-02 06:00:00,51.1,-19.9,40,995
2010-09-02 09:00:00,52.0,-19.9,38,996
2010-09-02 12:00:00,53.0,-20.3,35,996
2010-09-02 15:00:00,54.0,-20.8,35,997
2010-09-02 18:00:00,55.0,-21.5,35,998
2010-09-02 21:00:00,56.2,-22.2,33,998
2010-09-03 00:00:00,57.5,-23.0,30,998
