time,lat,lon,vmax,mslp
2010-09-08 06:00:00,14.0,-22.7,30,1006
2010-09-08 09:00:00,13.9,-23.0,35,1006
2010-09-08 12:00:00,13.8,-23.3,40,1005
2010-09-08 15:00:00,13.8,-23.5,40,1005
2010-09-08 18:00:00,13.8,-23.7,40,1005
2010-09-08 21:00:00,13.8,-23.9,40,1005
2010-09-09 00:00:00,13.8,-24.1,40,1005
2010-09-09 03:00:00,13.8,-24.4,38,1005
2010-09-09 06:00:00,13.9,-24.8,35,1005
2010-09-09 09:00:00,14.0,-25.1,33,1006
2010-09-09 12:00:00,14.2,-25.5,30,1006
2010-09-09 15:00:00,14.4,-25.9,30,1006
2010-09-09 18:00:00,14.7,-26.4,30,1006
2010-09-09 21:00:00,15.0,-26.9,30,1005
2010-09-10 00:00:00,15.4,-27.5,30,1004
2010-09-10 03:00:00,15.7,-28.1,30,1004
2010-09-10 06:00:00,15.9,-28.7,30,1004
2010-09-10 09:00:00,16.1,-29.5,33,1004
2010-09-10 12:00:00,16.3,-30.4,35,1004
2010-09-10 15:00:00,16.5,-31.4,38,1003
2010-09-10 18:00:00,16.6,-32.5,40,1002
2010-09-10 21:00:00,16.8,-33.6,45,1001
2010-09-11 00:00:00,16.9,-34.8,50,999
2010-09-11 03:00:00,17.0,-35.9,55,997
2010-09-11 06:00:00,17.1,-37.0,60,995
2010-09-11 09:00:00,17.2,-37.9,60,995
2010-09-11 12:00:00,17.3,-38.7,60,995
2010-09-11 15:00:00,17.3,-39.6,60,995
2010-09-11 18:00:00,17.4,-40.4,60,995
2010-09-11 21:00:00,17.5,-41.2,63,991
2010-09-12 00:00:00,17.6,-42.0,65,987
2010-09-12 03:00:00,17.7,-42.8,68,986
2010-09-12 06:00:00,17.7,-43.5,70,985
2010-09-12 09:00:00,17.7,-44.2,80,978
2010-09-12 12:00:00,17.7,-44.9,90,970
2010-09-12 15:00:00,17.7,-45.5,103,959
2010-09-12 18:00:00,17.7,-46.1,115,948
2010-09-12 21:00:00,17.7,-46.7,123,942
2010-09-13 00:00:00,17.7,-47.3,130,935
2010-09-13 03:00:00,17.6,-47.8,130,935
2010-09-13 06:00:00,17.6,-48.3,130,935
2010-09-13 09:00:00,17.6,-48.8,130,934
2010-09-13 12:00:00,17.6,-49.3,130,933
2010-09-13 15:00:00,17.6,-49.8,128,935
2010-09-13 18:00:00,17.6,-50.2,125,937
2010-09-13 21:00:00,17.6,-50.6,125,937
2010-09-14 00:00:00,17.7,-50.9,125,937
2010-09-14 03:00:00,17.8,-51.2,120,941
2010-09-14 06:00:00,17.9,-51.5,115,945
2010-09-14 09:00:00,18.0,-51.8,115,945
2010-09-14 12:00:00,18.2,-52.1,115,945
2010-09-14 15:00:00,18.4,-52.4,120,939
2010-09-14 18:00:00,18.6,-52.8,125,933
2010-09-14 21:00:00,18.8,-53.2,130,929
2010-09-15 00:00:00,18.9,-53.5,135,924
2010-09-15 03:00:00,19.0,-53.8,130,930
2010-09-15 06:00:00,19.2,-54.1,125,935
2010-09-15 09:00:00,19.3,-54.4,120,940
2010-09-15 12:00:00,19.5,-54.7,115,945
2010-09-15 15:00:00,19.6,-55.0,115,944
2010-09-15 18:00:00,19.8,-55.3,115,942
2010-09-15 21:00:00,20.0,-55.7,118,939
2010-09-16 00:00:00,20.1,-56.0,120,936
2010-09-16 03:00:00,20.2,-56.3,123,933
2010-09-16 06:00:00,20.4,-56.5,125,929
2010-09-16 09:00:00,20.6,-56.8,123,932
2010-09-16 12:00:00,20.8,-57.1,120,934
2010-09-16 15:00:00,21.1,-57.4,118,937
2010-09-16 18:00:00,21.4,-57.8,115,940
2010-09-16 21:00:00,21.6,-58.1,115,938
2010-09-17 00:00:00,21.8,-58.4,115,935
2010-09-17 03:00:00,22.0,-58.7,113,935
2010-09-17 06:00:00,22.2,-59.1,110,935
2010-09-17 09:00:00,22.5,-59.5,105,940
2010-09-17 12:00:00,22.8,-59.9,100,945
2010-09-17 15:00:00,23.1,-60.3,95,946
2010-09-17 18:00:00,23.5,-60.7,90,947
2010-09-17 21:00:00,23.8,-61.1,90,947
2010-09-18 00:00:00,24.2,-61.6,90,947
2010-09-18 03:00:00,24.5,-62.1,88,943
2010-09-18 06:00:00,24.9,-62.5,85,939
2010-09-18 09:00:00,25.3,-62.9,85,939
2010-09-18 12:00:00,25.7,-63.3,85,939
2010-09-18 15:00:00,26.1,-63.7,83,942
2010-09-18 18:00:00,26.6,-64.0,80,945
2010-09-18 21:00:00,27.0,-64.3,80,945
