time,lat,lon,vmax,mslp
2010-09-12 06:00:00,12.9,-20.5,30,1007
2010-09-12 09:00:00,13.0,-20.9,30,1007
2010-09-12 12:00:00,13.0,-21.3,30,1006
2010-09-12 15:00:00,13.0,-21.7,33,1006
2010-09-12 18:00:00,13.1,-22.1,35,1005
2010-09-12 21:00:00,13.3,-22.6,38,1005
2010-09-13 00:00:00,13.5,-23.1,40,1004
2010-09-13 03:00:00,13.7,-23.6,40,1004
2010-09-13 06:00:00,14.0,-24.2,40,1004
2010-09-13 09:00:00,14.2,-24.8,40,1004
2010-09-13 12:00:00,14.5,-25.4,40,1004
2010-09-13 15:00:00,14.8,-26.0,43,1004
2010-09-13 18:00:00,15.0,-26.5,45,1003
2010-09-13 21:00:00,15.2,-27.0,45,1003
2010-09-14 00:00:00,15.3,-27.5,45,1002
2010-09-14 03:00:00,15.4,-28.0,53,998
2010-09-14 06:00:00,15.6,-28.4,60,994
2010-09-14 09:00:00,15.8,-28.8,65,991
2010-09-14 12:00:00,15.9,-29.2,70,987
2010-09-14 15:00:00,16.0,-29.6,75,983
2010-09-14 18:00:00,16.1,-29.9,80,979
2010-09-14 21:00:00,16.2,-30.2,85,976
2010-09-15 00:00:00,16.4,-30.6,90,973
2010-09-15 03:00:00,16.6,-31.0,100,965
2010-09-15 06:00:00,16.9,-31.4,110,956
2010-09-15 09:00:00,17.3,-31.8,115,952
2010-09-15 12:00:00,17.7,-32.2,120,948
2010-09-15 15:00:00,18.2,-32.6,118,950
2010-09-15 18:00:00,18.8,-33.0,115,951
2010-09-15 21:00:00,19.4,-33.5,110,955
2010-09-16 00:00:00,19.9,-34.1,105,958
2010-09-16 03:00:00,20.4,-34.9,103,960
2010-09-16 06:00:00,20.9,-35.8,100,962
2010-09-16 09:00:00,21.4,-36.7,95,966
2010-09-16 12:00:00,21.8,-37.7,90,970
2010-09-16 15:00:00,22.3,-38.8,85,974
2010-09-16 18:00:00,22.7,-40.0,80,977
2010-09-16 21:00:00,22.9,-41.0,78,979
2010-09-17 00:00:00,23.1,-42.0,75,981
2010-09-17 03:00:00,23.3,-43.0,75,981
2010-09-17 06:00:00,23.5,-44.0,75,981
2010-09-17 09:00:00,23.7,-44.9,73,982
2010-09-17 12:00:00,23.9,-45.8,70,983
2010-09-17 15:00:00,24.2,-46.6,68,985
2010-09-17 18:00:00,24.6,-47.4,65,986
2010-09-17 21:00:00,25.1,-48.1,63,987
2010-09-18 00:00:00,25.6,-48.7,60,988
2010-09-18 03:00:00,26.2,-49.3,58,990
2010-09-18 06:00:00,26.9,-49.8,55,991
2010-09-18 09:00:00,27.6,-50.3,53,993
2010-09-18 12:00:00,28.3,-50.7,50,994
2010-09-18 15:00:00,29.0,-51.1,50,994
2010-09-18 18:00:00,29.8,-51.4,50,993
2010-09-18 21:00:00,30.6,-51.6,53,991
2010-09-19 00:00:00,31.4,-51.8,55,989
2010-09-19 03:00:00,32.1,-52.0,53,991
2010-09-19 06:00:00,32.8,-52.0,50,993
2010-09-19 09:00:00,33.4,-51.8,48,994
2010-09-19 12:00:00,33.9,-51.4,45,995
2010-09-19 15:00:00,34.3,-50.8,45,995
2010-09-19 18:00:00,34.6,-50.2,45,995
2010-09-19 21:00:00,34.8,-49.7,45,995
2010-09-20 00:00:00,34.9,-49.2,45,995
2010-09-20 03:00:00,34.9,-48.6,43,996
2010-09-20 06:00:00,34.9,-48.0,40,997
2010-09-20 09:00:00,34.8,-47.4,40,998
2010-09-20 12:00:00,34.7,-46.9,40,999
2010-09-20 15:00:00,34.6,-46.4,40,1001
2010-09-20 18:00:00,34.6,-46.0,40,1002
2010-09-20 21:00:00,34.5,-45.6,40,1003
2010-09-21 00:00:00,34.4,-45.1,40,1003
2010-09-21 03:00:00,34.4,-44.6,38,1004
2010-09-21 06:00:00,34.4,-44.1,35,1004
2010-09-21 09:00:00,34.4,-43.6,35,1005
2010-09-21 12:00:00,34.5,-43.0,35,1005
2010-09-21 15:00:00,34.5,-42.4,33,1006
2010-09-21 18:00:00,34.5,-41.9,30,1006
2010-09-21 21:00:00,34.4,-41.4,30,1007
2010-09-22 00:00:00,34.3,-40.9,30,1007
2010-09-22 03:00:00,34.1,-40.4,30,1007
2010-09-22 06:00:00,33.9,-39.9,30,1007
2010-09-22 09:00:00,33.8,-39.3,30,1007
2010-09-22 12:00:00,33.6,-38.8,30,1007
2010-09-22 15:00:00,33.4,-38.3,30,1008
2010-09-22 18:00:00,33.2,-38.0,30,1008
2010-09-22 21:00:00,33.1,-37.8,30,1008
2010-09-23 00:00:00,33.0,-37.8,30,1008
2010-09-23 03:00:00,32.9,-37.7,30,1009
2010-09-23 06:00:00,32.7,-37.7,30,1009
2010-09-23 09:00:00,32.6,-37.7,30,1009
2010-09-23 12:00:00,32.4,-37.8,30,1009
2010-09-23 15:00:00,32.2,-38.1,30,1010
2010-09-23 18:00:00,32.0,-38.6,30,1010
2010-09-23 21:00:00,31.7,-39.2,30,1010
2010-09-24 00:00:00,31.5,-40.0,30,1010
2010-09-24 03:00:00,31.3,-40.8,30,1011
2010-09-24 06:00:00,31.2,-41.6,30,1011
2010-09-24 09:00:00,31.0,-42.4,30,1011
2010-09-24 12:00:00,30.9,-43.1,30,1011
2010-09-24 15:00:00,30.8,-43.7,30,1012
2010-09-24 18:00:00,30.6,-44.3,30,1012
