time,lat,lon,vmax,mslp
2010-09-13 18:00:00,16.3,-78.5,25,1005
2010-09-13 21:00:00,16.4,-79.1,25,1005
2010-09-14 00:00:00,16.6,-79.8,25,1004
2010-09-14 03:00:00,16.8,-80.5,25,1004
2010-09-14 06:00:00,17.0,-81.1,25,1003
2010-09-14 09:00:00,17.3,-81.7,28,1003
2010-09-14 12:00:00,17.6,-82.3,30,1003
2010-09-14 15:00:00,17.9,-82.9,33,1002
2010-09-14 18:00:00,18.1,-83.6,35,1001
2010-09-14 21:00:00,18.2,-84.3,38,1000
2010-09-15 00:00:00,18.3,-85.0,40,999
2010-09-15 03:00:00,18.3,-85.6,48,998
2010-09-15 06:00:00,18.3,-86.2,55,997
2010-09-15 09:00:00,18.4,-86.9,55,994
2010-09-15 12:00:00,18.5,-87.6,55,991
2010-09-15 12:45:00,18.5,-87.8,55,991
2010-09-15 15:00:00,18.6,-88.3,51,992
2010-09-15 18:00:00,18.8,-88.8,45,994
2010-09-15 21:00:00,19.0,-89.5,43,996
2010-09-16 00:00:00,19.2,-90.1,40,997
2010-09-16 03:00:00,19.3,-90.6,43,996
2010-09-16 06:00:00,19.4,-91.1,45,994
2010-09-16 09:00:00,19.5,-91.6,50,990
2010-09-16 12:00:00,19.6,-92.2,55,986
2010-09-16 15:00:00,19.6,-92.8,63,984
2010-09-16 18:00:00,19.6,-93.3,70,982
2010-09-16 21:00:00,19.6,-93.7,78,977
2010-09-17 00:00:00,19.7,-94.1,85,971
2010-09-17 03:00:00,19.7,-94.5,90,969
2010-09-17 06:00:00,19.7,-94.9,95,966
2010-09-17 09:00:00,19.7,-95.2,103,961
2010-09-17 12:00:00,19.6,-95.6,110,956
2010-09-17 15:00:00,19.4,-96.0,110,970
2010-09-17 16:45:00,19.3,-96.2,100,976
2010-09-17 18:00:00,19.2,-96.4,90,979
2010-09-17 21:00:00,18.9,-96.8,75,987
2010-09-18 00:00:00,18.7,-97.1,60,995
2010-09-18 03:00:00,18.6,-97.3,43,1000
2010-09-18 06:00:00,18.6,-97.4,25,1005
