time,lat,lon,vmax,mslp
2010-10-06 06:00:00,22.0,-67.2,30,1000
2010-10-06 09:00:00,22.3,-67.5,35,998
2010-10-06 12:00:00,22.6,-67.8,40,995
2010-10-06 15:00:00,22.8,-68.0,45,993
2010-10-06 18:00:00,23.0,-68.1,50,991
2010-10-06 21:00:00,23.1,-68.2,53,990
2010-10-07 00:00:00,23.2,-68.2,55,989
2010-10-07 03:00:00,23.3,-68.3,53,990
2010-10-07 06:00:00,23.4,-68.3,50,990
2010-10-07 09:00:00,23.5,-68.3,48,992
2010-10-07 12:00:00,23.6,-68.3,45,994
2010-10-07 15:00:00,23.7,-68.1,48,993
2010-10-07 18:00:00,23.8,-67.8,50,992
2010-10-07 21:00:00,23.9,-67.4,53,991
2010-10-08 00:00:00,24.0,-67.0,55,989
2010-10-08 03:00:00,24.2,-66.6,58,988
2010-10-08 06:00:00,24.4,-66.1,60,986
2010-10-08 09:00:00,24.8,-65.5,63,985
2010-10-08 12:00:00,25.2,-64.8,65,983
2010-10-08 15:00:00,25.7,-64.1,68,982
2010-10-08 18:00:00,26.2,-63.3,70,980
2010-10-08 21:00:00,26.7,-62.5,73,978
2010-10-09 00:00:00,27.2,-61.7,75,976
2010-10-09 03:00:00,27.8,-60.8,75,977
2010-10-09 06:00:00,28.5,-59.7,75,978
2010-10-09 09:00:00,29.2,-58.6,73,980
2010-10-09 12:00:00,30.0,-57.3,70,981
2010-10-09 15:00:00,30.7,-55.9,68,983
2010-10-09 18:00:00,31.4,-54.3,65,985
2010-10-09 21:00:00,32.0,-52.7,63,987
2010-10-10 00:00:00,32.7,-50.9,60,988
2010-10-10 03:00:00,33.4,-49.0,58,988
2010-10-10 06:00:00,34.3,-47.0,55,988
2010-10-10 09:00:00,35.3,-44.8,55,988
2010-10-10 12:00:00,36.4,-42.6,55,988
2010-10-10 15:00:00,37.3,-40.3,55,988
2010-10-10 18:00:00,38.2,-38.1,55,988
2010-10-10 21:00:00,39.3,-35.8,53,990
2010-10-11 00:00:00,40.3,-33.8,50,992
2010-10-11 03:00:00,41.2,-32.2,48,994
2010-10-11 06:00:00,42.0,-30.8,45,995
2010-10-11 09:00:00,42.6,-29.4,43,997
2010-10-11 12:00:00,43.1,-28.1,40,998
2010-10-11 15:00:00,43.4,-27.1,40,998
2010-10-11 18:00:00,43.5,-26.3,40,998
2010-10-11 21:00:00,43.6,-25.7,38,1000
2010-10-12 00:00:00,43.4,-25.3,35,1002
2010-10-12 03:00:00,43.0,-24.9,35,1003
2010-10-12 06:00:00,42.4,-24.6,35,1004
2010-10-12 09:00:00,41.9,-24.3,35,1004
2010-10-12 12:00:00,41.4,-24.0,35,1004
2010-10-12 15:00:00,40.8,-23.7,35,1005
2010-10-12 18:00:00,40.3,-23.5,35,1006
2010-10-12 21:00:00,39.8,-23.2,35,1005
2010-10-13 00:00:00,39.3,-23.0,35,1004
2010-10-13 03:00:00,38.8,-22.8,35,1004
2010-10-13 06:00:00,38.4,-22.7,35,1004
2010-10-13 09:00:00,38.0,-22.6,35,1004
2010-10-13 12:00:00,37.6,-22.6,35,1004
2010-10-13 15:00:00,37.2,-22.5,35,1004
2010-10-13 18:00:00,36.7,-22.4,35,1004
2010-10-13 21:00:00,36.2,-22.3,35,1004
2010-10-14 00:00:00,35.8,-22.2,35,1004
2010-10-14 03:00:00,35.4,-22.1,33,1005
2010-10-14 06:00:00,35.0,-22.0,30,1005
2010-10-14 09:00:00,34.7,-21.7,30,1005
2010-10-14 12:00:00,34.4,-21.4,30,1005
2010-10-14 15:00:00,34.2,-21.0,30,1005
2010-10-14 18:00:00,34.0,-20.6,30,1005
2010-10-14 21:00:00,33.9,-20.2,30,1006
2010-10-15 00:00:00,33.8,-19.9,30,1006
2010-10-15 03:00:00,33.7,-19.6,30,1006
2010-10-15 06:00:00,33.6,-19.2,30,1006
2010-10-15 09:00:00,33.5,-18.9,30,1006
2010-10-15 12:00:00,33.4,-18.5,30,1006
2010-10-15 15:00:00,33.3,-18.2,30,1006
2010-10-15 18:00:00,33.2,-17.8,30,1006
2010-10-15 21:00:00,33.1,-17.4,28,1006
2010-10-16 00:00:00,33.0,-17.1,25,1006
2010-10-16 03:00:00,32.9,-16.8,25,1006
2010-10-16 06:00:00,32.8,-16.5,25,1006
2010-10-16 09:00:00,32.7,-16.2,25,1007
2010-10-16 12:00:00,32.6,-15.9,25,1007
2010-10-16 15:00:00,32.5,-15.6,25,1007
2010-10-16 18:00:00,32.4,-15.3,25,1007
2010-10-16 21:00:00,32.4,-15.0,25,1008
2010-10-17 00:00:00,32.3,-14.7,25,1008
2010-10-17 03:00:00,32.2,-14.5,25,1009
2010-10-17 06:00:00,32.1,-14.5,25,1010
2010-10-17 09:00:00,32.0,-14.5,23,1010
2010-10-17 12:00:00,31.9,-14.6,20,1010
2010-10-17 15:00:00,31.8,-14.7,20,1011
2010-10-17 18:00:00,31.7,-14.7,20,1012
