time,lat,lon,vmax,mslp
2010-10-11 00:00:00,13.9,-81.8,30,1006
2010-10-11 03:00:00,14.1,-82.1,33,1006
2010-10-11 06:00:00,14.4,-82.5,35,1005
2010-10-11 09:00:00,14.7,-82.9,40,1005
2010-10-11 12:00:00,15.0,-83.2,45,1004
2010-10-11 15:00:00,15.3,-83.5,53,1003
2010-10-11 18:00:00,15.7,-83.8,60,1001
2010-10-11 21:00:00,16.1,-84.1,63,999
2010-10-12 00:00:00,16.5,-84.4,65,996
2010-10-12 03:00:00,16.9,-84.7,65,994
2010-10-12 06:00:00,17.3,-85.0,65,991
2010-10-12 09:00:00,17.7,-85.3,70,989
2010-10-12 12:00:00,18.1,-85.6,75,986
2010-10-12 15:00:00,18.4,-85.8,83,984
2010-10-12 18:00:00,18.8,-85.9,90,981
2010-10-12 21:00:00,19.2,-86.0,90,981
2010-10-13 00:00:00,19.6,-86.0,90,981
2010-10-13 03:00:00,20.0,-86.0,88,983
2010-10-13 06:00:00,20.3,-86.0,85,984
2010-10-13 09:00:00,20.6,-86.0,85,986
2010-10-13 12:00:00,20.9,-85.9,85,987
2010-10-13 15:00:00,21.2,-85.9,80,989
2010-10-13 18:00:00,21.4,-85.8,75,990
2010-10-13 21:00:00,21.6,-85.7,75,992
2010-10-14 00:00:00,21.8,-85.6,75,993
2010-10-14 03:00:00,22.0,-85.4,73,994
2010-10-14 06:00:00,22.2,-85.2,70,995
2010-10-14 09:00:00,22.4,-84.9,65,997
2010-10-14 12:00:00,22.6,-84.5,60,999
2010-10-14 15:00:00,22.7,-83.9,55,1000
2010-10-14 18:00:00,22.8,-83.5,50,1001
2010-10-14 21:00:00,22.9,-82.8,45,1003
2010-10-15 00:00:00,22.9,-82.0,40,1004
2010-10-15 03:00:00,22.9,-81.4,35,1006
2010-10-15 06:00:00,22.9,-80.9,30,1008
2010-10-15 09:00:00,22.9,-80.4,28,1009
2010-10-15 12:00:00,22.9,-79.9,25,1009
2010-10-15 15:00:00,22.9,-79.5,23,1009
2010-10-15 18:00:00,23.0,-79.1,20,1009
