time,lat,lon,vmax,mslp
2011-07-20 06:00:00,33.0,-59.5,30,1010
2011-07-20 09:00:00,33.1,-58.2,33,1009
2011-07-20 12:00:00,33.4,-57.0,35,1008
2011-07-20 15:00:00,33.9,-55.8,38,1007
2011-07-20 18:00:00,34.5,-54.7,40,1006
2011-07-20 21:00:00,35.1,-53.6,43,1005
2011-07-21 00:00:00,35.8,-52.5,45,1003
2011-07-21 03:00:00,36.5,-51.5,48,1001
2011-07-21 06:00:00,37.4,-50.5,50,999
2011-07-21 09:00:00,38.4,-49.5,53,998
2011-07-21 12:00:00,39.4,-48.4,55,996
2011-07-21 15:00:00,40.4,-47.3,58,995
2011-07-21 18:00:00,41.3,-46.1,60,994
2011-07-21 21:00:00,42.0,-44.9,58,995
2011-07-22 00:00:00,42.6,-43.7,55,995
2011-07-22 03:00:00,43.2,-42.5,53,996
2011-07-22 06:00:00,43.8,-41.2,50,997
2011-07-22 09:00:00,44.4,-39.9,48,998
2011-07-22 12:00:00,45.1,-38.6,45,999
2011-07-22 15:00:00,45.9,-37.2,43,1000
2011-07-22 18:00:00,46.7,-35.6,40,1001
2011-07-22 21:00:00,47.5,-33.9,40,1002
2011-07-23 00:00:00,48.4,-32.1,40,1003
2011-07-23 03:00:00,49.2,-30.0,38,1004
2011-07-23 06:00:00,50.0,-27.8,35,1005
