time,lat,lon,vmax,mslp
2011-09-02 00:00:00,26.6,-91.4,30,1007
2011-09-02 03:00:00,26.8,-91.4,30,1007
2011-09-02 06:00:00,26.9,-91.4,30,1006
2011-09-02 09:00:00,27.1,-91.4,33,1006
2011-09-02 12:00:00,27.2,-91.4,35,1005
2011-09-02 15:00:00,27.3,-91.4,38,1004
2011-09-02 18:00:00,27.5,-91.4,40,1003
2011-09-02 21:00:00,27.7,-91.4,40,1002
2011-09-03 00:00:00,28.0,-91.5,40,1001
2011-09-03 03:00:00,28.3,-91.6,43,999
2011-09-03 06:00:00,28.5,-91.8,45,997
2011-09-03 09:00:00,28.8,-91.9,48,995
2011-09-03 12:00:00,29.0,-92.0,50,993
2011-09-03 15:00:00,29.1,-92.1,48,991
2011-09-03 18:00:00,29.2,-92.2,45,989
2011-09-03 21:00:00,29.3,-92.4,43,989
2011-09-04 00:00:00,29.4,-92.5,40,988
2011-09-04 03:00:00,29.5,-92.6,40,987
2011-09-04 06:00:00,29.5,-92.5,40,986
2011-09-04 09:00:00,29.5,-92.2,40,986
2011-09-04 10:30:00,29.6,-92.1,40,986
2011-09-04 12:00:00,29.7,-92.0,35,986
2011-09-04 15:00:00,30.0,-91.9,35,987
2011-09-04 18:00:00,30.3,-91.8,35,988
2011-09-04 21:00:00,30.4,-91.7,35,989
2011-09-05 00:00:00,30.4,-91.6,35,990
2011-09-05 03:00:00,30.4,-91.6,35,992
2011-09-05 06:00:00,30.4,-91.4,35,993
2011-09-05 09:00:00,30.4,-90.9,38,994
2011-09-05 12:00:00,30.6,-90.1,40,995
2011-09-05 15:00:00,31.0,-89.2,40,995
2011-09-05 18:00:00,31.5,-88.3,40,995
2011-09-05 21:00:00,32.1,-87.4,35,995
2011-09-06 00:00:00,32.6,-86.5,30,995
2011-09-06 03:00:00,33.0,-85.8,25,996
2011-09-06 06:00:00,33.4,-85.3,20,997
2011-09-06 09:00:00,33.8,-85.1,18,999
2011-09-06 12:00:00,34.2,-85.1,15,1000
2011-09-06 15:00:00,34.6,-85.2,15,1002
2011-09-06 18:00:00,34.9,-85.3,15,1004
