time,lat,lon,vmax,mslp
2011-09-06 18:00:00,11.5,-35.9,30,1008
2011-09-06 21:00:00,11.7,-36.7,33,1008
2011-09-07 00:00:00,11.9,-37.5,35,1007
2011-09-07 03:00:00,12.1,-38.3,38,1007
2011-09-07 06:00:00,12.3,-39.1,40,1006
2011-09-07 09:00:00,12.6,-40.0,43,1005
2011-09-07 12:00:00,12.8,-41.0,45,1004
2011-09-07 15:00:00,12.9,-42.0,45,1004
2011-09-07 18:00:00,13.0,-43.0,45,1004
2011-09-07 21:00:00,13.1,-44.1,45,1004
2011-09-08 00:00:00,13.2,-45.2,45,1003
2011-09-08 03:00:00,13.2,-46.4,45,1003
2011-09-08 06:00:00,13.2,-47.7,45,1002
2011-09-08 09:00:00,13.1,-48.9,43,1003
2011-09-08 12:00:00,13.0,-50.1,40,1004
2011-09-08 15:00:00,13.1,-51.2,40,1004
2011-09-08 18:00:00,13.2,-52.1,40,1004
2011-09-08 21:00:00,13.3,-52.9,40,1004
2011-09-09 00:00:00,13.5,-53.7,40,1004
2011-09-09 03:00:00,13.7,-54.5,40,1004
2011-09-09 06:00:00,13.9,-55.2,40,1003
2011-09-09 09:00:00,14.1,-55.9,43,1003
2011-09-09 12:00:00,14.3,-56.6,45,1003
2011-09-09 15:00:00,14.6,-57.3,45,1004
2011-09-09 18:00:00,14.9,-57.9,45,1004
2011-09-09 21:00:00,15.1,-58.5,45,1004
2011-09-10 00:00:00,15.4,-59.0,45,1004
2011-09-10 03:00:00,15.7,-59.5,45,1005
2011-09-10 06:00:00,16.0,-60.0,45,1005
2011-09-10 09:00:00,16.4,-60.6,45,1005
2011-09-10 12:00:00,16.9,-61.1,45,1005
2011-09-10 15:00:00,17.4,-61.6,45,1005
2011-09-10 18:00:00,17.8,-62.0,45,1005
2011-09-10 21:00:00,18.1,-62.4,45,1005
2011-09-11 00:00:00,18.3,-62.7,45,1005
2011-09-11 03:00:00,18.5,-63.1,48,1005
2011-09-11 06:00:00,18.7,-63.4,50,1004
2011-09-11 09:00:00,18.9,-63.8,50,1004
2011-09-11 12:00:00,19.1,-64.1,50,1004
2011-09-11 15:00:00,19.3,-64.4,50,1005
2011-09-11 18:00:00,19.6,-64.7,50,1005
2011-09-11 21:00:00,19.8,-65.0,50,1005
2011-09-12 00:00:00,20.0,-65.3,50,1005
2011-09-12 03:00:00,20.2,-65.7,50,1005
2011-09-12 06:00:00,20.4,-66.1,50,1005
2011-09-12 09:00:00,20.5,-66.5,50,1006
2011-09-12 12:00:00,20.6,-66.9,50,1006
2011-09-12 15:00:00,20.7,-67.0,50,1006
2011-09-12 18:00:00,20.8,-67.1,50,1006
2011-09-12 21:00:00,20.9,-67.2,48,1006
2011-09-13 00:00:00,21.0,-67.3,45,1006
2011-09-13 03:00:00,21.1,-67.4,45,1006
2011-09-13 06:00:00,21.3,-67.5,45,1006
2011-09-13 09:00:00,21.5,-67.6,45,1006
2011-09-13 12:00:00,21.7,-67.7,45,1006
2011-09-13 15:00:00,22.0,-67.8,45,1006
2011-09-13 18:00:00,22.3,-68.0,45,1005
2011-09-13 21:00:00,22.7,-68.2,45,1005
2011-09-14 00:00:00,23.1,-68.5,45,1004
2011-09-14 03:00:00,23.5,-68.8,48,1003
2011-09-14 06:00:00,23.9,-69.0,50,1001
2011-09-14 09:00:00,24.3,-69.2,50,1001
2011-09-14 12:00:00,24.7,-69.3,50,1001
2011-09-14 15:00:00,25.2,-69.4,53,1001
2011-09-14 18:00:00,25.8,-69.3,55,1000
2011-09-14 21:00:00,26.5,-69.1,58,1000
2011-09-15 00:00:00,27.2,-68.9,60,999
2011-09-15 03:00:00,27.9,-68.7,60,997
2011-09-15 06:00:00,28.8,-68.4,60,995
2011-09-15 09:00:00,29.8,-68.1,60,993
2011-09-15 12:00:00,30.9,-67.8,60,991
2011-09-15 15:00:00,32.2,-67.5,63,989
2011-09-15 18:00:00,33.7,-66.9,65,987
2011-09-15 21:00:00,35.2,-66.0,68,986
2011-09-16 00:00:00,36.8,-64.8,70,984
2011-09-16 03:00:00,38.3,-63.6,70,984
2011-09-16 06:00:00,39.8,-62.1,70,983
2011-09-16 09:00:00,41.3,-60.3,68,983
2011-09-16 12:00:00,42.9,-58.2,65,983
2011-09-16 15:00:00,44.8,-56.1,63,983
2011-09-16 18:00:00,46.7,-53.9,60,983
2011-09-16 18:30:00,47.0,-53.5,60,983
