time,lat,lon,vmax,mslp
2011-09-20 06:00:00,11.6,-37.0,25,1008
2011-09-20 09:00:00,11.8,-37.3,25,1008
2011-09-20 12:00:00,11.9,-37.7,25,1007
2011-09-20 15:00:00,12.0,-38.1,28,1007
2011-09-20 18:00:00,12.2,-38.6,30,1007
2011-09-20 21:00:00,12.4,-39.1,35,1006
2011-09-21 00:00:00,12.5,-39.7,40,1005
2011-09-21 03:00:00,12.6,-40.4,43,1005
2011-09-21 06:00:00,12.7,-41.1,45,1004
2011-09-21 09:00:00,12.8,-41.8,48,1002
2011-09-21 12:00:00,12.9,-42.6,50,999
2011-09-21 15:00:00,13.0,-43.4,50,999
2011-09-21 18:00:00,13.1,-44.1,50,999
2011-09-21 21:00:00,13.2,-44.7,50,999
2011-09-22 00:00:00,13.3,-45.2,50,998
2011-09-22 03:00:00,13.4,-45.8,53,996
2011-09-22 06:00:00,13.5,-46.3,55,993
2011-09-22 09:00:00,13.6,-46.8,55,993
2011-09-22 12:00:00,13.7,-47.3,55,993
2011-09-22 15:00:00,13.8,-47.8,53,995
2011-09-22 18:00:00,13.9,-48.3,50,997
2011-09-22 21:00:00,14.0,-48.8,48,999
2011-09-23 00:00:00,14.1,-49.4,45,1000
2011-09-23 03:00:00,14.2,-49.9,43,1002
2011-09-23 06:00:00,14.4,-50.5,40,1003
2011-09-23 09:00:00,14.5,-51.1,43,1003
2011-09-23 12:00:00,14.7,-51.7,45,1003
2011-09-23 15:00:00,14.9,-52.3,48,1002
2011-09-23 18:00:00,15.2,-52.9,50,1001
2011-09-23 21:00:00,15.5,-53.5,48,1003
2011-09-24 00:00:00,15.8,-54.0,45,1004
2011-09-24 03:00:00,16.1,-54.4,45,1005
2011-09-24 06:00:00,16.5,-54.8,45,1005
2011-09-24 09:00:00,16.9,-55.3,45,1005
2011-09-24 12:00:00,17.2,-55.9,45,1005
2011-09-24 15:00:00,17.4,-56.5,43,1006
2011-09-24 18:00:00,17.6,-57.0,40,1007
2011-09-24 21:00:00,17.8,-57.5,40,1008
2011-09-25 00:00:00,17.9,-58.0,40,1008
2011-09-25 03:00:00,18.1,-58.5,38,1008
2011-09-25 06:00:00,18.2,-59.0,35,1008
2011-09-25 09:00:00,18.3,-59.4,33,1009
2011-09-25 12:00:00,18.4,-59.8,30,1010
2011-09-25 15:00:00,18.5,-60.2,30,1011
2011-09-25 18:00:00,18.6,-60.5,30,1012
2011-09-25 21:00:00,18.6,-60.7,28,1012
2011-09-26 00:00:00,18.5,-60.8,25,1012
2011-09-26 03:00:00,18.4,-60.8,25,1012
2011-09-26 06:00:00,18.3,-60.7,25,1012
2011-09-26 09:00:00,18.1,-60.6,25,1012
2011-09-26 12:00:00,18.0,-60.5,25,1012
2011-09-26 15:00:00,17.9,-60.4,25,1012
2011-09-26 18:00:00,17.8,-60.2,25,1012
2011-09-26 21:00:00,17.7,-60.1,25,1012
2011-09-27 00:00:00,17.6,-59.9,25,1012
2011-09-27 03:00:00,17.6,-59.7,25,1012
2011-09-27 06:00:00,17.6,-59.5,25,1012
2011-09-27 09:00:00,17.7,-59.4,25,1011
