time,lat,lon,vmax,mslp
2011-10-22 00:00:00,12.7,-81.0,25,1007
2011-10-22 03:00:00,12.7,-81.1,25,1007
2011-10-22 06:00:00,12.7,-81.2,25,1007
2011-10-22 09:00:00,12.8,-81.3,25,1007
2011-10-22 12:00:00,12.9,-81.4,25,1006
2011-10-22 15:00:00,13.0,-81.4,25,1006
2011-10-22 18:00:00,13.2,-81.4,25,1006
2011-10-22 21:00:00,13.4,-81.4,25,1006
2011-10-23 00:00:00,13.6,-81.4,25,1006
2011-10-23 03:00:00,13.9,-81.4,25,1006
2011-10-23 06:00:00,14.2,-81.4,25,1006
2011-10-23 09:00:00,14.5,-81.4,25,1006
2011-10-23 12:00:00,14.8,-81.5,25,1006
2011-10-23 15:00:00,15.2,-81.6,28,1006
2011-10-23 18:00:00,15.5,-81.7,30,1005
2011-10-23 21:00:00,15.8,-81.8,33,1005
2011-10-24 00:00:00,16.0,-81.9,35,1004
2011-10-24 03:00:00,16.3,-82.0,38,1004
2011-10-24 06:00:00,16.5,-82.2,40,1003
2011-10-24 09:00:00,16.7,-82.4,45,1002
2011-10-24 12:00:00,16.9,-82.6,50,1001
2011-10-24 15:00:00,17.0,-82.8,58,996
2011-10-24 18:00:00,17.1,-83.0,65,991
2011-10-24 21:00:00,17.2,-83.1,70,987
2011-10-25 00:00:00,17.2,-83.2,75,982
2011-10-25 03:00:00,17.3,-83.3,83,979
2011-10-25 06:00:00,17.3,-83.5,90,976
2011-10-25 09:00:00,17.3,-83.6,93,974
2011-10-25 12:00:00,17.3,-83.8,95,972
2011-10-25 15:00:00,17.3,-84.0,98,972
2011-10-25 18:00:00,17.3,-84.2,100,971
2011-10-25 21:00:00,17.3,-84.4,100,969
2011-10-26 00:00:00,17.4,-84.6,100,966
2011-10-26 03:00:00,17.4,-84.8,100,968
2011-10-26 06:00:00,17.5,-85.0,100,969
2011-10-26 09:00:00,17.6,-85.2,93,971
2011-10-26 12:00:00,17.7,-85.4,85,973
2011-10-26 15:00:00,17.8,-85.6,83,975
2011-10-26 18:00:00,18.0,-85.8,80,976
2011-10-26 21:00:00,18.2,-86.1,80,977
2011-10-27 00:00:00,18.3,-86.3,80,978
2011-10-27 03:00:00,18.4,-86.5,73,983
2011-10-27 06:00:00,18.6,-86.7,65,987
2011-10-27 09:00:00,18.8,-86.8,63,988
2011-10-27 12:00:00,19.0,-86.9,60,988
2011-10-27 15:00:00,19.2,-87.0,60,990
2011-10-27 18:00:00,19.5,-87.1,60,991
2011-10-27 21:00:00,19.8,-87.2,58,994
2011-10-28 00:00:00,20.2,-87.2,55,996
2011-10-28 02:00:00,20.5,-87.2,50,996
2011-10-28 03:00:00,20.6,-87.2,50,996
2011-10-28 06:00:00,20.9,-87.1,50,998
2011-10-28 09:00:00,21.2,-87.0,45,1000
2011-10-28 12:00:00,21.4,-86.9,40,1002
2011-10-28 15:00:00,21.6,-86.7,33,1005
2011-10-28 18:00:00,21.7,-86.4,25,1007
2011-10-28 21:00:00,21.8,-85.9,23,1008
2011-10-29 00:00:00,21.8,-85.3,20,1008
2011-10-29 03:00:00,21.7,-84.7,20,1008
2011-10-29 06:00:00,21.5,-84.2,20,1008
