time,lat,lon,vmax,mslp
2011-11-06 00:00:00,28.5,-70.0,45,1005
2011-11-06 03:00:00,28.5,-69.6,45,1005
2011-11-06 06:00:00,28.5,-69.2,45,1005
2011-11-06 09:00:00,28.5,-69.0,45,1005
2011-11-06 12:00:00,28.4,-68.8,45,1005
2011-11-06 15:00:00,28.2,-68.6,45,1005
2011-11-06 18:00:00,28.0,-68.5,45,1005
2011-11-06 21:00:00,27.9,-68.5,45,1005
2011-11-07 00:00:00,27.9,-68.6,45,1005
2011-11-07 03:00:00,27.8,-68.6,43,1005
2011-11-07 06:00:00,27.7,-68.7,40,1005
2011-11-07 09:00:00,27.6,-68.8,40,1005
2011-11-07 12:00:00,27.5,-69.0,40,1005
2011-11-07 15:00:00,27.5,-69.1,40,1005
2011-11-07 18:00:00,27.6,-69.3,40,1004
2011-11-07 21:00:00,27.6,-69.5,40,1003
2011-11-08 00:00:00,27.6,-69.6,40,1002
2011-11-08 03:00:00,27.6,-69.7,40,1002
2011-11-08 06:00:00,27.7,-69.8,40,1001
2011-11-08 09:00:00,27.8,-69.9,43,1001
2011-11-08 12:00:00,27.8,-70.0,45,1000
2011-11-08 15:00:00,27.8,-70.0,45,1000
2011-11-08 18:00:00,27.8,-70.0,45,999
2011-11-08 21:00:00,27.8,-70.0,45,999
2011-11-09 00:00:00,27.8,-70.1,45,999
2011-11-09 03:00:00,27.8,-70.1,48,998
2011-11-09 06:00:00,27.8,-70.2,50,996
2011-11-09 09:00:00,27.8,-70.3,53,995
2011-11-09 12:00:00,27.9,-70.4,55,994
2011-11-09 15:00:00,28.1,-70.5,55,993
2011-11-09 18:00:00,28.3,-70.6,55,991
2011-11-09 21:00:00,28.6,-70.7,55,989
2011-11-10 00:00:00,29.0,-70.7,55,987
2011-11-10 03:00:00,29.4,-70.8,55,986
2011-11-10 06:00:00,29.7,-70.9,55,984
2011-11-10 09:00:00,30.0,-70.9,55,983
2011-11-10 12:00:00,30.2,-70.7,55,982
2011-11-10 15:00:00,30.3,-70.4,55,983
2011-11-10 18:00:00,30.5,-70.0,55,983
2011-11-10 21:00:00,30.7,-69.6,55,984
2011-11-11 00:00:00,31.0,-69.0,55,984
2011-11-11 03:00:00,31.5,-68.2,53,986
2011-11-11 06:00:00,32.2,-67.2,50,987
2011-11-11 09:00:00,32.8,-66.3,48,989
2011-11-11 12:00:00,33.4,-65.3,45,991
2011-11-11 15:00:00,34.1,-64.0,43,993
2011-11-11 18:00:00,34.8,-62.6,40,995
2011-11-11 21:00:00,35.3,-61.0,38,998
2011-11-12 00:00:00,35.9,-59.4,35,1000
2011-11-12 03:00:00,36.9,-58.2,35,1000
2011-11-12 06:00:00,38.0,-57.2,35,1000
2011-11-12 09:00:00,39.0,-56.1,35,1000
2011-11-12 12:00:00,40.0,-55.0,35,1000
2011-11-12 15:00:00,41.2,-53.8,35,1000
2011-11-12 18:00:00,42.5,-52.4,35,1000
