time,lat,lon,vmax,mslp
2012-10-02 12:00:00,12.4,-38.0,25,1008
2012-10-02 15:00:00,13.0,-38.3,25,1008
2012-10-02 18:00:00,13.6,-38.7,25,1008
2012-10-02 21:00:00,14.3,-39.1,28,1008
2012-10-03 00:00:00,15.0,-39.6,30,1007
2012-10-03 03:00:00,15.7,-40.1,30,1007
2012-10-03 06:00:00,16.3,-40.5,30,1006
2012-10-03 09:00:00,16.9,-40.9,30,1006
2012-10-03 12:00:00,17.4,-41.2,30,1006
2012-10-03 15:00:00,17.8,-41.5,33,1006
2012-10-03 18:00:00,18.2,-41.8,35,1005
2012-10-03 21:00:00,18.6,-42.0,38,1004
2012-10-04 00:00:00,18.9,-42.1,40,1002
2012-10-04 03:00:00,19.2,-42.2,40,1002
2012-10-04 06:00:00,19.5,-42.2,40,1001
2012-10-04 09:00:00,19.8,-42.1,43,1000
2012-10-04 12:00:00,20.2,-42.0,45,998
2012-10-04 15:00:00,20.6,-41.8,45,997
2012-10-04 18:00:00,21.0,-41.5,45,996
2012-10-04 21:00:00,21.4,-41.1,45,996
2012-10-05 00:00:00,21.8,-40.6,45,995
2012-10-05 03:00:00,22.2,-40.1,45,995
2012-10-05 06:00:00,22.7,-39.4,45,994
2012-10-05 09:00:00,23.1,-38.6,45,994
2012-10-05 12:00:00,23.5,-37.8,45,994
