time,lat,lon,vmax,mslp
2012-10-21 18:00:00,14.3,-77.4,25,1006
2012-10-21 21:00:00,14.1,-77.6,25,1006
2012-10-22 00:00:00,13.9,-77.8,25,1005
2012-10-22 03:00:00,13.7,-78.0,25,1004
2012-10-22 06:00:00,13.5,-78.2,25,1003
2012-10-22 09:00:00,13.3,-78.4,28,1003
2012-10-22 12:00:00,13.1,-78.6,30,1002
2012-10-22 15:00:00,12.9,-78.7,33,1001
2012-10-22 18:00:00,12.7,-78.7,35,1000
2012-10-22 21:00:00,12.6,-78.6,38,999
2012-10-23 00:00:00,12.6,-78.4,40,998
2012-10-23 03:00:00,12.7,-78.2,40,998
2012-10-23 06:00:00,12.9,-78.1,40,998
2012-10-23 09:00:00,13.1,-78.0,40,997
2012-10-23 12:00:00,13.4,-77.9,40,995
2012-10-23 15:00:00,13.7,-77.8,43,994
2012-10-23 18:00:00,14.0,-77.6,45,993
2012-10-23 21:00:00,14.3,-77.4,50,992
2012-10-24 00:00:00,14.7,-77.3,55,990
2012-10-24 03:00:00,15.1,-77.2,58,989
2012-10-24 06:00:00,15.6,-77.1,60,987
2012-10-24 09:00:00,16.1,-77.0,63,984
2012-10-24 12:00:00,16.6,-76.9,65,981
2012-10-24 15:00:00,17.1,-76.9,70,977
2012-10-24 18:00:00,17.7,-76.7,75,972
2012-10-24 19:00:00,17.9,-76.6,75,971
2012-10-24 21:00:00,18.3,-76.5,79,968
2012-10-25 00:00:00,18.9,-76.4,85,964
2012-10-25 03:00:00,19.5,-76.1,93,958
2012-10-25 05:25:00,20.0,-76.0,100,954
2012-10-25 06:00:00,20.1,-76.0,100,954
2012-10-25 09:00:00,20.9,-75.7,95,960
2012-10-25 12:00:00,21.7,-75.5,95,966
2012-10-25 15:00:00,22.5,-75.3,93,965
2012-10-25 18:00:00,23.3,-75.3,90,963
2012-10-25 21:00:00,24.1,-75.5,83,964
2012-10-26 00:00:00,24.8,-75.9,75,965
2012-10-26 03:00:00,25.3,-76.2,73,967
2012-10-26 06:00:00,25.7,-76.4,70,968
2012-10-26 09:00:00,26.1,-76.7,68,969
2012-10-26 12:00:00,26.4,-76.9,65,970
2012-10-26 15:00:00,26.7,-77.1,65,971
2012-10-26 18:00:00,27.0,-77.2,65,971
2012-10-26 21:00:00,27.2,-77.2,63,970
2012-10-27 00:00:00,27.5,-77.1,60,969
2012-10-27 03:00:00,27.8,-77.0,60,969
2012-10-27 06:00:00,28.1,-76.9,60,968
2012-10-27 09:00:00,28.4,-76.8,65,962
2012-10-27 12:00:00,28.8,-76.5,70,956
2012-10-27 15:00:00,29.2,-76.1,70,958
2012-10-27 18:00:00,29.7,-75.6,70,960
2012-10-27 21:00:00,30.1,-75.1,68,960
2012-10-28 00:00:00,30.5,-74.7,65,960
2012-10-28 03:00:00,30.9,-74.3,65,960
2012-10-28 06:00:00,31.3,-73.9,65,959
2012-10-28 09:00:00,31.6,-73.5,65,957
2012-10-28 12:00:00,32.0,-73.0,65,954
2012-10-28 15:00:00,32.4,-72.5,65,953
2012-10-28 18:00:00,32.8,-72.0,65,952
2012-10-28 21:00:00,33.3,-71.5,68,951
2012-10-29 00:00:00,33.9,-71.0,70,950
2012-10-29 03:00:00,34.6,-70.6,75,949
2012-10-29 06:00:00,35.3,-70.5,80,947
2012-10-29 09:00:00,36.1,-70.5,83,946
2012-10-29 12:00:00,36.9,-71.0,85,945
2012-10-29 15:00:00,37.7,-72.0,83,943
2012-10-29 18:00:00,38.3,-73.2,80,940
2012-10-29 21:00:00,38.8,-74.0,75,943
2012-10-29 23:30:00,39.4,-74.4,70,945
2012-10-30 00:00:00,39.5,-74.5,70,946
2012-10-30 03:00:00,39.8,-75.3,63,953
2012-10-30 06:00:00,39.9,-76.2,55,960
2012-10-30 09:00:00,40.0,-77.0,53,969
2012-10-30 12:00:00,40.1,-77.8,50,978
2012-10-30 15:00:00,40.2,-78.4,45,982
2012-10-30 18:00:00,40.4,-78.9,40,986
2012-10-30 21:00:00,40.5,-79.4,38,989
2012-10-31 00:00:00,40.7,-79.8,35,992
2012-10-31 03:00:00,40.9,-80.1,35,993
2012-10-31 06:00:00,41.1,-80.3,35,993
2012-10-31 09:00:00,41.3,-80.5,33,994
2012-10-31 12:00:00,41.5,-80.7,30,995
