time,lat,lon,vmax,mslp
2012-10-21 18:00:00,20.1,-50.8,25,1011
2012-10-21 21:00:00,20.2,-51.0,25,1011
2012-10-22 00:00:00,20.4,-51.2,25,1011
2012-10-22 03:00:00,20.6,-51.4,25,1011
2012-10-22 06:00:00,20.8,-51.5,25,1010
2012-10-22 09:00:00,21.0,-51.6,28,1010
2012-10-22 12:00:00,21.3,-51.7,30,1009
2012-10-22 15:00:00,21.6,-51.8,30,1008
2012-10-22 18:00:00,21.9,-51.8,30,1006
2012-10-22 21:00:00,22.2,-51.8,30,1006
2012-10-23 00:00:00,22.5,-51.8,30,1006
2012-10-23 03:00:00,23.0,-51.7,30,1006
2012-10-23 06:00:00,23.6,-51.6,30,1006
2012-10-23 09:00:00,24.2,-51.5,30,1006
2012-10-23 12:00:00,24.7,-51.3,30,1006
2012-10-23 15:00:00,25.2,-51.0,30,1006
2012-10-23 18:00:00,25.7,-50.6,30,1005
2012-10-23 21:00:00,26.1,-50.1,33,1005
2012-10-24 00:00:00,26.5,-49.6,35,1004
2012-10-24 03:00:00,26.9,-49.1,38,1004
2012-10-24 06:00:00,27.2,-48.5,40,1003
2012-10-24 09:00:00,27.5,-47.7,43,1002
2012-10-24 12:00:00,27.9,-46.8,45,1000
2012-10-24 15:00:00,28.3,-45.8,45,1000
2012-10-24 18:00:00,28.7,-44.7,45,1000
2012-10-24 21:00:00,29.1,-43.6,45,1000
2012-10-25 00:00:00,29.5,-42.4,45,1000
2012-10-25 03:00:00,29.8,-41.2,45,1000
2012-10-25 06:00:00,30.1,-40.0,45,1000
2012-10-25 09:00:00,30.4,-38.8,40,1000
2012-10-25 12:00:00,30.6,-37.6,35,1000
2012-10-25 15:00:00,30.8,-36.4,35,1001
2012-10-25 18:00:00,31.0,-35.1,35,1001
2012-10-25 21:00:00,31.2,-33.8,35,1001
2012-10-26 00:00:00,31.3,-32.6,35,1001
2012-10-26 03:00:00,31.3,-31.5,33,1003
2012-10-26 06:00:00,31.2,-30.5,30,1004
2012-10-26 09:00:00,31.1,-29.5,28,1005
2012-10-26 12:00:00,30.9,-28.6,25,1006
