time,lat,lon,vmax,mslp
2013-05-28 12:00:00,13.9,-96.1,30,1006
2013-05-28 15:00:00,14.0,-96.1,33,1005
2013-05-28 18:00:00,14.1,-96.1,35,1004
2013-05-28 21:00:00,14.1,-96.1,38,1003
2013-05-29 00:00:00,14.2,-96.0,40,1001
2013-05-29 03:00:00,14.4,-95.8,45,1000
2013-05-29 06:00:00,14.6,-95.5,50,998
2013-05-29 09:00:00,14.8,-95.2,53,996
2013-05-29 12:00:00,15.1,-94.8,55,994
2013-05-29 15:00:00,15.3,-94.5,60,990
2013-05-29 18:00:00,15.7,-94.2,65,986
2013-05-29 19:50:00,16.0,-94.0,70,983
2013-05-29 21:00:00,16.2,-93.9,64,986
2013-05-30 00:00:00,16.7,-93.9,50,993
2013-05-30 03:00:00,17.2,-93.9,40,997
2013-05-30 06:00:00,17.6,-93.9,30,1001
2013-05-30 09:00:00,17.9,-93.9,28,1003
2013-05-30 12:00:00,18.2,-93.9,25,1004
2013-05-30 15:00:00,18.5,-93.9,23,1005
2013-05-30 18:00:00,18.8,-93.9,20,1006
