time,lat,lon,vmax,mslp
2013-06-16 00:00:00,12.4,-81.5,20,1009
2013-06-16 03:00:00,12.9,-81.7,20,1009
2013-06-16 06:00:00,13.4,-82.0,20,1009
2013-06-16 09:00:00,13.8,-82.4,23,1009
2013-06-16 12:00:00,14.2,-82.8,25,1008
2013-06-16 15:00:00,14.5,-83.3,25,1008
2013-06-16 18:00:00,14.8,-83.8,25,1008
2013-06-16 21:00:00,15.1,-84.3,25,1008
2013-06-17 00:00:00,15.3,-84.8,25,1008
2013-06-17 03:00:00,15.5,-85.3,25,1008
2013-06-17 06:00:00,15.6,-85.9,25,1008
2013-06-17 09:00:00,15.8,-86.5,28,1008
2013-06-17 12:00:00,16.0,-87.0,30,1007
2013-06-17 15:00:00,16.2,-87.5,30,1007
2013-06-17 18:00:00,16.3,-87.9,30,1007
2013-06-17 21:00:00,16.4,-88.3,30,1006
2013-06-17 22:00:00,16.5,-88.4,30,1006
2013-06-18 00:00:00,16.6,-88.6,30,1007
2013-06-18 03:00:00,16.8,-88.9,28,1008
2013-06-18 06:00:00,17.0,-89.3,25,1009
2013-06-18 09:00:00,17.3,-89.8,28,1009
2013-06-18 12:00:00,17.6,-90.3,30,1008
2013-06-18 15:00:00,17.9,-90.8,30,1008
2013-06-18 18:00:00,18.2,-91.3,30,1008
2013-06-18 21:00:00,18.5,-91.8,30,1008
2013-06-19 00:00:00,18.8,-92.2,30,1007
2013-06-19 03:00:00,19.0,-92.7,30,1007
2013-06-19 06:00:00,19.2,-93.1,30,1007
2013-06-19 09:00:00,19.4,-93.6,33,1007
2013-06-19 12:00:00,19.5,-94.0,35,1006
2013-06-19 15:00:00,19.6,-94.4,38,1006
2013-06-19 18:00:00,19.6,-94.8,40,1005
2013-06-19 21:00:00,19.6,-95.1,40,1004
2013-06-20 00:00:00,19.6,-95.4,40,1003
2013-06-20 03:00:00,19.6,-95.7,40,1003
2013-06-20 06:00:00,19.6,-95.9,40,1003
2013-06-20 09:00:00,19.6,-96.2,40,1003
2013-06-20 11:15:00,19.6,-96.4,40,1003
2013-06-20 12:00:00,19.6,-96.5,40,1004
2013-06-20 15:00:00,19.6,-96.8,35,1006
2013-06-20 18:00:00,19.6,-97.0,30,1007
2013-06-20 21:00:00,19.6,-97.2,28,1009
2013-06-21 00:00:00,19.6,-97.5,25,1011
