time,lat,lon,vmax,mslp
2013-07-22 18:00:00,11.3,-20.0,25,1009
2013-07-22 21:00:00,11.4,-20.5,25,1009
2013-07-23 00:00:00,11.5,-20.9,25,1009
2013-07-23 03:00:00,11.6,-21.3,25,1009
2013-07-23 06:00:00,11.7,-21.8,25,1009
2013-07-23 09:00:00,11.8,-22.3,25,1009
2013-07-23 12:00:00,12.0,-22.8,25,1009
2013-07-23 15:00:00,12.2,-23.3,25,1009
2013-07-23 18:00:00,12.4,-23.9,25,1008
2013-07-23 21:00:00,12.7,-24.6,28,1008
2013-07-24 00:00:00,13.0,-25.4,30,1007
2013-07-24 03:00:00,13.3,-26.2,33,1007
2013-07-24 06:00:00,13.5,-27.1,35,1006
2013-07-24 09:00:00,13.7,-28.0,38,1006
2013-07-24 12:00:00,13.9,-29.0,40,1005
2013-07-24 15:00:00,14.1,-29.9,43,1005
2013-07-24 18:00:00,14.4,-30.8,45,1004
2013-07-24 21:00:00,14.7,-31.6,45,1004
2013-07-25 00:00:00,14.9,-32.4,45,1004
2013-07-25 03:00:00,15.1,-33.2,48,1003
2013-07-25 06:00:00,15.3,-33.9,50,1002
2013-07-25 09:00:00,15.5,-34.7,50,1002
2013-07-25 12:00:00,15.7,-35.5,50,1002
2013-07-25 15:00:00,15.8,-36.3,50,1003
2013-07-25 18:00:00,16.0,-37.1,50,1003
2013-07-25 21:00:00,16.2,-37.9,48,1004
2013-07-26 00:00:00,16.4,-38.7,45,1005
2013-07-26 03:00:00,16.6,-39.7,45,1006
2013-07-26 06:00:00,16.9,-40.7,45,1006
2013-07-26 09:00:00,17.1,-41.7,45,1007
2013-07-26 12:00:00,17.3,-42.8,45,1008
2013-07-26 15:00:00,17.5,-43.9,43,1009
2013-07-26 18:00:00,17.6,-45.0,40,1010
2013-07-26 21:00:00,17.7,-46.1,38,1011
2013-07-27 00:00:00,17.8,-47.1,35,1012
2013-07-27 03:00:00,17.9,-48.2,35,1012
2013-07-27 06:00:00,18.0,-49.2,35,1012
2013-07-27 09:00:00,18.1,-50.2,35,1012
2013-07-27 12:00:00,18.3,-51.1,35,1012
2013-07-27 15:00:00,18.4,-52.1,35,1012
2013-07-27 18:00:00,18.6,-53.0,35,1012
2013-07-27 21:00:00,18.8,-54.0,35,1012
2013-07-28 00:00:00,19.0,-54.9,35,1012
2013-07-28 03:00:00,19.2,-55.9,35,1013
2013-07-28 06:00:00,19.4,-56.8,35,1013
2013-07-28 09:00:00,19.6,-57.7,35,1013
2013-07-28 12:00:00,19.8,-58.6,35,1013
2013-07-28 15:00:00,20.0,-59.5,33,1013
2013-07-28 18:00:00,20.1,-60.3,30,1013
2013-07-28 21:00:00,20.3,-61.2,28,1014
2013-07-29 00:00:00,20.4,-62.0,25,1014
2013-07-29 03:00:00,20.5,-62.9,25,1014
2013-07-29 06:00:00,20.6,-63.7,25,1014
2013-07-29 09:00:00,20.7,-64.5,25,1015
2013-07-29 12:00:00,20.8,-65.3,25,1015
2013-07-29 15:00:00,20.9,-66.1,25,1015
2013-07-29 18:00:00,21.0,-66.9,25,1015
2013-07-29 21:00:00,21.1,-67.7,25,1015
2013-07-30 00:00:00,21.3,-68.5,25,1015
2013-07-30 03:00:00,21.4,-69.2,25,1015
2013-07-30 06:00:00,21.5,-69.8,25,1015
2013-07-30 09:00:00,21.6,-70.4,25,1015
2013-07-30 12:00:00,21.7,-71.0,25,1015
2013-07-30 15:00:00,21.8,-71.6,25,1015
2013-07-30 18:00:00,21.9,-72.2,25,1015
2013-07-30 21:00:00,22.0,-72.8,25,1015
2013-07-31 00:00:00,22.1,-73.3,25,1015
2013-07-31 03:00:00,22.2,-73.9,25,1015
2013-07-31 06:00:00,22.4,-74.4,25,1015
2013-07-31 09:00:00,22.5,-74.9,25,1015
2013-07-31 12:00:00,22.6,-75.3,25,1015
2013-07-31 15:00:00,22.7,-75.6,25,1015
2013-07-31 18:00:00,22.8,-75.9,25,1015
2013-07-31 21:00:00,22.9,-76.2,25,1015
2013-08-01 00:00:00,23.0,-76.5,25,1014
2013-08-01 03:00:00,23.1,-76.7,25,1014
2013-08-01 06:00:00,23.3,-77.0,25,1013
2013-08-01 09:00:00,23.5,-77.3,25,1013
2013-08-01 12:00:00,23.7,-77.7,25,1013
2013-08-01 15:00:00,23.9,-78.1,25,1013
2013-08-01 18:00:00,24.2,-78.4,25,1013
2013-08-01 21:00:00,24.5,-78.7,25,1013
2013-08-02 00:00:00,24.9,-79.0,25,1013
2013-08-02 03:00:00,25.3,-79.2,25,1013
2013-08-02 06:00:00,25.7,-79.3,25,1013
2013-08-02 09:00:00,26.1,-79.4,25,1013
2013-08-02 12:00:00,26.5,-79.4,25,1013
2013-08-02 15:00:00,26.9,-79.4,25,1013
2013-08-02 18:00:00,27.4,-79.4,25,1013
2013-08-02 21:00:00,27.9,-79.4,28,1013
2013-08-03 00:00:00,28.4,-79.3,30,1013
2013-08-03 03:00:00,28.9,-79.2,30,1013
2013-08-03 06:00:00,29.4,-79.1,30,1013
2013-08-03 09:00:00,29.9,-79.0,30,1013
2013-08-03 12:00:00,30.3,-78.8,30,1013
2013-08-03 15:00:00,30.7,-78.5,30,1013
2013-08-03 18:00:00,31.1,-78.1,30,1013
2013-08-03 21:00:00,31.5,-77.7,30,1013
2013-08-04 00:00:00,31.8,-77.2,30,1012
2013-08-04 03:00:00,32.1,-76.5,30,1012
2013-08-04 06:00:00,32.4,-75.6,30,1011
