time,lat,lon,vmax,mslp
2013-09-04 18:00:00,16.2,-65.9,30,1010
2013-09-04 21:00:00,16.5,-66.1,30,1009
2013-09-05 00:00:00,16.7,-66.3,30,1008
2013-09-05 03:00:00,16.9,-66.6,30,1008
2013-09-05 06:00:00,17.1,-67.0,30,1008
2013-09-05 09:00:00,17.2,-67.4,30,1009
2013-09-05 12:00:00,17.4,-67.7,30,1010
2013-09-05 15:00:00,17.6,-68.1,28,1010
2013-09-05 18:00:00,17.9,-68.4,25,1010
2013-09-05 21:00:00,18.3,-68.4,25,1010
2013-09-06 00:00:00,18.8,-68.4,25,1010
2013-09-06 03:00:00,19.2,-68.4,23,1010
2013-09-06 06:00:00,19.5,-68.5,20,1010
2013-09-06 09:00:00,19.8,-68.6,20,1010
2013-09-06 12:00:00,20.0,-68.6,20,1010
2013-09-06 15:00:00,20.2,-68.7,20,1010
2013-09-06 18:00:00,20.4,-68.7,20,1010
2013-09-06 21:00:00,20.8,-68.7,20,1010
2013-09-07 00:00:00,21.2,-68.7,20,1010
2013-09-07 03:00:00,21.6,-68.7,20,1010
2013-09-07 06:00:00,22.0,-68.8,20,1010
2013-09-07 09:00:00,22.4,-69.0,23,1010
2013-09-07 12:00:00,22.8,-69.2,25,1009
2013-09-07 15:00:00,23.2,-69.2,25,1009
2013-09-07 18:00:00,23.6,-69.2,25,1009
2013-09-07 21:00:00,24.0,-69.2,25,1009
2013-09-08 00:00:00,24.4,-69.1,25,1009
2013-09-08 03:00:00,24.6,-69.0,25,1009
2013-09-08 06:00:00,24.7,-68.9,25,1009
2013-09-08 09:00:00,24.8,-68.8,25,1009
2013-09-08 12:00:00,24.8,-68.8,25,1008
2013-09-08 15:00:00,24.8,-68.8,25,1008
2013-09-08 18:00:00,24.9,-68.7,25,1008
2013-09-08 21:00:00,25.0,-68.5,25,1008
2013-09-09 00:00:00,25.1,-68.2,25,1008
2013-09-09 03:00:00,25.2,-68.0,25,1008
2013-09-09 06:00:00,25.4,-67.8,25,1008
2013-09-09 09:00:00,25.6,-67.4,28,1008
2013-09-09 12:00:00,25.9,-66.9,30,1008
2013-09-09 15:00:00,26.2,-66.4,30,1008
2013-09-09 18:00:00,26.6,-65.9,30,1008
2013-09-09 21:00:00,27.0,-65.4,30,1008
2013-09-10 00:00:00,27.6,-65.1,30,1007
2013-09-10 03:00:00,28.3,-65.0,35,1006
2013-09-10 06:00:00,29.0,-65.0,40,1005
2013-09-10 09:00:00,29.6,-64.9,48,1004
2013-09-10 12:00:00,30.1,-64.8,55,1003
2013-09-10 15:00:00,30.6,-64.7,53,1004
2013-09-10 18:00:00,31.1,-64.7,50,1004
2013-09-10 21:00:00,31.5,-64.8,50,1004
2013-09-11 00:00:00,31.9,-64.9,50,1004
2013-09-11 03:00:00,32.1,-65.1,48,1006
2013-09-11 06:00:00,32.3,-65.4,45,1008
2013-09-11 09:00:00,32.4,-65.6,43,1009
2013-09-11 12:00:00,32.5,-65.7,40,1009
2013-09-11 15:00:00,32.5,-65.9,38,1009
2013-09-11 18:00:00,32.6,-66.2,35,1009
2013-09-11 21:00:00,32.7,-66.5,33,1009
2013-09-12 00:00:00,32.9,-66.8,30,1009
2013-09-12 03:00:00,33.0,-67.1,30,1009
2013-09-12 06:00:00,33.2,-67.4,30,1009
2013-09-12 09:00:00,33.4,-67.5,33,1009
2013-09-12 12:00:00,33.6,-67.6,35,1008
2013-09-12 15:00:00,33.8,-67.8,35,1008
2013-09-12 18:00:00,34.0,-67.9,35,1008
2013-09-12 21:00:00,34.3,-68.1,35,1008
2013-09-13 00:00:00,34.7,-68.1,35,1008
2013-09-13 03:00:00,35.2,-67.9,33,1008
2013-09-13 06:00:00,35.9,-67.5,30,1007
2013-09-13 09:00:00,36.8,-67.1,30,1006
2013-09-13 12:00:00,37.7,-66.6,30,1005
