time,lat,lon,vmax,mslp
2013-09-08 00:00:00,13.0,-17.6,25,1009
2013-09-08 03:00:00,13.0,-18.0,25,1009
2013-09-08 06:00:00,13.0,-18.4,25,1009
2013-09-08 09:00:00,13.0,-18.8,25,1009
2013-09-08 12:00:00,13.0,-19.3,25,1009
2013-09-08 15:00:00,13.0,-19.8,25,1009
2013-09-08 18:00:00,13.0,-20.3,25,1008
2013-09-08 21:00:00,13.0,-20.8,28,1008
2013-09-09 00:00:00,13.1,-21.3,30,1007
2013-09-09 03:00:00,13.2,-21.8,33,1007
2013-09-09 06:00:00,13.3,-22.4,35,1006
2013-09-09 09:00:00,13.4,-23.0,38,1006
2013-09-09 12:00:00,13.5,-23.6,40,1005
2013-09-09 15:00:00,13.6,-24.1,43,1005
2013-09-09 18:00:00,13.7,-24.6,45,1004
2013-09-09 21:00:00,13.8,-25.1,48,1003
2013-09-10 00:00:00,13.9,-25.5,50,1002
2013-09-10 03:00:00,14.0,-26.0,53,1001
2013-09-10 06:00:00,14.1,-26.5,55,1000
2013-09-10 09:00:00,14.2,-26.9,55,1000
2013-09-10 12:00:00,14.3,-27.3,55,1000
2013-09-10 15:00:00,14.5,-27.6,55,1000
2013-09-10 18:00:00,14.7,-27.9,55,999
2013-09-10 21:00:00,14.9,-28.1,55,999
2013-09-11 00:00:00,15.1,-28.3,55,998
2013-09-11 03:00:00,15.3,-28.5,58,996
2013-09-11 06:00:00,15.6,-28.6,60,994
2013-09-11 09:00:00,15.9,-28.8,65,991
2013-09-11 12:00:00,16.3,-28.9,70,987
2013-09-11 15:00:00,16.8,-28.9,75,983
2013-09-11 18:00:00,17.4,-28.9,80,979
2013-09-11 21:00:00,18.0,-28.9,80,979
2013-09-12 00:00:00,18.6,-28.9,80,979
2013-09-12 03:00:00,19.2,-28.9,80,979
2013-09-12 06:00:00,19.9,-28.9,80,979
2013-09-12 09:00:00,20.6,-28.9,78,980
2013-09-12 12:00:00,21.2,-28.9,75,980
2013-09-12 15:00:00,21.8,-29.0,75,980
2013-09-12 18:00:00,22.3,-29.1,75,980
2013-09-12 21:00:00,22.8,-29.3,73,981
2013-09-13 00:00:00,23.2,-29.5,70,982
2013-09-13 03:00:00,23.6,-29.7,65,984
2013-09-13 06:00:00,24.0,-30.0,60,986
2013-09-13 09:00:00,24.3,-30.4,58,987
2013-09-13 12:00:00,24.6,-30.8,55,988
2013-09-13 15:00:00,24.7,-31.2,50,992
2013-09-13 18:00:00,24.8,-31.7,45,995
2013-09-13 21:00:00,24.8,-32.1,43,997
2013-09-14 00:00:00,24.8,-32.6,40,999
2013-09-14 03:00:00,24.8,-33.1,38,1001
2013-09-14 06:00:00,24.9,-33.6,35,1003
2013-09-14 09:00:00,25.0,-34.2,35,1004
2013-09-14 12:00:00,25.2,-34.8,35,1004
2013-09-14 15:00:00,25.4,-35.5,35,1005
2013-09-14 18:00:00,25.5,-36.3,35,1005
2013-09-14 21:00:00,25.6,-37.1,35,1005
2013-09-15 00:00:00,25.6,-37.8,35,1004
2013-09-15 03:00:00,25.6,-38.4,35,1004
2013-09-15 06:00:00,25.6,-38.9,35,1004
2013-09-15 09:00:00,25.7,-39.3,35,1004
2013-09-15 12:00:00,25.9,-39.7,35,1004
2013-09-15 15:00:00,26.1,-40.0,35,1004
2013-09-15 18:00:00,26.4,-40.4,35,1004
2013-09-15 21:00:00,26.6,-40.8,35,1004
2013-09-16 00:00:00,26.7,-41.3,35,1004
2013-09-16 03:00:00,26.7,-41.9,35,1004
2013-09-16 06:00:00,26.7,-42.4,35,1004
2013-09-16 09:00:00,26.7,-42.7,38,1002
2013-09-16 12:00:00,26.8,-42.9,40,1000
2013-09-16 15:00:00,26.9,-43.1,40,1000
2013-09-16 18:00:00,26.9,-43.3,40,1000
2013-09-16 21:00:00,26.9,-43.3,38,1001
2013-09-17 00:00:00,27.0,-43.2,35,1002
2013-09-17 03:00:00,27.1,-43.1,35,1002
2013-09-17 06:00:00,27.4,-42.9,35,1002
2013-09-17 09:00:00,27.8,-42.7,38,1001
2013-09-17 12:00:00,28.4,-42.6,40,1000
2013-09-17 15:00:00,28.9,-42.6,40,1000
2013-09-17 18:00:00,29.5,-42.7,40,1000
2013-09-17 21:00:00,30.0,-42.9,38,1002
2013-09-18 00:00:00,30.5,-43.2,35,1003
2013-09-18 03:00:00,30.8,-43.4,33,1005
2013-09-18 06:00:00,31.1,-43.6,30,1006
2013-09-18 09:00:00,31.4,-43.8,30,1006
2013-09-18 12:00:00,31.6,-43.9,30,1006
2013-09-18 15:00:00,31.8,-44.0,30,1007
2013-09-18 18:00:00,32.0,-44.1,30,1007
2013-09-18 21:00:00,32.2,-44.2,30,1007
2013-09-19 00:00:00,32.5,-44.3,30,1007
2013-09-19 03:00:00,32.8,-44.4,30,1007
2013-09-19 06:00:00,33.0,-44.5,30,1007
