time,lat,lon,vmax,mslp
2013-09-12 06:00:00,19.3,-92.2,25,1006
2013-09-12 09:00:00,19.5,-92.5,28,1006
2013-09-12 12:00:00,19.6,-92.9,30,1005
2013-09-12 15:00:00,19.7,-93.3,30,1005
2013-09-12 18:00:00,19.7,-93.6,30,1004
2013-09-12 21:00:00,19.7,-93.9,30,1004
2013-09-13 00:00:00,19.7,-94.1,30,1003
2013-09-13 03:00:00,19.7,-94.3,30,1003
2013-09-13 06:00:00,19.6,-94.6,30,1002
2013-09-13 09:00:00,19.5,-94.9,33,1001
2013-09-13 12:00:00,19.3,-95.1,35,1000
2013-09-13 15:00:00,19.2,-95.2,38,998
2013-09-13 18:00:00,19.1,-95.3,40,996
2013-09-13 21:00:00,19.2,-95.3,45,995
2013-09-14 00:00:00,19.3,-95.3,50,993
2013-09-14 03:00:00,19.4,-95.2,53,992
2013-09-14 06:00:00,19.6,-95.1,55,990
2013-09-14 09:00:00,19.9,-94.9,58,990
2013-09-14 12:00:00,20.3,-94.6,60,989
2013-09-14 15:00:00,20.7,-94.4,63,988
2013-09-14 18:00:00,21.0,-94.4,65,986
2013-09-14 21:00:00,21.3,-94.5,70,985
2013-09-15 00:00:00,21.6,-94.7,75,983
2013-09-15 03:00:00,21.8,-94.9,75,984
2013-09-15 06:00:00,22.0,-95.2,75,985
2013-09-15 09:00:00,22.2,-95.4,70,987
2013-09-15 12:00:00,22.4,-95.6,65,989
2013-09-15 15:00:00,22.6,-95.8,65,988
2013-09-15 18:00:00,22.7,-95.9,65,987
2013-09-15 21:00:00,22.8,-96.0,68,988
2013-09-16 00:00:00,23.0,-96.2,70,989
2013-09-16 03:00:00,23.2,-96.5,65,990
2013-09-16 06:00:00,23.4,-96.9,60,990
2013-09-16 09:00:00,23.6,-97.4,57,991
2013-09-16 11:15:00,23.7,-97.7,55,991
2013-09-16 12:00:00,23.7,-97.8,55,991
2013-09-16 15:00:00,23.7,-98.3,48,995
2013-09-16 18:00:00,23.7,-98.7,40,998
2013-09-16 21:00:00,23.7,-99.0,33,1002
2013-09-17 00:00:00,23.7,-99.2,25,1006
2013-09-17 03:00:00,23.7,-99.4,23,1007
2013-09-17 06:00:00,23.7,-99.7,20,1008
