time,lat,lon,vmax,mslp
2014-06-28 18:00:00,32.0,-78.2,20,1017
2014-06-28 21:00:00,31.6,-78.0,20,1017
2014-06-29 00:00:00,31.2,-77.8,20,1017
2014-06-29 03:00:00,30.8,-77.6,20,1017
2014-06-29 06:00:00,30.5,-77.4,20,1017
2014-06-29 09:00:00,30.2,-77.3,20,1017
2014-06-29 12:00:00,30.0,-77.2,20,1016
2014-06-29 15:00:00,29.8,-77.2,23,1016
2014-06-29 18:00:00,29.7,-77.2,25,1015
2014-06-29 21:00:00,29.6,-77.3,25,1015
2014-06-30 00:00:00,29.5,-77.5,25,1014
2014-06-30 03:00:00,29.4,-77.7,25,1014
2014-06-30 06:00:00,29.2,-78.0,25,1013
2014-06-30 09:00:00,29.0,-78.2,25,1012
2014-06-30 12:00:00,28.7,-78.4,25,1011
2014-06-30 15:00:00,28.4,-78.6,28,1011
2014-06-30 18:00:00,28.1,-78.7,30,1010
2014-06-30 21:00:00,27.9,-78.8,30,1009
2014-07-01 00:00:00,27.7,-78.9,30,1008
2014-07-01 03:00:00,27.6,-79.0,30,1008
2014-07-01 06:00:00,27.5,-79.1,30,1007
2014-07-01 09:00:00,27.5,-79.2,33,1006
2014-07-01 12:00:00,27.5,-79.2,35,1005
2014-07-01 15:00:00,27.6,-79.3,38,1004
2014-07-01 18:00:00,27.7,-79.3,40,1003
2014-07-01 21:00:00,27.8,-79.3,43,1001
2014-07-02 00:00:00,27.9,-79.2,45,999
2014-07-02 03:00:00,28.0,-79.1,48,997
2014-07-02 06:00:00,28.2,-79.1,50,995
2014-07-02 09:00:00,28.4,-79.0,53,995
2014-07-02 12:00:00,28.7,-79.0,55,995
2014-07-02 15:00:00,29.0,-79.0,58,995
2014-07-02 18:00:00,29.4,-79.1,60,994
2014-07-02 21:00:00,29.7,-79.2,63,991
2014-07-03 00:00:00,30.1,-79.2,65,987
2014-07-03 03:00:00,30.5,-79.2,68,986
2014-07-03 06:00:00,30.9,-79.1,70,984
2014-07-03 09:00:00,31.3,-79.0,75,983
2014-07-03 12:00:00,31.8,-78.8,80,981
2014-07-03 15:00:00,32.3,-78.6,80,980
2014-07-03 18:00:00,32.9,-78.3,80,978
2014-07-03 21:00:00,33.4,-77.9,83,977
2014-07-04 00:00:00,34.0,-77.3,85,975
2014-07-04 03:00:00,34.6,-76.7,85,974
2014-07-04 03:15:00,34.7,-76.6,85,974
2014-07-04 06:00:00,35.3,-76.0,85,973
2014-07-04 08:00:00,35.8,-75.5,85,973
2014-07-04 09:00:00,36.0,-75.2,84,974
2014-07-04 12:00:00,36.8,-74.4,80,976
2014-07-04 15:00:00,37.6,-73.5,75,977
2014-07-04 18:00:00,38.4,-72.4,70,978
2014-07-04 21:00:00,39.3,-71.1,68,977
2014-07-05 00:00:00,40.2,-69.7,65,976
2014-07-05 03:00:00,41.2,-68.5,63,979
2014-07-05 06:00:00,42.3,-67.6,60,981
2014-07-05 09:00:00,43.2,-67.0,60,982
2014-07-05 12:00:00,44.1,-66.5,60,982
2014-07-05 15:00:00,45.0,-65.9,58,981
2014-07-05 18:00:00,45.9,-65.3,55,980
2014-07-05 21:00:00,46.6,-64.7,53,981
2014-07-06 00:00:00,47.1,-64.0,50,981
2014-07-06 03:00:00,47.4,-63.3,48,982
2014-07-06 06:00:00,47.6,-62.4,45,982
2014-07-06 09:00:00,48.0,-61.3,43,984
2014-07-06 12:00:00,48.5,-60.2,40,986
2014-07-06 15:00:00,49.3,-59.1,38,988
2014-07-06 18:00:00,50.3,-58.1,35,989
2014-07-06 21:00:00,51.3,-57.2,35,989
2014-07-07 00:00:00,52.3,-56.4,35,988
2014-07-07 03:00:00,53.3,-55.8,35,987
2014-07-07 06:00:00,54.2,-55.4,35,985
2014-07-07 09:00:00,55.1,-55.0,35,985
2014-07-07 12:00:00,56.0,-54.7,35,984
2014-07-07 15:00:00,56.7,-54.4,38,985
2014-07-07 18:00:00,57.3,-54.2,40,985
2014-07-07 21:00:00,57.7,-54.1,43,987
2014-07-08 00:00:00,58.1,-54.1,45,988
2014-07-08 03:00:00,58.5,-54.3,43,990
2014-07-08 06:00:00,58.9,-54.7,40,991
2014-07-08 09:00:00,59.2,-55.4,38,992
2014-07-08 12:00:00,59.4,-56.1,35,993
2014-07-08 15:00:00,59.7,-56.7,33,994
2014-07-08 18:00:00,60.0,-57.0,30,995
2014-07-08 21:00:00,60.2,-57.0,30,996
2014-07-09 00:00:00,60.3,-56.7,30,997
2014-07-09 03:00:00,60.2,-56.5,28,999
2014-07-09 06:00:00,60.1,-56.2,25,1001
2014-07-09 09:00:00,60.0,-56.0,25,1003
2014-07-09 12:00:00,59.8,-55.7,25,1005
2014-07-09 15:00:00,59.6,-55.4,25,1007
2014-07-09 18:00:00,59.5,-55.0,25,1008
