time,lat,lon,vmax,mslp
2014-08-23 18:00:00,21.5,-72.2,30,1005
2014-08-23 21:00:00,21.7,-72.3,30,1005
2014-08-24 00:00:00,22.0,-72.5,30,1004
2014-08-24 03:00:00,22.3,-72.7,33,1003
2014-08-24 06:00:00,22.6,-72.9,35,1002
2014-08-24 09:00:00,22.9,-73.0,38,1002
2014-08-24 12:00:00,23.3,-73.0,40,1001
2014-08-24 15:00:00,23.7,-73.0,43,1001
2014-08-24 18:00:00,24.0,-73.0,45,1001
2014-08-24 21:00:00,24.1,-73.0,45,1000
2014-08-25 00:00:00,24.2,-73.0,45,998
2014-08-25 03:00:00,24.3,-73.0,45,997
2014-08-25 06:00:00,24.4,-72.9,45,996
2014-08-25 09:00:00,24.5,-72.8,48,995
2014-08-25 12:00:00,24.7,-72.7,50,993
2014-08-25 15:00:00,24.8,-72.6,50,993
2014-08-25 18:00:00,24.9,-72.4,50,992
2014-08-25 21:00:00,25.0,-72.2,58,991
2014-08-26 00:00:00,25.1,-72.1,65,989
2014-08-26 03:00:00,25.3,-72.0,65,989
2014-08-26 06:00:00,25.6,-72.0,65,989
2014-08-26 09:00:00,26.1,-71.9,65,989
2014-08-26 12:00:00,26.7,-71.8,65,988
2014-08-26 15:00:00,27.4,-71.6,65,988
2014-08-26 18:00:00,28.1,-71.4,65,987
2014-08-26 21:00:00,28.8,-71.4,68,985
2014-08-27 00:00:00,29.5,-71.5,70,983
2014-08-27 03:00:00,30.1,-71.7,70,983
2014-08-27 06:00:00,30.6,-72.0,70,983
2014-08-27 09:00:00,31.1,-72.2,70,983
2014-08-27 12:00:00,31.6,-72.2,70,983
2014-08-27 15:00:00,31.9,-72.1,68,984
2014-08-27 18:00:00,32.3,-71.8,65,984
2014-08-27 21:00:00,32.9,-71.3,65,984
2014-08-28 00:00:00,33.5,-70.7,65,984
2014-08-28 03:00:00,34.1,-69.9,65,983
2014-08-28 06:00:00,34.8,-69.0,65,982
2014-08-28 09:00:00,35.6,-68.2,68,981
2014-08-28 12:00:00,36.3,-67.1,70,979
2014-08-28 15:00:00,36.9,-65.6,73,975
2014-08-28 18:00:00,37.5,-63.6,75,971
2014-08-28 21:00:00,38.2,-61.3,75,968
2014-08-29 00:00:00,39.1,-58.8,75,965
2014-08-29 03:00:00,40.0,-56.3,73,966
2014-08-29 06:00:00,41.2,-53.9,70,967
2014-08-29 09:00:00,42.7,-51.3,68,969
2014-08-29 12:00:00,44.2,-49.0,65,970
2014-08-29 15:00:00,45.5,-47.3,65,971
2014-08-29 18:00:00,46.7,-45.9,65,972
2014-08-29 21:00:00,47.7,-44.4,65,973
2014-08-30 00:00:00,48.6,-42.8,65,974
2014-08-30 03:00:00,49.3,-41.2,65,974
2014-08-30 06:00:00,49.9,-39.5,65,974
2014-08-30 09:00:00,50.5,-37.9,63,973
2014-08-30 12:00:00,51.3,-36.2,60,971
2014-08-30 15:00:00,52.5,-34.1,60,971
2014-08-30 18:00:00,54.0,-32.0,60,971
2014-08-30 21:00:00,56.0,-30.3,60,971
2014-08-31 00:00:00,58.0,-28.9,60,971
2014-08-31 03:00:00,59.7,-27.8,60,967
2014-08-31 06:00:00,61.0,-27.0,60,963
2014-08-31 09:00:00,61.6,-26.5,60,964
2014-08-31 12:00:00,62.0,-26.0,60,964
2014-08-31 15:00:00,62.5,-25.4,58,966
2014-08-31 18:00:00,63.0,-24.5,55,968
2014-08-31 21:00:00,63.5,-23.3,53,971
2014-09-01 00:00:00,64.0,-22.0,50,974
2014-09-01 03:00:00,64.5,-20.7,50,976
2014-09-01 06:00:00,65.0,-19.5,50,978
2014-09-01 09:00:00,65.5,-18.2,48,979
2014-09-01 12:00:00,66.0,-17.0,45,980
2014-09-01 15:00:00,66.5,-16.0,45,981
2014-09-01 18:00:00,67.0,-15.4,45,982
2014-09-01 21:00:00,67.5,-15.1,43,983
2014-09-02 00:00:00,68.0,-15.0,40,984
2014-09-02 03:00:00,68.5,-15.0,38,985
2014-09-02 06:00:00,69.0,-15.0,35,985
