time,lat,lon,vmax,mslp
2014-09-01 12:00:00,19.2,-92.3,25,1009
2014-09-01 15:00:00,19.5,-92.8,28,1009
2014-09-01 18:00:00,20.0,-93.2,30,1009
2014-09-01 21:00:00,20.6,-93.3,33,1008
2014-09-02 00:00:00,21.3,-93.4,35,1007
2014-09-02 03:00:00,21.9,-93.8,38,1006
2014-09-02 06:00:00,22.3,-94.3,40,1005
2014-09-02 09:00:00,22.7,-94.9,43,1005
2014-09-02 12:00:00,22.8,-95.6,45,1005
2014-09-02 15:00:00,22.6,-96.2,43,1004
2014-09-02 18:00:00,22.2,-96.7,40,1003
2014-09-02 21:00:00,22.0,-97.0,40,1002
2014-09-03 00:00:00,22.0,-97.3,40,1001
2014-09-03 01:00:00,22.0,-97.4,40,1000
2014-09-03 03:00:00,22.0,-97.6,40,1001
2014-09-03 04:00:00,22.0,-97.7,40,1002
2014-09-03 06:00:00,21.9,-98.0,35,1004
2014-09-03 09:00:00,21.8,-98.4,30,1005
2014-09-03 12:00:00,21.8,-98.8,25,1005
2014-09-03 15:00:00,21.7,-99.3,23,1005
2014-09-03 18:00:00,21.7,-99.8,20,1005
2014-09-03 21:00:00,21.7,-100.4,18,1004
2014-09-04 00:00:00,21.6,-101.0,15,1002
