time,lat,lon,vmax,mslp
2014-10-11 18:00:00,16.4,-54.9,25,1010
2014-10-11 21:00:00,16.4,-55.4,28,1010
2014-10-12 00:00:00,16.4,-55.9,30,1010
2014-10-12 03:00:00,16.4,-56.4,30,1009
2014-10-12 06:00:00,16.4,-56.9,30,1008
2014-10-12 09:00:00,16.4,-57.4,33,1007
2014-10-12 12:00:00,16.4,-57.9,35,1006
2014-10-12 15:00:00,16.4,-58.4,38,1005
2014-10-12 18:00:00,16.4,-58.8,40,1004
2014-10-12 21:00:00,16.4,-59.3,43,1003
2014-10-13 00:00:00,16.5,-59.7,45,1001
2014-10-13 03:00:00,16.6,-60.2,50,999
2014-10-13 06:00:00,16.7,-60.6,55,996
2014-10-13 09:00:00,16.8,-61.1,60,994
2014-10-13 12:00:00,17.0,-61.5,65,992
2014-10-13 14:30:00,17.1,-61.8,65,990
2014-10-13 15:00:00,17.2,-61.9,66,990
2014-10-13 18:00:00,17.6,-62.4,70,988
2014-10-13 21:00:00,17.9,-62.7,73,985
2014-10-13 22:45:00,18.1,-63.0,75,984
2014-10-13 23:15:00,18.2,-63.1,75,984
2014-10-14 00:00:00,18.3,-63.2,80,983
2014-10-14 03:00:00,18.7,-63.6,85,980
2014-10-14 06:00:00,19.1,-64.0,90,976
2014-10-14 09:00:00,19.5,-64.4,93,975
2014-10-14 12:00:00,19.9,-64.8,95,973
2014-10-14 15:00:00,20.3,-65.2,98,971
2014-10-14 18:00:00,20.8,-65.5,100,968
2014-10-14 21:00:00,21.3,-65.8,108,962
2014-10-15 00:00:00,21.7,-66.2,115,956
2014-10-15 03:00:00,22.1,-66.6,115,955
2014-10-15 06:00:00,22.5,-67.0,115,953
2014-10-15 09:00:00,22.8,-67.4,115,951
2014-10-15 12:00:00,23.1,-67.7,115,949
2014-10-15 15:00:00,23.5,-68.0,113,951
2014-10-15 18:00:00,23.8,-68.3,110,953
2014-10-15 21:00:00,24.1,-68.5,110,953
2014-10-16 00:00:00,24.4,-68.6,110,953
2014-10-16 03:00:00,24.7,-68.7,113,951
2014-10-16 06:00:00,25.0,-68.7,115,948
2014-10-16 09:00:00,25.3,-68.7,120,944
2014-10-16 12:00:00,25.6,-68.7,125,940
2014-10-16 15:00:00,26.0,-68.5,125,941
2014-10-16 18:00:00,26.5,-68.3,125,942
2014-10-16 21:00:00,26.9,-68.1,123,942
2014-10-17 00:00:00,27.4,-67.8,120,942
2014-10-17 03:00:00,28.0,-67.5,118,944
2014-10-17 06:00:00,28.6,-67.2,115,945
2014-10-17 09:00:00,29.2,-66.9,113,946
2014-10-17 12:00:00,29.8,-66.5,110,947
2014-10-17 15:00:00,30.4,-66.1,108,948
2014-10-17 18:00:00,31.0,-65.7,105,949
2014-10-17 21:00:00,31.6,-65.4,100,951
2014-10-18 00:00:00,32.2,-64.9,95,952
2014-10-18 00:30:00,32.3,-64.8,95,952
2014-10-18 03:00:00,32.9,-64.4,93,953
2014-10-18 06:00:00,33.7,-63.9,90,955
2014-10-18 09:00:00,34.6,-63.3,88,958
2014-10-18 12:00:00,35.6,-62.6,85,960
2014-10-18 15:00:00,36.8,-61.8,85,962
2014-10-18 18:00:00,38.2,-60.9,85,964
2014-10-18 21:00:00,39.6,-59.7,85,965
2014-10-19 00:00:00,41.2,-58.3,85,965
2014-10-19 03:00:00,42.8,-56.7,83,967
2014-10-19 06:00:00,44.5,-54.8,80,968
2014-10-19 09:00:00,46.2,-52.6,75,969
2014-10-19 12:00:00,47.8,-50.1,70,970
2014-10-19 15:00:00,49.3,-47.6,68,973
2014-10-19 18:00:00,50.6,-44.8,65,976
2014-10-19 21:00:00,51.7,-41.7,60,979
2014-10-20 00:00:00,52.6,-38.3,55,982
2014-10-20 03:00:00,53.3,-34.7,53,985
2014-10-20 06:00:00,53.9,-30.9,50,988
