time,lat,lon,vmax,mslp
2015-08-24 18:00:00,14.3,-45.1,40,1003
2015-08-24 21:00:00,14.3,-46.0,40,1003
2015-08-25 00:00:00,14.4,-46.9,40,1003
2015-08-25 03:00:00,14.5,-47.8,40,1003
2015-08-25 06:00:00,14.7,-48.6,40,1003
2015-08-25 09:00:00,14.8,-49.4,40,1003
2015-08-25 12:00:00,15.0,-50.2,40,1003
2015-08-25 15:00:00,15.1,-51.0,38,1004
2015-08-25 18:00:00,15.3,-51.9,35,1004
2015-08-25 21:00:00,15.5,-52.8,35,1005
2015-08-26 00:00:00,15.7,-53.6,35,1006
2015-08-26 03:00:00,15.8,-54.4,35,1006
2015-08-26 06:00:00,15.9,-55.2,35,1005
2015-08-26 09:00:00,16.0,-56.0,38,1005
2015-08-26 12:00:00,16.2,-56.8,40,1005
2015-08-26 15:00:00,16.3,-57.5,40,1005
2015-08-26 18:00:00,16.4,-58.2,40,1005
2015-08-26 21:00:00,16.5,-58.9,40,1006
2015-08-27 00:00:00,16.6,-59.5,40,1006
2015-08-27 03:00:00,16.6,-60.1,43,1004
2015-08-27 06:00:00,16.5,-60.8,45,1001
2015-08-27 09:00:00,16.5,-61.5,45,1003
2015-08-27 12:00:00,16.5,-62.2,45,1004
2015-08-27 15:00:00,16.5,-62.9,45,1005
2015-08-27 18:00:00,16.6,-63.6,45,1006
2015-08-27 21:00:00,16.9,-64.3,45,1006
2015-08-28 00:00:00,17.2,-65.1,45,1006
2015-08-28 03:00:00,17.4,-65.9,45,1006
2015-08-28 06:00:00,17.5,-66.8,45,1006
2015-08-28 09:00:00,17.6,-67.7,45,1007
2015-08-28 12:00:00,17.6,-68.6,45,1008
