time,lat,lon,vmax,mslp
2015-08-30 00:00:00,11.6,-17.5,30,1007
2015-08-30 03:00:00,11.9,-17.9,33,1006
2015-08-30 06:00:00,12.2,-18.4,35,1005
2015-08-30 09:00:00,12.6,-18.9,40,1005
2015-08-30 12:00:00,13.1,-19.5,45,1004
2015-08-30 15:00:00,13.6,-20.1,50,1001
2015-08-30 18:00:00,14.0,-20.7,55,998
2015-08-30 21:00:00,14.3,-21.2,60,995
2015-08-31 00:00:00,14.6,-21.7,65,992
2015-08-31 03:00:00,14.9,-22.1,68,991
2015-08-31 06:00:00,15.3,-22.5,70,989
2015-08-31 09:00:00,15.7,-22.9,73,988
2015-08-31 12:00:00,16.1,-23.3,75,986
2015-08-31 15:00:00,16.5,-23.7,73,987
2015-08-31 18:00:00,16.8,-24.1,70,988
2015-08-31 21:00:00,17.1,-24.5,68,990
2015-09-01 00:00:00,17.4,-24.9,65,991
2015-09-01 03:00:00,17.6,-25.3,63,993
2015-09-01 06:00:00,17.8,-25.7,60,994
2015-09-01 09:00:00,18.0,-26.2,55,997
2015-09-01 12:00:00,18.2,-26.7,50,1000
2015-09-01 15:00:00,18.4,-27.1,48,1002
2015-09-01 18:00:00,18.7,-27.6,45,1003
2015-09-01 21:00:00,18.9,-28.1,45,1003
2015-09-02 00:00:00,19.1,-28.7,45,1003
2015-09-02 03:00:00,19.2,-29.2,43,1004
2015-09-02 06:00:00,19.3,-29.7,40,1004
2015-09-02 09:00:00,19.4,-30.1,40,1005
2015-09-02 12:00:00,19.6,-30.5,40,1005
2015-09-02 15:00:00,19.8,-31.0,38,1006
2015-09-02 18:00:00,20.0,-31.4,35,1006
2015-09-02 21:00:00,20.2,-31.8,35,1006
2015-09-03 00:00:00,20.4,-32.2,35,1006
2015-09-03 03:00:00,20.5,-32.6,38,1006
2015-09-03 06:00:00,20.7,-32.9,40,1005
2015-09-03 09:00:00,21.0,-33.3,40,1005
2015-09-03 12:00:00,21.3,-33.7,40,1005
2015-09-03 15:00:00,21.6,-34.3,38,1005
2015-09-03 18:00:00,21.8,-34.9,35,1005
2015-09-03 21:00:00,21.9,-35.5,35,1005
2015-09-04 00:00:00,21.9,-36.0,35,1005
2015-09-04 03:00:00,21.9,-36.5,35,1005
2015-09-04 06:00:00,22.0,-36.9,35,1005
2015-09-04 09:00:00,22.1,-37.4,33,1005
2015-09-04 12:00:00,22.2,-37.9,30,1005
2015-09-04 15:00:00,22.3,-38.3,30,1006
2015-09-04 18:00:00,22.4,-38.7,30,1006
2015-09-04 21:00:00,22.5,-39.1,33,1006
2015-09-05 00:00:00,22.7,-39.6,35,1006
2015-09-05 03:00:00,22.8,-40.1,35,1007
2015-09-05 06:00:00,23.0,-40.6,35,1007
2015-09-05 09:00:00,23.2,-41.1,33,1008
2015-09-05 12:00:00,23.3,-41.5,30,1008
2015-09-05 15:00:00,23.4,-41.9,30,1008
2015-09-05 18:00:00,23.5,-42.2,30,1008
2015-09-05 21:00:00,23.6,-42.6,30,1009
2015-09-06 00:00:00,23.8,-42.9,30,1009
2015-09-06 03:00:00,24.1,-43.2,30,1010
2015-09-06 06:00:00,24.5,-43.3,30,1010
2015-09-06 09:00:00,24.9,-43.3,28,1010
2015-09-06 12:00:00,25.3,-43.2,25,1010
