time,lat,lon,vmax,mslp
2015-09-15 00:00:00,11.5,-40.3,20,1011
2015-09-15 03:00:00,11.6,-40.7,20,1011
2015-09-15 06:00:00,11.7,-41.1,20,1011
2015-09-15 09:00:00,11.8,-41.5,20,1011
2015-09-15 12:00:00,11.9,-41.9,20,1011
2015-09-15 15:00:00,12.2,-42.2,20,1011
2015-09-15 18:00:00,12.5,-42.4,20,1011
2015-09-15 21:00:00,12.9,-42.6,23,1011
2015-09-16 00:00:00,13.3,-42.7,25,1010
2015-09-16 03:00:00,13.7,-42.9,25,1010
2015-09-16 06:00:00,14.0,-43.1,25,1009
2015-09-16 09:00:00,14.3,-43.4,25,1009
2015-09-16 12:00:00,14.5,-43.7,25,1009
2015-09-16 15:00:00,14.8,-44.1,25,1009
2015-09-16 18:00:00,15.0,-44.4,25,1009
2015-09-16 21:00:00,15.2,-44.6,25,1009
2015-09-17 00:00:00,15.3,-44.8,25,1008
2015-09-17 03:00:00,15.4,-44.9,28,1007
2015-09-17 06:00:00,15.6,-45.0,30,1006
2015-09-17 09:00:00,15.7,-45.1,30,1006
2015-09-17 12:00:00,15.9,-45.1,30,1006
2015-09-17 15:00:00,16.1,-45.1,28,1007
2015-09-17 18:00:00,16.3,-45.1,25,1007
2015-09-17 21:00:00,16.5,-45.1,25,1007
2015-09-18 00:00:00,16.8,-45.2,25,1007
2015-09-18 03:00:00,17.1,-45.4,25,1007
2015-09-18 06:00:00,17.3,-45.8,25,1007
2015-09-18 09:00:00,17.5,-46.2,25,1007
2015-09-18 12:00:00,17.6,-46.6,25,1007
2015-09-18 15:00:00,17.8,-47.0,25,1007
2015-09-18 18:00:00,17.9,-47.3,25,1007
2015-09-18 21:00:00,18.0,-47.7,25,1008
2015-09-19 00:00:00,18.1,-48.1,25,1008
2015-09-19 03:00:00,18.2,-48.5,25,1009
2015-09-19 06:00:00,18.3,-48.8,25,1009
2015-09-19 09:00:00,18.4,-49.1,25,1009
2015-09-19 12:00:00,18.5,-49.4,25,1009
