time,lat,lon,vmax,mslp
2015-09-26 18:00:00,26.8,-68.7,20,1011
2015-09-26 21:00:00,26.8,-68.7,20,1011
2015-09-27 00:00:00,26.9,-68.6,20,1011
2015-09-27 03:00:00,27.0,-68.5,20,1011
2015-09-27 06:00:00,27.0,-68.5,20,1010
2015-09-27 09:00:00,27.0,-68.5,23,1010
2015-09-27 12:00:00,27.1,-68.6,25,1009
2015-09-27 15:00:00,27.1,-68.7,28,1008
2015-09-27 18:00:00,27.2,-68.8,30,1007
2015-09-27 21:00:00,27.3,-68.9,30,1007
2015-09-28 00:00:00,27.4,-69.0,30,1007
2015-09-28 03:00:00,27.5,-69.1,30,1007
2015-09-28 06:00:00,27.6,-69.3,30,1007
2015-09-28 09:00:00,27.7,-69.5,30,1007
2015-09-28 12:00:00,27.7,-69.7,30,1006
2015-09-28 15:00:00,27.6,-69.9,30,1005
2015-09-28 18:00:00,27.4,-70.0,30,1003
2015-09-28 21:00:00,27.2,-70.1,33,1003
2015-09-29 00:00:00,26.9,-70.1,35,1002
2015-09-29 03:00:00,26.7,-70.2,35,1002
2015-09-29 06:00:00,26.5,-70.3,35,1002
2015-09-29 09:00:00,26.3,-70.4,40,1001
2015-09-29 12:00:00,26.2,-70.5,45,999
2015-09-29 15:00:00,26.1,-70.6,50,996
2015-09-29 18:00:00,26.0,-70.8,55,992
2015-09-29 21:00:00,25.9,-71.0,58,989
2015-09-30 00:00:00,25.8,-71.3,60,985
2015-09-30 03:00:00,25.6,-71.6,63,982
2015-09-30 06:00:00,25.4,-71.8,65,978
2015-09-30 09:00:00,25.2,-72.0,68,975
2015-09-30 12:00:00,24.9,-72.2,70,971
2015-09-30 15:00:00,24.6,-72.3,75,966
2015-09-30 18:00:00,24.4,-72.5,80,961
2015-09-30 21:00:00,24.1,-72.7,90,956
2015-10-01 00:00:00,23.9,-72.9,100,951
2015-10-01 03:00:00,23.7,-73.1,105,949
2015-10-01 06:00:00,23.5,-73.3,110,947
2015-10-01 09:00:00,23.3,-73.5,113,945
2015-10-01 12:00:00,23.1,-73.7,115,942
2015-10-01 15:00:00,23.0,-74.0,115,939
2015-10-01 18:00:00,23.0,-74.2,115,936
2015-10-01 21:00:00,22.9,-74.3,118,934
2015-10-02 00:00:00,22.9,-74.4,120,931
2015-10-02 03:00:00,22.9,-74.6,120,933
2015-10-02 06:00:00,23.0,-74.7,120,935
2015-10-02 09:00:00,23.2,-74.8,118,936
2015-10-02 12:00:00,23.4,-74.8,115,937
2015-10-02 15:00:00,23.5,-74.8,111,939
2015-10-02 16:00:00,23.6,-74.8,110,940
2015-10-02 18:00:00,23.8,-74.7,110,941
2015-10-02 21:00:00,24.1,-74.5,110,942
2015-10-03 00:00:00,24.3,-74.3,115,943
2015-10-03 03:00:00,24.5,-74.0,118,944
2015-10-03 06:00:00,24.8,-73.6,120,945
2015-10-03 09:00:00,25.1,-73.2,128,940
2015-10-03 12:00:00,25.4,-72.6,135,934
2015-10-03 15:00:00,25.8,-71.8,133,934
2015-10-03 18:00:00,26.3,-71.0,130,934
2015-10-03 21:00:00,26.8,-70.2,123,938
2015-10-04 00:00:00,27.4,-69.5,115,941
2015-10-04 03:00:00,28.1,-68.9,110,945
2015-10-04 06:00:00,28.9,-68.3,105,949
2015-10-04 09:00:00,29.7,-67.7,100,953
2015-10-04 12:00:00,30.4,-67.2,95,956
2015-10-04 15:00:00,31.0,-66.8,90,957
2015-10-04 18:00:00,31.6,-66.5,85,958
2015-10-04 21:00:00,32.1,-66.2,80,960
2015-10-05 00:00:00,32.6,-66.0,75,961
2015-10-05 03:00:00,33.1,-65.8,75,963
2015-10-05 06:00:00,33.6,-65.6,75,964
2015-10-05 09:00:00,34.0,-65.4,75,964
2015-10-05 12:00:00,34.4,-65.2,75,964
2015-10-05 15:00:00,34.8,-64.9,75,964
2015-10-05 18:00:00,35.3,-64.5,75,964
2015-10-05 21:00:00,35.8,-64.1,75,966
2015-10-06 00:00:00,36.2,-63.6,75,967
2015-10-06 03:00:00,36.6,-63.0,75,969
2015-10-06 06:00:00,37.0,-62.3,75,970
2015-10-06 09:00:00,37.4,-61.4,73,972
2015-10-06 12:00:00,37.9,-60.4,70,974
2015-10-06 15:00:00,38.4,-59.3,70,974
2015-10-06 18:00:00,38.8,-58.0,70,974
2015-10-06 21:00:00,39.2,-56.5,70,974
2015-10-07 00:00:00,39.6,-54.9,70,974
2015-10-07 03:00:00,40.0,-53.3,68,976
2015-10-07 06:00:00,40.3,-51.5,65,977
2015-10-07 09:00:00,40.7,-49.6,63,977
2015-10-07 12:00:00,41.0,-47.5,60,977
2015-10-07 15:00:00,41.3,-45.4,60,977
2015-10-07 18:00:00,41.5,-43.3,60,977
2015-10-07 21:00:00,41.7,-41.2,58,977
2015-10-08 00:00:00,41.9,-39.1,55,977
2015-10-08 03:00:00,42.1,-37.0,53,977
2015-10-08 06:00:00,42.4,-35.0,50,977
2015-10-08 09:00:00,42.7,-33.0,48,979
2015-10-08 12:00:00,43.0,-31.0,45,980
2015-10-08 15:00:00,43.3,-29.1,45,982
2015-10-08 18:00:00,43.5,-27.3,45,984
2015-10-08 21:00:00,43.7,-25.6,45,986
2015-10-09 00:00:00,43.9,-24.1,45,987
2015-10-09 03:00:00,44.0,-22.9,45,988
2015-10-09 06:00:00,44.1,-21.9,45,988
2015-10-09 09:00:00,44.2,-20.9,45,988
2015-10-09 12:00:00,44.2,-19.9,45,988
2015-10-09 15:00:00,44.2,-19.0,43,989
2015-10-09 18:00:00,44.1,-18.2,40,989
2015-10-09 21:00:00,44.0,-17.3,38,991
2015-10-10 00:00:00,43.8,-16.4,35,992
2015-10-10 03:00:00,43.6,-15.6,35,993
2015-10-10 06:00:00,43.4,-15.0,35,993
2015-10-10 09:00:00,43.2,-14.4,35,995
2015-10-10 12:00:00,43.1,-13.9,35,996
2015-10-10 15:00:00,42.9,-13.4,33,997
2015-10-10 18:00:00,42.8,-12.9,30,998
2015-10-10 21:00:00,42.6,-12.4,30,999
2015-10-11 00:00:00,42.5,-12.0,30,999
2015-10-11 03:00:00,42.4,-11.6,30,1000
2015-10-11 06:00:00,42.2,-11.3,30,1000
2015-10-11 09:00:00,42.0,-11.0,33,1001
2015-10-11 12:00:00,41.8,-10.8,35,1001
2015-10-11 15:00:00,41.5,-10.6,35,1001
2015-10-11 18:00:00,41.2,-10.5,35,1001
2015-10-11 21:00:00,40.8,-10.4,35,1002
2015-10-12 00:00:00,40.4,-10.2,35,1002
2015-10-12 03:00:00,40.1,-10.0,35,1002
2015-10-12 06:00:00,39.8,-9.7,35,1002
2015-10-12 09:00:00,39.6,-9.4,35,1003
2015-10-12 12:00:00,39.5,-9.1,35,1003
2015-10-12 15:00:00,39.3,-8.9,33,1004
2015-10-12 18:00:00,39.1,-8.8,30,1005
2015-10-12 21:00:00,38.9,-8.8,28,1006
2015-10-13 00:00:00,38.6,-8.9,25,1007
