time,lat,lon,vmax,mslp
2016-09-28 12:00:00,13.4,-59.8,50,1009
2016-09-28 15:00:00,13.5,-60.5,50,1009
2016-09-28 18:00:00,13.6,-61.2,50,1008
2016-09-28 21:00:00,13.8,-61.9,53,1006
2016-09-29 00:00:00,13.9,-62.6,55,1004
2016-09-29 03:00:00,14.0,-63.3,55,1003
2016-09-29 06:00:00,14.0,-64.0,55,1002
2016-09-29 09:00:00,14.0,-64.8,58,999
2016-09-29 12:00:00,14.1,-65.5,60,995
2016-09-29 15:00:00,14.2,-66.2,63,994
2016-09-29 18:00:00,14.2,-66.9,65,993
2016-09-29 21:00:00,14.2,-67.5,68,990
2016-09-30 00:00:00,14.2,-68.1,70,987
2016-09-30 03:00:00,14.1,-68.7,78,983
2016-09-30 06:00:00,14.0,-69.3,85,979
2016-09-30 09:00:00,13.9,-69.9,93,974
2016-09-30 12:00:00,13.8,-70.4,100,968
2016-09-30 15:00:00,13.6,-70.8,110,962
2016-09-30 18:00:00,13.5,-71.2,120,955
2016-09-30 21:00:00,13.4,-71.6,133,949
2016-10-01 00:00:00,13.4,-71.9,145,942
2016-10-01 03:00:00,13.4,-72.2,143,942
2016-10-01 06:00:00,13.4,-72.5,140,942
2016-10-01 09:00:00,13.4,-72.8,138,943
2016-10-01 12:00:00,13.4,-73.1,135,944
2016-10-01 15:00:00,13.4,-73.2,133,943
2016-10-01 18:00:00,13.4,-73.3,130,942
2016-10-01 21:00:00,13.4,-73.4,130,941
2016-10-02 00:00:00,13.5,-73.5,130,940
2016-10-02 03:00:00,13.6,-73.7,128,941
2016-10-02 06:00:00,13.7,-73.9,125,941
2016-10-02 09:00:00,13.8,-74.1,128,944
2016-10-02 12:00:00,14.0,-74.3,130,947
2016-10-02 15:00:00,14.1,-74.5,133,946
2016-10-02 18:00:00,14.2,-74.7,135,945
2016-10-02 21:00:00,14.3,-74.9,133,945
2016-10-03 00:00:00,14.5,-75.0,130,944
2016-10-03 03:00:00,14.7,-75.0,128,943
2016-10-03 06:00:00,14.9,-75.0,125,942
2016-10-03 09:00:00,15.1,-75.0,125,942
2016-10-03 12:00:00,15.4,-75.0,125,941
2016-10-03 15:00:00,15.6,-75.0,125,940
2016-10-03 18:00:00,15.9,-74.9,125,938
2016-10-03 21:00:00,16.2,-74.8,128,936
2016-10-04 00:00:00,16.6,-74.6,130,934
2016-10-04 03:00:00,17.0,-74.5,130,934
2016-10-04 06:00:00,17.5,-74.4,130,934
2016-10-04 09:00:00,18.0,-74.3,130,935
2016-10-04 11:00:00,18.3,-74.3,130,935
2016-10-04 12:00:00,18.4,-74.3,125,937
2016-10-04 15:00:00,18.8,-74.3,123,942
2016-10-04 18:00:00,19.3,-74.3,120,947
2016-10-04 21:00:00,19.7,-74.3,118,948
2016-10-05 00:00:00,20.1,-74.3,115,949
2016-10-05 03:00:00,20.4,-74.3,113,955
2016-10-05 06:00:00,20.7,-74.4,110,960
2016-10-05 09:00:00,21.0,-74.6,108,961
2016-10-05 12:00:00,21.4,-74.8,105,962
2016-10-05 15:00:00,21.8,-75.1,105,963
2016-10-05 18:00:00,22.2,-75.4,105,963
2016-10-05 21:00:00,22.6,-75.7,105,962
2016-10-06 00:00:00,23.0,-76.0,105,960
2016-10-06 03:00:00,23.4,-76.3,108,956
2016-10-06 06:00:00,23.8,-76.7,110,952
2016-10-06 09:00:00,24.2,-77.1,115,945
2016-10-06 12:00:00,24.7,-77.5,120,937
2016-10-06 15:00:00,25.2,-77.9,120,937
2016-10-06 18:00:00,25.7,-78.3,120,937
2016-10-06 21:00:00,26.2,-78.7,118,937
2016-10-07 00:00:00,26.7,-79.0,115,937
2016-10-07 03:00:00,27.2,-79.4,113,938
2016-10-07 06:00:00,27.7,-79.7,110,939
2016-10-07 09:00:00,28.3,-80.0,108,942
2016-10-07 12:00:00,28.9,-80.3,105,944
2016-10-07 15:00:00,29.3,-80.6,103,945
2016-10-07 18:00:00,29.7,-80.7,100,946
2016-10-07 21:00:00,30.2,-80.7,98,948
2016-10-08 00:00:00,30.7,-80.6,95,949
2016-10-08 03:00:00,31.1,-80.6,90,951
2016-10-08 06:00:00,31.6,-80.6,85,953
2016-10-08 09:00:00,32.1,-80.5,85,957
2016-10-08 12:00:00,32.5,-79.9,80,963
2016-10-08 15:00:00,33.0,-79.5,75,967
2016-10-08 18:00:00,33.5,-79.0,70,973
2016-10-08 21:00:00,33.7,-78.2,70,977
2016-10-09 00:00:00,33.9,-77.3,70,981
2016-10-09 03:00:00,34.3,-76.6,70,982
2016-10-09 06:00:00,34.7,-76.0,70,983
2016-10-09 09:00:00,34.9,-75.3,68,984
2016-10-09 12:00:00,35.0,-74.5,65,984
2016-10-09 15:00:00,35.1,-73.7,63,986
2016-10-09 18:00:00,35.2,-72.8,60,987
2016-10-09 21:00:00,35.3,-71.9,58,989
2016-10-10 00:00:00,35.3,-71.1,55,990
