time,lat,lon,vmax,mslp
2017-09-05 12:00:00,22.2,-97.2,25,1010
2017-09-05 15:00:00,22.3,-97.1,28,1009
2017-09-05 18:00:00,22.4,-97.0,30,1008
2017-09-05 21:00:00,22.4,-96.9,30,1008
2017-09-06 00:00:00,22.4,-96.7,30,1008
2017-09-06 03:00:00,22.3,-96.6,33,1007
2017-09-06 06:00:00,22.2,-96.4,35,1006
2017-09-06 09:00:00,22.1,-96.1,40,1005
2017-09-06 12:00:00,22.0,-95.8,45,1004
2017-09-06 15:00:00,21.9,-95.5,55,998
2017-09-06 18:00:00,21.8,-95.2,65,992
2017-09-06 21:00:00,21.7,-95.0,68,991
2017-09-07 00:00:00,21.7,-94.9,70,989
2017-09-07 03:00:00,21.6,-94.7,70,987
2017-09-07 06:00:00,21.6,-94.6,70,985
2017-09-07 09:00:00,21.6,-94.6,70,984
2017-09-07 12:00:00,21.6,-94.6,70,982
2017-09-07 15:00:00,21.6,-94.6,70,982
2017-09-07 18:00:00,21.6,-94.6,70,982
2017-09-07 21:00:00,21.6,-94.8,73,982
2017-09-08 00:00:00,21.5,-95.0,75,982
2017-09-08 03:00:00,21.5,-95.1,78,980
2017-09-08 06:00:00,21.4,-95.3,80,977
2017-09-08 09:00:00,21.2,-95.5,83,975
2017-09-08 12:00:00,21.1,-95.7,85,973
2017-09-08 15:00:00,21.1,-95.9,88,973
2017-09-08 18:00:00,21.1,-96.2,90,972
2017-09-08 21:00:00,21.0,-96.6,80,980
2017-09-09 00:00:00,20.8,-96.9,70,988
2017-09-09 03:00:00,20.6,-97.1,65,990
2017-09-09 06:00:00,20.3,-97.4,35,1001
2017-09-09 09:00:00,20.1,-97.6,33,1003
2017-09-09 12:00:00,20.1,-97.7,30,1004
