time,lat,lon,vmax,mslp
2018-07-04 12:00:00,10.0,-34.9,30,1008
2018-07-04 15:00:00,10.1,-35.7,30,1008
2018-07-04 18:00:00,10.1,-36.5,30,1008
2018-07-04 21:00:00,10.1,-37.3,33,1008
2018-07-05 00:00:00,10.1,-38.0,35,1007
2018-07-05 03:00:00,10.1,-38.8,35,1007
2018-07-05 06:00:00,10.1,-39.5,35,1007
2018-07-05 09:00:00,10.1,-40.2,38,1006
2018-07-05 12:00:00,10.2,-40.9,40,1005
2018-07-05 15:00:00,10.3,-41.6,43,1004
2018-07-05 18:00:00,10.3,-42.3,45,1003
2018-07-05 21:00:00,10.3,-42.9,50,1001
2018-07-06 00:00:00,10.3,-43.4,55,999
2018-07-06 03:00:00,10.4,-44.0,63,995
2018-07-06 06:00:00,10.5,-44.6,70,991
2018-07-06 09:00:00,10.6,-45.3,70,992
2018-07-06 12:00:00,10.7,-46.0,70,992
2018-07-06 15:00:00,10.7,-46.7,68,993
2018-07-06 18:00:00,10.6,-47.3,65,993
2018-07-06 21:00:00,10.6,-47.8,65,994
2018-07-07 00:00:00,10.7,-48.3,65,994
2018-07-07 03:00:00,10.9,-48.8,65,995
2018-07-07 06:00:00,11.1,-49.3,65,995
2018-07-07 09:00:00,11.4,-49.8,60,997
2018-07-07 12:00:00,11.7,-50.4,55,999
2018-07-07 15:00:00,12.1,-51.2,50,1001
2018-07-07 18:00:00,12.4,-52.0,45,1003
2018-07-07 21:00:00,12.7,-52.8,45,1004
2018-07-08 00:00:00,12.9,-53.6,45,1005
2018-07-08 03:00:00,13.1,-54.4,45,1006
2018-07-08 06:00:00,13.4,-55.2,45,1006
2018-07-08 09:00:00,13.7,-56.0,45,1006
2018-07-08 12:00:00,14.1,-56.9,45,1006
2018-07-08 15:00:00,14.5,-58.0,43,1007
2018-07-08 18:00:00,14.8,-59.2,40,1008
2018-07-08 21:00:00,15.1,-60.3,38,1009
2018-07-09 00:00:00,15.5,-61.3,35,1010
2018-07-09 03:00:00,15.9,-62.3,35,1011
2018-07-09 06:00:00,16.2,-63.2,35,1011
2018-07-09 09:00:00,16.4,-64.3,35,1012
2018-07-09 12:00:00,16.6,-65.3,35,1013
2018-07-09 15:00:00,16.8,-66.2,35,1013
2018-07-09 18:00:00,17.1,-67.1,35,1013
2018-07-09 21:00:00,17.3,-68.0,35,1013
2018-07-10 00:00:00,17.6,-68.9,35,1013
2018-07-10 03:00:00,17.8,-69.8,33,1013
2018-07-10 06:00:00,18.1,-70.5,30,1013
2018-07-10 09:00:00,18.7,-71.1,30,1013
2018-07-10 12:00:00,19.3,-71.6,30,1013
2018-07-10 15:00:00,19.8,-72.0,30,1013
2018-07-10 18:00:00,20.2,-72.4,30,1013
2018-07-10 21:00:00,20.7,-72.7,28,1013
2018-07-11 00:00:00,21.3,-73.0,25,1013
2018-07-11 03:00:00,21.8,-73.3,25,1013
2018-07-11 06:00:00,22.4,-73.6,25,1013
2018-07-11 09:00:00,23.0,-73.7,25,1013
2018-07-11 12:00:00,23.7,-73.8,25,1013
2018-07-11 15:00:00,24.4,-73.8,25,1013
2018-07-11 18:00:00,25.2,-73.8,25,1013
2018-07-11 21:00:00,25.9,-73.7,25,1013
2018-07-12 00:00:00,26.7,-73.6,25,1013
2018-07-12 03:00:00,27.5,-73.4,25,1013
2018-07-12 06:00:00,28.2,-73.1,25,1013
2018-07-12 09:00:00,28.9,-72.8,25,1013
2018-07-12 12:00:00,29.6,-72.4,25,1013
2018-07-12 15:00:00,30.2,-72.0,25,1013
2018-07-12 18:00:00,30.8,-71.6,25,1013
2018-07-12 21:00:00,31.4,-71.1,25,1013
2018-07-13 00:00:00,31.9,-70.7,25,1013
2018-07-13 03:00:00,32.3,-70.4,25,1013
2018-07-13 06:00:00,32.6,-70.1,25,1013
2018-07-13 09:00:00,33.0,-69.8,25,1013
2018-07-13 12:00:00,33.3,-69.4,25,1013
2018-07-13 15:00:00,33.6,-69.0,25,1013
2018-07-13 18:00:00,33.9,-68.6,25,1013
2018-07-13 21:00:00,34.2,-68.3,25,1013
2018-07-14 00:00:00,34.5,-68.0,25,1013
2018-07-14 03:00:00,34.7,-67.7,28,1013
2018-07-14 06:00:00,35.0,-67.3,30,1013
2018-07-14 09:00:00,35.3,-66.7,33,1011
2018-07-14 12:00:00,35.6,-66.2,35,1008
2018-07-14 15:00:00,36.1,-65.8,35,1008
2018-07-14 18:00:00,36.7,-65.5,35,1007
2018-07-14 21:00:00,37.3,-65.5,35,1006
2018-07-15 00:00:00,37.8,-65.5,35,1005
2018-07-15 03:00:00,38.1,-65.5,35,1006
2018-07-15 06:00:00,38.2,-65.4,35,1006
2018-07-15 09:00:00,38.2,-65.3,35,1007
2018-07-15 12:00:00,38.1,-65.1,35,1008
2018-07-15 15:00:00,38.0,-64.8,35,1009
2018-07-15 18:00:00,38.0,-64.3,35,1009
2018-07-15 21:00:00,38.1,-63.7,35,1010
2018-07-16 00:00:00,38.3,-63.1,35,1010
2018-07-16 03:00:00,38.5,-62.5,35,1011
2018-07-16 06:00:00,38.7,-61.8,35,1011
2018-07-16 09:00:00,39.0,-61.0,35,1011
2018-07-16 12:00:00,39.5,-60.2,35,1011
2018-07-16 15:00:00,40.0,-59.3,35,1012
2018-07-16 18:00:00,40.7,-58.5,35,1012
2018-07-16 21:00:00,41.8,-57.8,33,1012
2018-07-17 00:00:00,43.0,-57.1,30,1012
2018-07-17 03:00:00,44.3,-56.4,30,1012
2018-07-17 06:00:00,45.5,-55.7,30,1012
