time,lat,lon,vmax,mslp
2018-08-02 18:00:00,41.2,-33.7,30,1012
2018-08-02 21:00:00,41.0,-34.6,33,1012
2018-08-03 00:00:00,40.8,-35.5,35,1011
2018-08-03 03:00:00,40.6,-36.4,35,1011
2018-08-03 06:00:00,40.4,-37.2,35,1011
2018-08-03 09:00:00,40.2,-38.1,35,1011
2018-08-03 12:00:00,39.9,-38.9,35,1011
2018-08-03 15:00:00,39.6,-39.7,35,1011
2018-08-03 18:00:00,39.2,-40.5,35,1010
2018-08-03 21:00:00,38.9,-41.3,35,1010
2018-08-04 00:00:00,38.6,-42.2,35,1010
2018-08-04 03:00:00,38.2,-43.1,33,1010
2018-08-04 06:00:00,37.8,-44.0,30,1010
2018-08-04 09:00:00,37.3,-44.6,30,1010
2018-08-04 12:00:00,36.7,-45.1,30,1010
2018-08-04 15:00:00,36.2,-45.5,30,1010
2018-08-04 18:00:00,35.7,-46.0,30,1010
2018-08-04 21:00:00,35.2,-46.6,30,1010
2018-08-05 00:00:00,34.8,-47.2,30,1010
2018-08-05 03:00:00,34.4,-47.8,30,1010
2018-08-05 06:00:00,33.9,-48.4,30,1010
2018-08-05 09:00:00,33.4,-48.8,30,1010
2018-08-05 12:00:00,32.9,-49.2,30,1010
2018-08-05 15:00:00,32.5,-49.5,30,1010
2018-08-05 18:00:00,32.2,-49.8,30,1010
2018-08-05 21:00:00,31.9,-50.1,30,1010
2018-08-06 00:00:00,31.7,-50.3,30,1010
2018-08-06 03:00:00,31.4,-50.2,30,1010
2018-08-06 06:00:00,31.3,-50.0,30,1010
2018-08-06 09:00:00,31.5,-49.8,30,1010
2018-08-06 12:00:00,31.9,-49.5,30,1010
2018-08-06 15:00:00,32.2,-49.2,30,1010
2018-08-06 18:00:00,32.6,-48.9,30,1010
2018-08-06 21:00:00,33.0,-48.4,30,1010
2018-08-07 00:00:00,33.7,-47.9,30,1009
2018-08-07 03:00:00,34.8,-47.6,33,1009
2018-08-07 06:00:00,36.0,-47.6,35,1008
2018-08-07 09:00:00,37.0,-47.8,35,1008
2018-08-07 12:00:00,37.9,-48.1,35,1008
2018-08-07 15:00:00,38.5,-48.6,35,1008
2018-08-07 18:00:00,39.0,-49.0,35,1008
2018-08-07 21:00:00,39.4,-49.2,35,1007
2018-08-08 00:00:00,39.7,-49.2,35,1006
2018-08-08 03:00:00,40.1,-49.1,38,1005
2018-08-08 06:00:00,40.4,-49.0,40,1003
2018-08-08 09:00:00,40.7,-48.8,40,1003
2018-08-08 12:00:00,41.0,-48.6,40,1003
2018-08-08 15:00:00,41.3,-48.4,40,1002
2018-08-08 18:00:00,41.6,-48.1,40,1000
2018-08-08 21:00:00,42.0,-47.7,43,999
2018-08-09 00:00:00,42.4,-47.2,45,998
2018-08-09 03:00:00,42.8,-46.7,43,999
2018-08-09 06:00:00,43.2,-46.0,40,1000
2018-08-09 09:00:00,43.6,-45.3,40,1001
2018-08-09 12:00:00,44.0,-44.4,40,1002
2018-08-09 15:00:00,44.5,-43.3,38,1003
2018-08-09 18:00:00,45.1,-42.0,35,1004
2018-08-09 21:00:00,45.5,-40.4,35,1004
2018-08-10 00:00:00,45.9,-38.5,35,1004
2018-08-10 03:00:00,46.2,-36.6,35,1004
2018-08-10 06:00:00,46.5,-34.7,35,1004
2018-08-10 09:00:00,46.8,-32.8,33,1004
2018-08-10 12:00:00,47.0,-30.8,30,1004
