time,lat,lon,vmax,mslp
2018-09-07 12:00:00,13.4,-16.8,30,1004
2018-09-07 15:00:00,13.5,-17.1,30,1004
2018-09-07 18:00:00,13.5,-17.4,30,1003
2018-09-07 21:00:00,13.5,-17.7,33,1003
2018-09-08 00:00:00,13.6,-18.0,35,1002
2018-09-08 03:00:00,13.7,-18.4,38,1002
2018-09-08 06:00:00,13.7,-18.9,40,1002
2018-09-08 09:00:00,13.6,-19.4,43,1002
2018-09-08 12:00:00,13.5,-19.9,45,1001
2018-09-08 15:00:00,13.4,-20.4,45,1001
2018-09-08 18:00:00,13.3,-21.0,45,1000
2018-09-08 21:00:00,13.2,-21.6,48,1000
2018-09-09 00:00:00,13.2,-22.2,50,999
2018-09-09 03:00:00,13.1,-22.8,53,999
2018-09-09 06:00:00,13.1,-23.4,55,998
2018-09-09 09:00:00,13.1,-24.0,58,997
2018-09-09 12:00:00,13.2,-24.5,60,996
2018-09-09 15:00:00,13.3,-25.1,63,994
2018-09-09 18:00:00,13.4,-25.6,65,992
2018-09-09 21:00:00,13.5,-26.1,70,988
2018-09-10 00:00:00,13.7,-26.7,75,984
2018-09-10 03:00:00,13.8,-27.3,78,982
2018-09-10 06:00:00,14.0,-28.0,80,980
2018-09-10 09:00:00,14.2,-28.7,83,979
2018-09-10 12:00:00,14.4,-29.4,85,977
2018-09-10 15:00:00,14.6,-30.1,88,975
2018-09-10 18:00:00,14.8,-30.8,90,973
2018-09-10 21:00:00,15.0,-31.5,93,971
2018-09-11 00:00:00,15.3,-32.1,95,969
2018-09-11 03:00:00,15.5,-32.7,95,969
2018-09-11 06:00:00,15.7,-33.2,95,968
2018-09-11 09:00:00,15.9,-33.6,95,968
2018-09-11 12:00:00,16.2,-34.0,95,967
2018-09-11 15:00:00,16.5,-34.3,93,969
2018-09-11 18:00:00,16.8,-34.6,90,970
2018-09-11 21:00:00,17.2,-35.0,88,972
2018-09-12 00:00:00,17.6,-35.3,85,973
2018-09-12 03:00:00,18.1,-35.6,83,975
2018-09-12 06:00:00,18.7,-35.8,80,976
2018-09-12 09:00:00,19.3,-36.1,80,976
2018-09-12 12:00:00,19.8,-36.3,80,976
2018-09-12 15:00:00,20.3,-36.5,78,978
2018-09-12 18:00:00,20.8,-36.7,75,979
2018-09-12 21:00:00,21.4,-36.9,73,981
2018-09-13 00:00:00,21.9,-37.1,70,982
2018-09-13 03:00:00,22.4,-37.2,68,984
2018-09-13 06:00:00,22.9,-37.3,65,985
2018-09-13 09:00:00,23.5,-37.4,63,987
2018-09-13 12:00:00,24.1,-37.4,60,988
2018-09-13 15:00:00,24.7,-37.4,60,988
2018-09-13 18:00:00,25.4,-37.4,60,988
2018-09-13 21:00:00,26.2,-37.4,60,989
2018-09-14 00:00:00,27.2,-37.4,60,989
2018-09-14 03:00:00,28.3,-37.4,60,989
2018-09-14 06:00:00,29.4,-37.3,60,989
2018-09-14 09:00:00,30.6,-37.3,60,989
2018-09-14 12:00:00,31.8,-37.2,60,988
2018-09-14 15:00:00,32.8,-37.1,60,988
2018-09-14 18:00:00,33.7,-37.0,60,987
2018-09-14 21:00:00,34.5,-36.8,60,987
2018-09-15 00:00:00,35.2,-36.5,60,986
2018-09-15 03:00:00,36.0,-36.2,60,986
2018-09-15 06:00:00,36.9,-35.7,60,986
2018-09-15 09:00:00,37.7,-35.2,58,987
2018-09-15 12:00:00,38.4,-34.5,55,987
2018-09-15 15:00:00,39.0,-33.7,55,988
2018-09-15 18:00:00,39.6,-32.9,55,989
2018-09-15 21:00:00,40.1,-32.2,53,991
2018-09-16 00:00:00,40.6,-31.5,50,992
2018-09-16 03:00:00,41.2,-30.6,48,993
2018-09-16 06:00:00,41.8,-29.6,45,993
2018-09-16 09:00:00,42.5,-28.4,45,993
2018-09-16 12:00:00,43.1,-27.1,45,993
2018-09-16 15:00:00,43.6,-25.7,45,993
2018-09-16 18:00:00,44.1,-24.0,45,993
2018-09-16 21:00:00,44.6,-22.1,48,993
2018-09-17 00:00:00,45.2,-20.0,50,992
2018-09-17 03:00:00,45.9,-18.0,50,992
2018-09-17 06:00:00,46.7,-16.0,50,992
2018-09-17 09:00:00,47.3,-14.1,50,992
2018-09-17 12:00:00,48.0,-12.5,50,992
2018-09-17 15:00:00,48.7,-11.2,48,994
2018-09-17 18:00:00,49.5,-10.0,45,995
