time,lat,lon,vmax,mslp
2018-09-22 06:00:00,7.7,-21.8,30,1007
2018-09-22 09:00:00,7.9,-22.3,33,1006
2018-09-22 12:00:00,8.1,-22.9,35,1005
2018-09-22 15:00:00,8.3,-23.5,35,1005
2018-09-22 18:00:00,8.5,-24.1,35,1005
2018-09-22 21:00:00,8.7,-24.9,35,1005
2018-09-23 00:00:00,8.9,-25.7,35,1005
2018-09-23 03:00:00,9.0,-26.5,35,1005
2018-09-23 06:00:00,9.1,-27.3,35,1005
2018-09-23 09:00:00,9.2,-28.2,35,1005
2018-09-23 12:00:00,9.2,-29.3,35,1005
2018-09-23 15:00:00,9.2,-30.5,33,1006
2018-09-23 18:00:00,9.3,-31.7,30,1006
2018-09-23 21:00:00,9.3,-32.9,28,1007
2018-09-24 00:00:00,9.4,-34.1,25,1007
2018-09-24 03:00:00,9.5,-35.3,28,1007
2018-09-24 06:00:00,9.6,-36.4,30,1007
2018-09-24 09:00:00,9.7,-37.5,33,1007
2018-09-24 12:00:00,9.8,-38.5,35,1007
2018-09-24 15:00:00,9.9,-39.6,35,1007
2018-09-24 18:00:00,10.0,-40.6,35,1007
2018-09-24 21:00:00,10.1,-41.7,35,1007
2018-09-25 00:00:00,10.3,-42.7,35,1007
2018-09-25 03:00:00,10.5,-43.8,35,1007
2018-09-25 06:00:00,10.7,-44.8,35,1007
2018-09-25 09:00:00,10.9,-45.8,35,1007
2018-09-25 12:00:00,11.0,-46.8,35,1007
2018-09-25 15:00:00,11.2,-47.7,38,1007
2018-09-25 18:00:00,11.3,-48.6,40,1006
2018-09-25 21:00:00,11.4,-49.5,43,1006
2018-09-26 00:00:00,11.5,-50.3,45,1005
2018-09-26 03:00:00,11.6,-51.2,48,1005
2018-09-26 06:00:00,11.8,-52.0,50,1004
2018-09-26 09:00:00,11.9,-52.8,53,1003
2018-09-26 12:00:00,12.1,-53.6,55,1002
2018-09-26 15:00:00,12.3,-54.3,55,1000
2018-09-26 18:00:00,12.5,-55.0,55,998
2018-09-26 21:00:00,12.7,-55.7,53,1000
2018-09-27 00:00:00,12.9,-56.4,50,1002
2018-09-27 03:00:00,13.1,-57.1,50,1002
2018-09-27 06:00:00,13.3,-57.7,50,1002
2018-09-27 09:00:00,13.4,-58.2,50,1000
2018-09-27 12:00:00,13.6,-58.7,50,998
2018-09-27 15:00:00,13.8,-59.2,50,999
2018-09-27 18:00:00,14.0,-59.8,50,1000
2018-09-27 21:00:00,13.9,-60.3,48,1001
2018-09-28 00:00:00,13.8,-60.8,45,1002
2018-09-28 00:30:00,13.8,-60.9,45,1002
2018-09-28 03:00:00,13.6,-61.4,45,1003
2018-09-28 06:00:00,13.3,-61.9,45,1005
2018-09-28 09:00:00,13.3,-62.5,43,1006
2018-09-28 12:00:00,13.6,-63.1,40,1007
2018-09-28 15:00:00,14.0,-63.7,38,1007
2018-09-28 18:00:00,14.4,-64.2,35,1007
