time,lat,lon,vmax,mslp
2018-10-08 12:00:00,9.3,-26.7,25,1009
2018-10-08 15:00:00,9.4,-27.2,25,1009
2018-10-08 18:00:00,9.5,-27.6,25,1009
2018-10-08 21:00:00,9.6,-28.0,25,1009
2018-10-09 00:00:00,9.8,-28.4,25,1009
2018-10-09 03:00:00,9.9,-28.7,28,1009
2018-10-09 06:00:00,10.1,-29.0,30,1008
2018-10-09 09:00:00,10.2,-29.3,33,1007
2018-10-09 12:00:00,10.4,-29.6,35,1006
2018-10-09 15:00:00,10.6,-29.9,38,1005
2018-10-09 18:00:00,10.8,-30.2,40,1004
2018-10-09 21:00:00,11.0,-30.5,45,1002
2018-10-10 00:00:00,11.2,-30.7,50,999
2018-10-10 03:00:00,11.5,-30.8,53,997
2018-10-10 06:00:00,11.8,-30.9,55,995
2018-10-10 09:00:00,12.1,-31.1,55,996
2018-10-10 12:00:00,12.3,-31.4,55,996
2018-10-10 15:00:00,12.6,-31.7,53,997
2018-10-10 18:00:00,12.8,-32.0,50,998
2018-10-10 21:00:00,13.1,-32.3,50,998
2018-10-11 00:00:00,13.3,-32.5,50,998
2018-10-11 03:00:00,13.5,-32.8,48,1000
2018-10-11 06:00:00,13.6,-33.1,45,1001
2018-10-11 09:00:00,13.7,-33.4,45,1001
2018-10-11 12:00:00,13.9,-33.8,45,1001
2018-10-11 15:00:00,14.1,-34.2,45,1002
2018-10-11 18:00:00,14.3,-34.6,45,1002
2018-10-11 21:00:00,14.5,-34.8,43,1003
2018-10-12 00:00:00,14.8,-35.0,40,1003
2018-10-12 03:00:00,15.0,-35.2,40,1004
2018-10-12 06:00:00,15.3,-35.3,40,1004
2018-10-12 09:00:00,15.6,-35.4,38,1005
2018-10-12 12:00:00,15.8,-35.7,35,1006
2018-10-12 15:00:00,16.0,-36.3,33,1007
2018-10-12 18:00:00,16.2,-37.0,30,1008
