time,lat,lon,vmax,mslp
2019-05-20 18:00:00,28.1,-68.6,35,1008
2019-05-20 21:00:00,28.6,-68.7,35,1007
2019-05-21 00:00:00,29.1,-68.8,35,1006
2019-05-21 03:00:00,29.5,-68.9,35,1007
2019-05-21 06:00:00,29.9,-69.0,35,1007
2019-05-21 09:00:00,30.3,-69.1,33,1008
2019-05-21 12:00:00,30.6,-69.1,30,1009
2019-05-21 15:00:00,30.7,-68.9,30,1009
2019-05-21 18:00:00,30.8,-68.6,30,1009
2019-05-21 21:00:00,31.0,-68.2,30,1010
2019-05-22 00:00:00,31.3,-67.7,30,1010
2019-05-22 03:00:00,31.5,-67.2,28,1011
2019-05-22 06:00:00,31.6,-66.7,25,1011
