time,lat,lon,vmax,mslp
2019-09-03 06:00:00,23.6,-94.0,30,1006
2019-09-03 09:00:00,23.5,-94.4,33,1005
2019-09-03 12:00:00,23.4,-94.7,35,1004
2019-09-03 15:00:00,23.3,-95.1,38,1003
2019-09-03 18:00:00,23.2,-95.4,40,1002
2019-09-03 21:00:00,23.1,-95.8,43,1001
2019-09-04 00:00:00,23.1,-96.1,45,1000
2019-09-04 03:00:00,23.2,-96.5,45,1000
2019-09-04 06:00:00,23.4,-96.8,45,1000
2019-09-04 09:00:00,23.7,-97.0,43,1002
2019-09-04 12:00:00,24.0,-97.2,40,1003
2019-09-04 15:00:00,24.2,-97.6,40,1003
2019-09-04 15:30:00,24.2,-97.7,40,1003
2019-09-04 18:00:00,24.3,-98.0,30,1004
2019-09-04 21:00:00,24.5,-98.3,28,1006
2019-09-05 00:00:00,24.7,-98.6,25,1007
