time,lat,lon,vmax,mslp
2019-09-17 00:00:00,12.6,-42.6,25,1009
2019-09-17 03:00:00,12.7,-43.1,28,1008
2019-09-17 06:00:00,12.8,-43.5,30,1007
2019-09-17 09:00:00,12.9,-43.9,30,1007
2019-09-17 12:00:00,13.0,-44.4,30,1007
2019-09-17 15:00:00,13.1,-44.9,30,1007
2019-09-17 18:00:00,13.3,-45.4,30,1007
2019-09-17 21:00:00,13.4,-45.8,30,1007
2019-09-18 00:00:00,13.6,-46.3,30,1006
2019-09-18 03:00:00,13.8,-46.8,33,1006
2019-09-18 06:00:00,14.0,-47.4,35,1005
2019-09-18 09:00:00,14.2,-48.0,40,1004
2019-09-18 12:00:00,14.4,-48.6,45,1002
2019-09-18 15:00:00,14.6,-49.2,48,1001
2019-09-18 18:00:00,14.8,-49.9,50,1000
2019-09-18 21:00:00,15.0,-50.6,53,999
2019-09-19 00:00:00,15.2,-51.2,55,998
2019-09-19 03:00:00,15.5,-51.9,58,997
2019-09-19 06:00:00,15.8,-52.5,60,996
2019-09-19 09:00:00,16.1,-53.1,65,993
2019-09-19 12:00:00,16.5,-53.8,70,990
2019-09-19 15:00:00,16.9,-54.5,75,986
2019-09-19 18:00:00,17.2,-55.2,80,981
2019-09-19 21:00:00,17.5,-55.9,85,979
2019-09-20 00:00:00,17.7,-56.6,90,976
2019-09-20 03:00:00,17.9,-57.3,88,980
2019-09-20 06:00:00,18.1,-58.1,85,983
2019-09-20 09:00:00,18.3,-58.9,80,987
2019-09-20 12:00:00,18.5,-59.7,75,990
2019-09-20 15:00:00,18.8,-60.5,70,991
2019-09-20 18:00:00,19.2,-61.2,65,991
2019-09-20 21:00:00,19.6,-61.8,63,992
2019-09-21 00:00:00,20.1,-62.4,60,993
2019-09-21 03:00:00,20.6,-63.0,58,994
2019-09-21 06:00:00,21.0,-63.5,55,995
2019-09-21 09:00:00,21.4,-64.0,55,997
2019-09-21 12:00:00,21.7,-64.5,55,998
2019-09-21 15:00:00,22.1,-65.0,55,998
2019-09-21 18:00:00,22.5,-65.5,55,998
2019-09-21 21:00:00,23.0,-65.8,55,998
2019-09-22 00:00:00,23.6,-66.1,55,998
2019-09-22 03:00:00,24.1,-66.3,55,998
2019-09-22 06:00:00,24.5,-66.5,55,998
2019-09-22 09:00:00,24.9,-66.6,55,998
2019-09-22 12:00:00,25.4,-66.6,55,997
2019-09-22 15:00:00,25.9,-66.7,55,996
2019-09-22 18:00:00,26.3,-66.8,55,994
2019-09-22 21:00:00,26.7,-67.0,55,994
2019-09-23 00:00:00,27.0,-67.2,55,993
2019-09-23 03:00:00,27.2,-67.5,55,993
2019-09-23 06:00:00,27.4,-67.7,55,992
2019-09-23 09:00:00,27.5,-67.9,55,992
2019-09-23 12:00:00,27.7,-68.0,55,991
2019-09-23 15:00:00,27.9,-68.2,55,991
2019-09-23 18:00:00,28.2,-68.3,55,991
2019-09-23 21:00:00,28.5,-68.5,55,991
2019-09-24 00:00:00,28.9,-68.6,55,991
2019-09-24 03:00:00,29.3,-68.8,53,991
2019-09-24 06:00:00,29.7,-68.9,50,991
2019-09-24 09:00:00,30.1,-69.0,48,991
2019-09-24 12:00:00,30.5,-69.1,45,991
2019-09-24 15:00:00,30.7,-69.1,45,992
2019-09-24 18:00:00,30.9,-69.1,45,993
2019-09-24 21:00:00,31.1,-69.0,43,995
2019-09-25 00:00:00,31.3,-68.9,40,996
2019-09-25 03:00:00,31.5,-68.7,40,997
2019-09-25 06:00:00,31.6,-68.4,40,997
2019-09-25 09:00:00,31.7,-68.0,38,998
2019-09-25 12:00:00,31.8,-67.4,35,999
2019-09-25 15:00:00,31.9,-66.8,33,1000
2019-09-25 18:00:00,32.0,-66.1,30,1000
2019-09-25 21:00:00,32.1,-65.5,28,1001
2019-09-26 00:00:00,32.3,-64.9,25,1001
2019-09-26 03:00:00,32.6,-64.3,25,1002
2019-09-26 06:00:00,32.9,-63.8,25,1003
2019-09-26 09:00:00,33.3,-63.3,25,1004
2019-09-26 12:00:00,33.6,-62.9,25,1005
2019-09-26 15:00:00,33.9,-62.5,25,1005
2019-09-26 18:00:00,34.1,-62.2,25,1005
2019-09-26 21:00:00,34.4,-61.8,25,1006
2019-09-27 00:00:00,34.6,-61.4,25,1006
2019-09-27 03:00:00,34.8,-61.0,25,1006
2019-09-27 06:00:00,35.0,-60.5,25,1006
2019-09-27 09:00:00,35.2,-59.9,25,1006
2019-09-27 12:00:00,35.3,-59.4,25,1006
2019-09-27 15:00:00,35.3,-59.0,25,1006
2019-09-27 18:00:00,35.3,-58.7,25,1006
2019-09-27 21:00:00,35.2,-58.5,23,1007
2019-09-28 00:00:00,35.1,-58.3,20,1007
