time,lat,lon,vmax,mslp
2019-10-08 18:00:00,35.0,-74.1,40,1009
2019-10-08 21:00:00,35.6,-73.3,40,1009
2019-10-09 00:00:00,36.1,-72.4,40,1009
2019-10-09 03:00:00,36.6,-71.4,43,1009
2019-10-09 06:00:00,37.0,-70.4,45,1008
2019-10-09 09:00:00,37.4,-69.5,45,1008
2019-10-09 12:00:00,37.7,-68.8,45,1007
2019-10-09 15:00:00,38.1,-68.3,48,1007
2019-10-09 18:00:00,38.4,-68.1,50,1006
2019-10-09 21:00:00,38.7,-68.1,53,1005
2019-10-10 00:00:00,38.9,-68.2,55,1004
2019-10-10 03:00:00,39.0,-68.4,55,1003
2019-10-10 06:00:00,38.9,-68.7,55,1002
2019-10-10 09:00:00,38.8,-69.0,55,1001
2019-10-10 12:00:00,38.6,-69.2,55,1000
2019-10-10 15:00:00,38.3,-69.3,55,999
2019-10-10 18:00:00,38.0,-69.2,55,998
2019-10-10 21:00:00,37.9,-68.8,55,997
2019-10-11 00:00:00,37.9,-68.4,55,996
2019-10-11 03:00:00,38.1,-68.4,55,995
2019-10-11 06:00:00,38.4,-68.7,55,994
2019-10-11 09:00:00,38.6,-69.0,53,995
2019-10-11 12:00:00,38.6,-69.4,50,995
2019-10-11 15:00:00,38.4,-69.6,50,996
2019-10-11 18:00:00,38.2,-69.7,50,996
2019-10-11 21:00:00,38.0,-69.5,50,997
2019-10-12 00:00:00,37.8,-69.1,50,997
2019-10-12 03:00:00,37.8,-68.8,48,998
2019-10-12 06:00:00,37.9,-68.4,45,998
2019-10-12 09:00:00,37.9,-68.0,45,998
2019-10-12 12:00:00,38.0,-67.5,45,998
2019-10-12 15:00:00,38.1,-66.9,45,998
2019-10-12 18:00:00,38.2,-66.3,45,998
2019-10-12 21:00:00,38.4,-65.6,45,998
2019-10-13 00:00:00,38.6,-64.9,45,998
2019-10-13 03:00:00,38.8,-64.2,43,999
2019-10-13 06:00:00,39.1,-63.5,40,999
2019-10-13 09:00:00,39.3,-62.6,40,1000
2019-10-13 12:00:00,39.5,-61.7,40,1000
2019-10-13 15:00:00,39.6,-60.8,38,1001
2019-10-13 18:00:00,39.7,-59.8,35,1001
2019-10-13 21:00:00,39.8,-58.9,35,1002
2019-10-14 00:00:00,40.0,-57.9,35,1002
2019-10-14 03:00:00,40.2,-56.8,35,1003
2019-10-14 06:00:00,40.5,-55.5,35,1003
2019-10-14 09:00:00,40.7,-54.3,35,1004
2019-10-14 12:00:00,40.8,-52.9,35,1004
2019-10-14 15:00:00,40.9,-51.4,35,1004
2019-10-14 18:00:00,40.9,-49.8,35,1004
