time,lat,lon,vmax,mslp
2019-10-17 12:00:00,22.2,-95.7,35,1007
2019-10-17 15:00:00,22.4,-95.5,35,1006
2019-10-17 18:00:00,22.6,-95.2,35,1005
2019-10-17 21:00:00,22.9,-94.9,38,1004
2019-10-18 00:00:00,23.2,-94.5,40,1003
2019-10-18 03:00:00,23.6,-93.8,43,1003
2019-10-18 06:00:00,24.1,-93.0,45,1002
2019-10-18 09:00:00,24.6,-92.1,48,1002
2019-10-18 12:00:00,25.2,-91.2,50,1001
2019-10-18 15:00:00,25.8,-90.3,50,1001
2019-10-18 18:00:00,26.4,-89.4,50,1000
2019-10-18 21:00:00,27.1,-88.5,50,998
2019-10-19 00:00:00,27.8,-87.8,50,996
2019-10-19 03:00:00,28.3,-87.4,50,996
2019-10-19 06:00:00,28.6,-87.1,50,996
2019-10-19 09:00:00,28.9,-86.8,45,996
2019-10-19 12:00:00,29.3,-86.4,40,996
2019-10-19 15:00:00,29.7,-85.9,40,998
2019-10-19 18:00:00,30.2,-85.4,40,999
2019-10-19 21:00:00,30.6,-84.9,38,1000
2019-10-20 00:00:00,31.2,-84.2,35,1000
2019-10-20 03:00:00,32.1,-83.1,38,1001
2019-10-20 06:00:00,33.1,-81.7,40,1002
2019-10-20 09:00:00,34.1,-80.4,40,1002
2019-10-20 12:00:00,35.1,-79.1,40,1002
2019-10-20 15:00:00,36.2,-77.9,40,1002
2019-10-20 18:00:00,37.0,-76.7,40,1002
2019-10-20 21:00:00,37.4,-75.6,40,1002
2019-10-21 00:00:00,37.5,-74.5,40,1001
