time,lat,lon,vmax,mslp
2019-10-27 00:00:00,40.5,-51.5,35,1004
2019-10-27 03:00:00,40.5,-49.7,43,997
2019-10-27 06:00:00,40.4,-48.0,50,989
2019-10-27 09:00:00,40.3,-46.4,55,983
2019-10-27 12:00:00,40.2,-45.0,60,976
2019-10-27 15:00:00,40.2,-44.0,63,972
2019-10-27 18:00:00,40.2,-43.1,65,968
2019-10-27 21:00:00,40.3,-42.1,68,967
2019-10-28 00:00:00,40.5,-41.1,70,965
2019-10-28 03:00:00,40.8,-40.2,70,966
2019-10-28 06:00:00,41.2,-39.5,70,966
2019-10-28 09:00:00,41.8,-39.3,68,967
2019-10-28 12:00:00,42.4,-39.4,65,967
2019-10-28 15:00:00,42.8,-39.9,63,968
2019-10-28 18:00:00,42.9,-40.4,60,969
2019-10-28 21:00:00,42.6,-40.4,58,970
2019-10-29 00:00:00,42.2,-40.1,55,971
2019-10-29 03:00:00,42.1,-39.2,55,972
2019-10-29 06:00:00,42.3,-38.5,55,973
2019-10-29 09:00:00,42.6,-38.5,55,974
2019-10-29 12:00:00,43.0,-38.9,55,975
2019-10-29 15:00:00,43.4,-39.6,53,976
2019-10-29 18:00:00,43.4,-40.6,50,977
2019-10-29 21:00:00,42.8,-41.7,50,978
2019-10-30 00:00:00,41.8,-42.7,50,979
2019-10-30 03:00:00,40.8,-43.4,50,980
2019-10-30 06:00:00,39.9,-43.7,50,980
2019-10-30 09:00:00,39.0,-43.4,48,981
2019-10-30 12:00:00,38.3,-42.8,45,982
2019-10-30 15:00:00,38.1,-42.2,45,983
2019-10-30 18:00:00,38.1,-41.5,45,984
2019-10-30 21:00:00,38.2,-40.8,45,985
2019-10-31 00:00:00,38.4,-40.0,45,986
2019-10-31 03:00:00,38.8,-38.9,43,987
2019-10-31 06:00:00,39.3,-37.7,40,988
2019-10-31 09:00:00,39.8,-36.9,40,989
2019-10-31 12:00:00,40.3,-36.2,40,990
2019-10-31 15:00:00,40.7,-35.4,40,991
2019-10-31 18:00:00,41.0,-34.5,40,992
2019-10-31 21:00:00,41.0,-33.5,38,994
2019-11-01 00:00:00,40.8,-32.4,35,995
2019-11-01 03:00:00,40.7,-31.3,35,999
2019-11-01 06:00:00,40.6,-30.2,35,1002
2019-11-01 09:00:00,40.5,-28.9,35,1009
2019-11-01 12:00:00,40.5,-27.5,35,1016
