time,lat,lon,vmax,mslp
2019-11-19 06:00:00,19.4,-58.1,35,1006
2019-11-19 09:00:00,19.7,-58.3,38,1005
2019-11-19 12:00:00,19.9,-58.5,40,1004
2019-11-19 15:00:00,20.1,-58.9,40,1004
2019-11-19 18:00:00,20.3,-59.4,40,1004
2019-11-19 21:00:00,20.4,-59.9,40,1003
2019-11-20 00:00:00,20.4,-60.3,40,1002
2019-11-20 03:00:00,20.4,-60.7,43,1001
2019-11-20 06:00:00,20.5,-61.0,45,1000
2019-11-20 09:00:00,20.6,-61.4,45,1000
2019-11-20 12:00:00,20.8,-61.7,45,999
2019-11-20 15:00:00,21.0,-61.8,45,999
2019-11-20 18:00:00,21.3,-61.7,45,999
2019-11-20 21:00:00,21.6,-61.7,48,998
2019-11-21 00:00:00,21.9,-61.7,50,996
2019-11-21 03:00:00,22.2,-61.6,50,996
2019-11-21 06:00:00,22.4,-61.4,50,996
2019-11-21 09:00:00,22.6,-61.2,50,996
2019-11-21 12:00:00,22.9,-60.9,50,996
2019-11-21 15:00:00,23.2,-60.6,50,996
2019-11-21 18:00:00,23.5,-60.1,50,996
2019-11-21 21:00:00,23.9,-59.5,50,996
2019-11-22 00:00:00,24.2,-58.8,50,996
2019-11-22 03:00:00,24.4,-58.1,50,996
2019-11-22 06:00:00,24.5,-57.3,50,996
2019-11-22 09:00:00,24.7,-56.5,50,996
2019-11-22 12:00:00,25.0,-55.8,50,996
2019-11-22 15:00:00,25.4,-55.1,53,995
2019-11-22 18:00:00,25.8,-54.4,55,994
2019-11-22 21:00:00,26.2,-53.6,58,993
2019-11-23 00:00:00,26.7,-52.6,60,991
2019-11-23 03:00:00,27.4,-51.6,60,991
2019-11-23 06:00:00,28.1,-50.5,60,991
2019-11-23 09:00:00,28.8,-49.4,58,993
2019-11-23 12:00:00,29.6,-48.4,55,994
2019-11-23 15:00:00,30.5,-47.4,55,994
2019-11-23 18:00:00,31.5,-46.4,55,994
2019-11-23 21:00:00,32.5,-45.4,55,994
2019-11-24 00:00:00,33.5,-44.4,55,994
2019-11-24 03:00:00,34.4,-43.1,55,994
2019-11-24 06:00:00,35.2,-41.7,55,994
2019-11-24 09:00:00,35.9,-40.2,55,994
2019-11-24 12:00:00,36.6,-38.5,55,994
2019-11-24 15:00:00,37.4,-36.6,55,994
2019-11-24 18:00:00,38.2,-34.7,55,994
2019-11-24 21:00:00,39.1,-32.8,55,993
2019-11-25 00:00:00,40.0,-30.9,55,992
2019-11-25 03:00:00,40.9,-28.9,58,990
2019-11-25 06:00:00,41.9,-26.7,60,988
2019-11-25 09:00:00,42.9,-24.4,60,985
2019-11-25 12:00:00,44.0,-22.0,60,982
2019-11-25 15:00:00,45.2,-19.1,60,980
2019-11-25 18:00:00,46.4,-16.3,60,978
2019-11-25 21:00:00,47.6,-14.0,58,976
2019-11-26 00:00:00,48.8,-12.2,55,974
2019-11-26 03:00:00,50.2,-10.5,53,973
2019-11-26 06:00:00,51.3,-9.3,50,972
2019-11-26 09:00:00,51.9,-9.1,48,971
2019-11-26 12:00:00,52.2,-9.3,45,970
2019-11-26 15:00:00,52.3,-9.2,43,971
2019-11-26 18:00:00,52.2,-8.9,40,972
2019-11-26 21:00:00,52.0,-8.7,40,973
2019-11-27 00:00:00,51.8,-8.2,40,974
2019-11-27 03:00:00,51.6,-7.3,40,975
2019-11-27 06:00:00,51.4,-6.0,40,976
2019-11-27 09:00:00,51.3,-4.2,40,978
2019-11-27 12:00:00,51.3,-2.1,40,980
