time,lat,lon,vmax,mslp
2020-07-04 06:00:00,30.4,-71.2,30,1009
2020-07-04 09:00:00,30.6,-70.3,30,1009
2020-07-04 12:00:00,30.9,-69.4,30,1009
2020-07-04 15:00:00,31.2,-68.6,30,1008
2020-07-04 18:00:00,31.5,-68.0,30,1007
2020-07-04 21:00:00,31.8,-67.5,30,1007
2020-07-05 00:00:00,32.1,-67.0,30,1007
2020-07-05 03:00:00,32.5,-66.4,30,1007
2020-07-05 06:00:00,32.9,-65.8,30,1007
2020-07-05 09:00:00,33.3,-65.1,30,1007
2020-07-05 12:00:00,33.8,-64.2,30,1007
2020-07-05 15:00:00,34.4,-63.2,30,1007
2020-07-05 18:00:00,35.0,-61.9,30,1007
2020-07-05 21:00:00,35.7,-60.3,33,1007
2020-07-06 00:00:00,36.4,-58.5,35,1006
2020-07-06 03:00:00,37.2,-56.9,35,1006
2020-07-06 06:00:00,38.1,-55.3,35,1006
2020-07-06 09:00:00,39.0,-53.5,38,1006
2020-07-06 12:00:00,39.9,-51.7,40,1006
2020-07-06 15:00:00,40.8,-49.8,40,1006
2020-07-06 18:00:00,41.7,-47.8,40,1005
2020-07-06 21:00:00,42.6,-45.9,40,1005
2020-07-07 00:00:00,43.6,-44.1,40,1005
2020-07-07 03:00:00,44.5,-42.2,40,1006
2020-07-07 06:00:00,45.5,-40.3,40,1006
2020-07-07 09:00:00,46.5,-38.5,40,1006
2020-07-07 12:00:00,47.6,-36.6,40,1006
2020-07-07 15:00:00,48.6,-34.6,40,1006
2020-07-07 18:00:00,49.5,-32.5,40,1006
2020-07-07 21:00:00,50.3,-30.3,38,1007
2020-07-08 00:00:00,51.0,-28.0,35,1007
2020-07-08 03:00:00,51.6,-25.8,33,1008
2020-07-08 06:00:00,52.0,-23.5,30,1008
2020-07-08 09:00:00,52.1,-21.3,30,1008
2020-07-08 12:00:00,52.0,-19.0,30,1008
2020-07-08 15:00:00,52.0,-16.5,30,1008
2020-07-08 18:00:00,52.0,-14.0,30,1008
2020-07-08 21:00:00,52.0,-11.5,30,1009
2020-07-09 00:00:00,52.0,-9.0,30,1009
2020-07-09 03:00:00,52.0,-6.4,30,1009
2020-07-09 06:00:00,52.0,-4.0,30,1009
2020-07-09 09:00:00,52.0,-1.9,28,1010
2020-07-09 12:00:00,52.0,0.0,25,1010
