time,lat,lon,vmax,mslp
2020-08-10 18:00:00,11.1,-34.2,25,1009
2020-08-10 21:00:00,11.2,-34.8,28,1009
2020-08-11 00:00:00,11.3,-35.4,30,1008
2020-08-11 03:00:00,11.4,-36.1,30,1008
2020-08-11 06:00:00,11.4,-36.8,30,1008
2020-08-11 09:00:00,11.4,-37.5,30,1008
2020-08-11 12:00:00,11.5,-38.2,30,1008
2020-08-11 15:00:00,11.6,-38.9,30,1008
2020-08-11 18:00:00,11.7,-39.6,30,1008
2020-08-11 21:00:00,11.8,-40.3,30,1008
2020-08-12 00:00:00,11.9,-41.0,30,1008
2020-08-12 03:00:00,12.0,-41.7,30,1008
2020-08-12 06:00:00,12.0,-42.3,30,1008
2020-08-12 09:00:00,12.0,-43.0,30,1008
2020-08-12 12:00:00,12.1,-43.7,30,1007
2020-08-12 15:00:00,12.1,-44.3,30,1007
2020-08-12 18:00:00,12.2,-44.9,30,1007
2020-08-12 21:00:00,12.3,-45.5,30,1007
2020-08-13 00:00:00,12.4,-46.1,30,1007
2020-08-13 03:00:00,12.5,-46.7,30,1007
2020-08-13 06:00:00,12.7,-47.3,30,1007
2020-08-13 09:00:00,13.0,-47.9,35,1006
2020-08-13 12:00:00,13.4,-48.6,40,1005
2020-08-13 15:00:00,13.7,-49.3,40,1005
2020-08-13 18:00:00,14.0,-50.0,40,1005
2020-08-13 21:00:00,14.2,-50.6,38,1005
2020-08-14 00:00:00,14.5,-51.3,35,1005
2020-08-14 03:00:00,14.8,-52.0,35,1005
2020-08-14 06:00:00,15.1,-52.8,35,1005
2020-08-14 09:00:00,15.6,-53.5,35,1005
2020-08-14 12:00:00,16.2,-54.2,35,1005
2020-08-14 15:00:00,16.8,-54.9,38,1005
2020-08-14 18:00:00,17.4,-55.6,40,1004
2020-08-14 21:00:00,17.8,-56.3,40,1004
2020-08-15 00:00:00,18.0,-56.9,40,1004
2020-08-15 03:00:00,18.2,-57.6,40,1005
2020-08-15 06:00:00,18.4,-58.3,40,1005
2020-08-15 09:00:00,18.6,-59.0,38,1006
2020-08-15 12:00:00,18.8,-59.7,35,1007
2020-08-15 15:00:00,19.2,-60.3,35,1008
2020-08-15 18:00:00,19.6,-60.9,35,1009
2020-08-15 21:00:00,19.7,-61.5,35,1009
2020-08-16 00:00:00,19.8,-62.1,35,1009
2020-08-16 03:00:00,19.9,-62.8,33,1010
2020-08-16 06:00:00,20.0,-63.4,30,1010
2020-08-16 09:00:00,20.1,-64.0,30,1010
2020-08-16 12:00:00,20.2,-64.5,30,1010
