time,lat,lon,vmax,mslp
2020-08-20 00:00:00,14.4,-47.3,30,1008
2020-08-20 03:00:00,14.9,-48.5,30,1008
2020-08-20 06:00:00,15.4,-49.6,30,1008
2020-08-20 09:00:00,15.8,-50.6,30,1008
2020-08-20 12:00:00,16.1,-51.6,30,1008
2020-08-20 15:00:00,16.4,-52.5,30,1008
2020-08-20 18:00:00,16.6,-53.4,30,1008
2020-08-20 21:00:00,16.7,-54.4,30,1008
2020-08-21 00:00:00,16.8,-55.5,30,1008
2020-08-21 03:00:00,16.9,-56.5,30,1008
2020-08-21 06:00:00,16.9,-57.5,30,1008
2020-08-21 09:00:00,16.9,-58.5,35,1008
2020-08-21 12:00:00,17.0,-59.4,40,1008
2020-08-21 15:00:00,17.1,-60.3,40,1008
2020-08-21 18:00:00,17.1,-61.1,40,1007
2020-08-21 20:30:00,17.1,-61.8,40,1007
2020-08-21 21:00:00,17.1,-61.9,40,1007
2020-08-21 23:30:00,17.1,-62.6,40,1007
2020-08-22 00:00:00,17.1,-62.8,40,1007
2020-08-22 03:00:00,17.2,-63.7,40,1007
2020-08-22 06:00:00,17.4,-64.4,40,1007
2020-08-22 09:00:00,17.6,-65.2,43,1007
2020-08-22 12:00:00,17.7,-65.9,45,1006
2020-08-22 15:00:00,17.8,-66.7,45,1005
2020-08-22 18:00:00,17.9,-67.4,45,1004
2020-08-22 21:00:00,18.0,-68.1,45,1004
2020-08-23 00:00:00,18.2,-68.8,45,1004
2020-08-23 03:00:00,18.3,-69.6,45,1004
2020-08-23 04:30:00,18.4,-70.0,45,1004
2020-08-23 06:00:00,18.5,-70.3,45,1004
2020-08-23 09:00:00,18.6,-71.2,45,1004
2020-08-23 12:00:00,18.8,-72.3,45,1004
2020-08-23 15:00:00,19.1,-73.3,50,1003
2020-08-23 18:00:00,19.4,-74.3,55,1002
2020-08-23 21:00:00,19.6,-75.2,55,1001
2020-08-24 00:00:00,19.8,-76.0,55,1000
2020-08-24 02:00:00,20.0,-76.6,55,1000
2020-08-24 03:00:00,20.1,-76.9,54,1000
2020-08-24 06:00:00,20.2,-77.8,50,1000
2020-08-24 09:00:00,20.5,-78.7,50,1001
2020-08-24 12:00:00,20.8,-79.7,50,1002
2020-08-24 15:00:00,21.1,-80.6,50,1002
2020-08-24 18:00:00,21.5,-81.5,50,1001
2020-08-24 21:00:00,21.9,-82.4,53,1000
2020-08-25 00:00:00,22.3,-83.3,55,998
2020-08-25 03:00:00,22.6,-84.1,58,997
2020-08-25 06:00:00,22.8,-84.8,60,995
2020-08-25 09:00:00,23.1,-85.5,63,993
2020-08-25 12:00:00,23.4,-86.2,65,990
2020-08-25 15:00:00,23.7,-86.9,68,990
2020-08-25 18:00:00,24.1,-87.5,70,990
2020-08-25 21:00:00,24.5,-88.2,73,987
2020-08-26 00:00:00,24.9,-88.9,75,983
2020-08-26 03:00:00,25.2,-89.6,83,981
2020-08-26 06:00:00,25.6,-90.2,90,978
2020-08-26 09:00:00,26.0,-90.8,95,971
2020-08-26 12:00:00,26.4,-91.4,100,963
2020-08-26 15:00:00,26.8,-92.0,110,958
2020-08-26 18:00:00,27.3,-92.5,120,952
2020-08-26 21:00:00,27.9,-92.8,125,945
2020-08-27 00:00:00,28.5,-93.0,130,937
2020-08-27 03:00:00,29.1,-93.2,130,938
2020-08-27 06:00:00,29.8,-93.3,130,939
2020-08-27 09:00:00,30.5,-93.4,108,955
2020-08-27 12:00:00,31.2,-93.3,85,970
2020-08-27 15:00:00,32.0,-93.1,70,979
2020-08-27 18:00:00,32.8,-92.9,55,988
2020-08-27 21:00:00,33.6,-92.7,45,991
2020-08-28 00:00:00,34.4,-92.5,35,993
2020-08-28 03:00:00,35.0,-92.3,30,996
2020-08-28 06:00:00,35.4,-92.0,25,998
2020-08-28 09:00:00,35.8,-91.7,25,999
2020-08-28 12:00:00,36.1,-91.2,25,1000
2020-08-28 15:00:00,36.6,-90.7,25,1002
2020-08-28 18:00:00,37.0,-90.0,25,1003
2020-08-28 21:00:00,37.3,-89.1,25,1004
2020-08-29 00:00:00,37.5,-88.0,25,1004
2020-08-29 03:00:00,37.9,-86.5,23,1004
2020-08-29 06:00:00,38.3,-84.8,20,1004
