time,lat,lon,vmax,mslp
2020-08-20 18:00:00,14.1,-80.5,30,1009
2020-08-20 21:00:00,14.3,-81.2,30,1008
2020-08-21 00:00:00,14.6,-81.8,30,1007
2020-08-21 03:00:00,14.9,-82.4,30,1007
2020-08-21 06:00:00,15.3,-82.9,30,1007
2020-08-21 09:00:00,15.8,-83.3,30,1008
2020-08-21 12:00:00,16.3,-83.7,30,1008
2020-08-21 15:00:00,16.9,-84.0,30,1008
2020-08-21 18:00:00,17.4,-84.2,30,1007
2020-08-21 21:00:00,17.9,-84.4,33,1007
2020-08-22 00:00:00,18.3,-84.6,35,1006
2020-08-22 03:00:00,18.7,-84.9,38,1005
2020-08-22 06:00:00,19.2,-85.1,40,1004
2020-08-22 09:00:00,19.7,-85.2,48,999
2020-08-22 12:00:00,20.3,-85.2,55,993
2020-08-22 15:00:00,20.8,-85.3,55,993
2020-08-22 18:00:00,21.3,-85.5,55,992
2020-08-22 21:00:00,21.8,-85.8,55,993
2020-08-23 00:00:00,22.2,-86.1,55,994
2020-08-23 03:00:00,22.7,-86.4,58,994
2020-08-23 06:00:00,23.2,-86.7,60,994
2020-08-23 09:00:00,23.8,-87.0,63,993
2020-08-23 12:00:00,24.3,-87.2,65,991
2020-08-23 15:00:00,24.8,-87.3,65,992
2020-08-23 18:00:00,25.3,-87.4,65,992
2020-08-23 21:00:00,25.9,-87.5,60,995
2020-08-24 00:00:00,26.4,-87.6,55,997
2020-08-24 03:00:00,26.9,-87.7,53,1000
2020-08-24 06:00:00,27.3,-87.9,50,1003
2020-08-24 09:00:00,27.7,-88.1,48,1005
2020-08-24 12:00:00,28.1,-88.3,45,1006
2020-08-24 15:00:00,28.4,-88.4,43,1007
2020-08-24 18:00:00,28.7,-88.6,40,1007
2020-08-24 21:00:00,28.9,-88.9,38,1007
2020-08-25 00:00:00,28.9,-89.3,35,1006
2020-08-25 03:00:00,28.8,-89.9,30,1007
2020-08-25 06:00:00,28.7,-90.5,25,1008
2020-08-25 09:00:00,28.6,-91.0,23,1009
2020-08-25 12:00:00,28.6,-91.4,20,1009
2020-08-25 15:00:00,28.8,-91.8,20,1009
2020-08-25 18:00:00,29.1,-92.3,20,1009
