time,lat,lon,vmax,mslp
2020-08-30 18:00:00,30.2,-80.7,25,1011
2020-08-30 21:00:00,30.2,-80.0,25,1011
2020-08-31 00:00:00,30.2,-79.4,25,1010
2020-08-31 03:00:00,30.3,-78.8,28,1010
2020-08-31 06:00:00,30.6,-78.2,30,1009
2020-08-31 09:00:00,31.0,-77.7,30,1009
2020-08-31 12:00:00,31.5,-77.4,30,1009
2020-08-31 15:00:00,31.9,-77.1,30,1009
2020-08-31 18:00:00,32.2,-76.9,30,1008
2020-08-31 21:00:00,32.5,-76.6,30,1008
2020-09-01 00:00:00,32.9,-76.2,30,1007
2020-09-01 03:00:00,33.3,-75.6,30,1006
2020-09-01 06:00:00,33.8,-75.0,30,1005
2020-09-01 09:00:00,34.2,-74.4,33,1004
2020-09-01 12:00:00,34.6,-73.7,35,1003
2020-09-01 15:00:00,34.9,-73.0,35,1003
2020-09-01 18:00:00,35.2,-72.2,35,1003
2020-09-01 21:00:00,35.5,-71.4,35,1003
2020-09-02 00:00:00,35.8,-70.7,35,1003
2020-09-02 03:00:00,36.0,-70.0,35,1003
2020-09-02 06:00:00,36.1,-69.3,35,1003
2020-09-02 09:00:00,36.2,-68.7,35,1003
2020-09-02 12:00:00,36.2,-68.0,35,1003
2020-09-02 15:00:00,36.2,-67.2,35,1004
2020-09-02 18:00:00,36.2,-66.4,35,1004
2020-09-02 21:00:00,36.2,-65.6,33,1005
2020-09-03 00:00:00,36.2,-64.8,30,1005
2020-09-03 03:00:00,36.2,-63.9,30,1005
2020-09-03 06:00:00,36.1,-63.0,30,1005
2020-09-03 09:00:00,36.1,-62.3,30,1005
2020-09-03 12:00:00,36.1,-61.7,30,1005
2020-09-03 15:00:00,35.9,-61.1,30,1005
2020-09-03 18:00:00,35.6,-60.5,30,1005
2020-09-03 21:00:00,35.4,-60.0,30,1006
2020-09-04 00:00:00,35.3,-59.5,30,1006
2020-09-04 03:00:00,35.3,-59.1,30,1006
2020-09-04 06:00:00,35.3,-58.8,30,1006
2020-09-04 09:00:00,35.3,-58.4,30,1006
2020-09-04 12:00:00,35.3,-58.0,30,1006
2020-09-04 15:00:00,35.3,-57.7,30,1006
2020-09-04 18:00:00,35.3,-57.5,30,1006
2020-09-04 21:00:00,35.4,-57.4,30,1007
2020-09-05 00:00:00,35.5,-57.3,30,1007
2020-09-05 03:00:00,35.7,-57.3,30,1008
2020-09-05 06:00:00,36.0,-57.3,30,1008
2020-09-05 09:00:00,36.4,-57.3,30,1009
2020-09-05 12:00:00,36.8,-57.3,30,1009
2020-09-05 15:00:00,37.2,-57.2,30,1010
2020-09-05 18:00:00,37.7,-57.1,30,1010
2020-09-05 21:00:00,38.2,-57.0,30,1011
2020-09-06 00:00:00,38.8,-56.8,30,1011
2020-09-06 03:00:00,39.6,-56.3,30,1012
2020-09-06 06:00:00,40.4,-55.6,30,1012
