time,lat,lon,vmax,mslp
2020-09-01 06:00:00,15.9,-75.2,35,1006
2020-09-01 09:00:00,16.1,-76.0,38,1005
2020-09-01 12:00:00,16.3,-76.8,40,1004
2020-09-01 15:00:00,16.5,-77.6,45,1003
2020-09-01 18:00:00,16.7,-78.4,50,1002
2020-09-01 21:00:00,16.9,-79.2,50,1001
2020-09-02 00:00:00,17.0,-80.1,50,1000
2020-09-02 03:00:00,17.0,-81.0,50,999
2020-09-02 06:00:00,17.0,-81.9,50,998
2020-09-02 09:00:00,17.0,-82.8,50,998
2020-09-02 12:00:00,17.1,-83.7,50,998
2020-09-02 15:00:00,17.1,-84.5,50,998
2020-09-02 18:00:00,17.1,-85.3,50,998
2020-09-02 21:00:00,17.1,-86.1,55,996
2020-09-03 00:00:00,17.0,-86.8,60,994
2020-09-03 03:00:00,16.9,-87.5,65,994
2020-09-03 06:00:00,16.8,-88.3,65,994
2020-09-03 09:00:00,16.6,-89.0,55,998
2020-09-03 12:00:00,16.4,-89.6,45,1001
2020-09-03 15:00:00,16.2,-90.1,38,1003
2020-09-03 18:00:00,16.1,-90.5,30,1005
2020-09-03 21:00:00,16.0,-90.9,25,1006
2020-09-04 00:00:00,15.8,-91.4,20,1007
