time,lat,lon,vmax,mslp
2020-09-06 18:00:00,14.6,-18.1,25,1006
2020-09-06 21:00:00,14.7,-18.6,25,1006
2020-09-07 00:00:00,14.8,-19.0,25,1005
2020-09-07 03:00:00,15.0,-19.4,28,1005
2020-09-07 06:00:00,15.2,-19.8,30,1004
2020-09-07 09:00:00,15.4,-20.2,30,1004
2020-09-07 12:00:00,15.6,-20.7,30,1003
2020-09-07 15:00:00,15.8,-21.2,33,1003
2020-09-07 18:00:00,15.9,-21.8,35,1002
2020-09-07 21:00:00,16.0,-22.3,35,1002
2020-09-08 00:00:00,16.1,-22.9,35,1001
2020-09-08 03:00:00,16.2,-23.5,35,1001
2020-09-08 06:00:00,16.3,-24.2,35,1001
2020-09-08 09:00:00,16.3,-24.9,35,1001
2020-09-08 12:00:00,16.4,-25.7,35,1001
2020-09-08 15:00:00,16.5,-26.4,33,1002
2020-09-08 18:00:00,16.6,-27.1,30,1003
2020-09-08 21:00:00,16.7,-27.9,30,1004
2020-09-09 00:00:00,16.8,-28.6,30,1004
2020-09-09 03:00:00,16.9,-29.3,30,1004
2020-09-09 06:00:00,17.1,-30.0,30,1004
2020-09-09 09:00:00,17.2,-30.6,33,1004
2020-09-09 12:00:00,17.3,-31.2,35,1003
2020-09-09 15:00:00,17.4,-31.8,35,1003
2020-09-09 18:00:00,17.6,-32.4,35,1003
2020-09-09 21:00:00,17.8,-33.0,35,1003
2020-09-10 00:00:00,17.9,-33.5,35,1003
2020-09-10 03:00:00,18.0,-34.0,35,1003
2020-09-10 06:00:00,18.1,-34.4,35,1003
2020-09-10 09:00:00,18.2,-34.8,38,1003
2020-09-10 12:00:00,18.4,-35.3,40,1002
2020-09-10 15:00:00,18.6,-35.8,40,1002
2020-09-10 18:00:00,18.8,-36.3,40,1002
2020-09-10 21:00:00,18.9,-36.8,38,1003
2020-09-11 00:00:00,19.1,-37.2,35,1003
2020-09-11 03:00:00,19.3,-37.7,35,1003
2020-09-11 06:00:00,19.5,-38.2,35,1003
2020-09-11 09:00:00,19.7,-38.7,35,1004
2020-09-11 12:00:00,19.9,-39.3,35,1004
2020-09-11 15:00:00,20.1,-39.9,35,1004
2020-09-11 18:00:00,20.4,-40.6,35,1004
2020-09-11 21:00:00,20.7,-41.2,35,1004
2020-09-12 00:00:00,21.1,-41.8,35,1004
2020-09-12 03:00:00,21.5,-42.4,35,1004
2020-09-12 06:00:00,21.9,-42.9,35,1004
2020-09-12 09:00:00,22.3,-43.5,33,1005
2020-09-12 12:00:00,22.8,-44.0,30,1006
2020-09-12 15:00:00,23.2,-44.5,30,1007
2020-09-12 18:00:00,23.7,-45.0,30,1007
2020-09-12 21:00:00,24.2,-45.5,30,1008
2020-09-13 00:00:00,24.7,-46.0,30,1008
2020-09-13 03:00:00,25.3,-46.5,30,1009
2020-09-13 06:00:00,25.8,-46.9,30,1009
2020-09-13 09:00:00,26.3,-47.2,30,1009
2020-09-13 12:00:00,26.7,-47.3,30,1009
2020-09-13 15:00:00,27.1,-47.4,28,1009
2020-09-13 18:00:00,27.4,-47.5,25,1009
2020-09-13 21:00:00,27.5,-47.7,25,1009
2020-09-14 00:00:00,27.5,-47.8,25,1009
2020-09-14 03:00:00,27.6,-47.9,25,1009
2020-09-14 06:00:00,27.6,-48.0,25,1009
2020-09-14 09:00:00,27.6,-48.2,25,1009
2020-09-14 12:00:00,27.5,-48.4,25,1009
