time,lat,lon,vmax,mslp
2020-09-07 00:00:00,16.9,-41.3,30,1006
2020-09-07 03:00:00,17.0,-41.6,30,1006
2020-09-07 06:00:00,17.0,-41.8,30,1006
2020-09-07 09:00:00,17.0,-42.0,33,1006
2020-09-07 12:00:00,17.1,-42.1,35,1005
2020-09-07 15:00:00,17.2,-42.2,35,1005
2020-09-07 18:00:00,17.3,-42.3,35,1005
2020-09-07 21:00:00,17.4,-42.4,38,1005
2020-09-08 00:00:00,17.6,-42.4,40,1004
2020-09-08 03:00:00,17.7,-42.5,43,1002
2020-09-08 06:00:00,17.9,-42.6,45,1000
2020-09-08 09:00:00,18.1,-42.8,48,999
2020-09-08 12:00:00,18.3,-43.0,50,997
2020-09-08 15:00:00,18.5,-43.3,50,997
2020-09-08 18:00:00,18.6,-43.7,50,997
2020-09-08 21:00:00,18.8,-44.1,50,997
2020-09-09 00:00:00,18.9,-44.5,50,997
2020-09-09 03:00:00,19.0,-44.9,50,997
2020-09-09 06:00:00,19.2,-45.2,50,997
2020-09-09 09:00:00,19.4,-45.6,50,997
2020-09-09 12:00:00,19.6,-46.0,50,996
2020-09-09 15:00:00,19.8,-46.4,50,996
2020-09-09 18:00:00,20.0,-46.8,50,996
2020-09-09 21:00:00,20.2,-47.2,50,996
2020-09-10 00:00:00,20.4,-47.6,50,996
2020-09-10 03:00:00,20.6,-48.0,50,996
2020-09-10 06:00:00,20.8,-48.3,50,996
2020-09-10 09:00:00,21.0,-48.6,48,997
2020-09-10 12:00:00,21.3,-48.9,45,998
2020-09-10 15:00:00,21.5,-49.2,45,998
2020-09-10 18:00:00,21.8,-49.6,45,998
2020-09-10 21:00:00,22.0,-49.9,48,996
2020-09-11 00:00:00,22.3,-50.3,50,994
2020-09-11 03:00:00,22.5,-50.7,53,993
2020-09-11 06:00:00,22.8,-51.1,55,991
2020-09-11 09:00:00,23.1,-51.6,55,991
2020-09-11 12:00:00,23.4,-52.1,55,990
2020-09-11 15:00:00,23.8,-52.6,55,990
2020-09-11 18:00:00,24.3,-53.1,55,989
2020-09-11 21:00:00,24.8,-53.7,58,988
2020-09-12 00:00:00,25.4,-54.3,60,987
2020-09-12 03:00:00,25.9,-55.0,60,987
2020-09-12 06:00:00,26.4,-55.6,60,986
2020-09-12 09:00:00,26.9,-56.2,60,986
2020-09-12 12:00:00,27.3,-56.7,60,985
2020-09-12 15:00:00,27.7,-57.2,60,985
2020-09-12 18:00:00,28.0,-57.8,60,984
2020-09-12 21:00:00,28.3,-58.4,63,983
2020-09-13 00:00:00,28.6,-59.1,65,981
2020-09-13 03:00:00,28.9,-59.7,65,981
2020-09-13 06:00:00,29.1,-60.3,65,980
2020-09-13 09:00:00,29.3,-60.9,68,978
2020-09-13 12:00:00,29.6,-61.4,70,976
2020-09-13 15:00:00,29.9,-62.0,73,975
2020-09-13 18:00:00,30.2,-62.6,75,974
2020-09-13 21:00:00,30.5,-63.1,75,974
2020-09-14 00:00:00,30.9,-63.6,75,974
2020-09-14 03:00:00,31.3,-64.0,78,974
2020-09-14 06:00:00,31.8,-64.4,80,973
2020-09-14 08:50:00,32.3,-64.7,85,971
