time,lat,lon,vmax,mslp
2020-09-11 18:00:00,25.4,-78.6,30,1007
2020-09-11 21:00:00,25.5,-79.0,30,1006
2020-09-12 00:00:00,25.6,-79.4,30,1004
2020-09-12 03:00:00,25.6,-79.8,30,1004
2020-09-12 06:00:00,25.6,-80.2,30,1003
2020-09-12 09:00:00,25.5,-80.5,33,1003
2020-09-12 12:00:00,25.5,-80.8,35,1003
2020-09-12 15:00:00,25.5,-81.2,35,1003
2020-09-12 18:00:00,25.6,-81.6,35,1003
2020-09-12 21:00:00,25.8,-82.0,35,1003
2020-09-13 00:00:00,26.0,-82.5,35,1003
2020-09-13 03:00:00,26.3,-83.0,40,1002
2020-09-13 06:00:00,26.7,-83.5,45,1001
2020-09-13 09:00:00,27.0,-84.0,48,999
2020-09-13 12:00:00,27.2,-84.5,50,996
2020-09-13 15:00:00,27.4,-85.0,50,996
2020-09-13 18:00:00,27.6,-85.4,50,996
2020-09-13 21:00:00,27.8,-85.7,50,996
2020-09-14 00:00:00,27.9,-86.0,50,996
2020-09-14 03:00:00,28.1,-86.3,53,996
2020-09-14 06:00:00,28.2,-86.5,55,996
2020-09-14 09:00:00,28.3,-86.7,60,994
2020-09-14 12:00:00,28.4,-86.9,65,991
2020-09-14 15:00:00,28.5,-87.1,70,989
2020-09-14 18:00:00,28.6,-87.3,75,986
2020-09-14 21:00:00,28.7,-87.5,75,986
2020-09-15 00:00:00,28.7,-87.7,75,986
2020-09-15 03:00:00,28.7,-87.9,73,985
2020-09-15 06:00:00,28.8,-88.0,70,984
2020-09-15 09:00:00,28.9,-88.1,70,983
2020-09-15 12:00:00,29.0,-88.1,70,982
2020-09-15 15:00:00,29.1,-88.1,70,982
2020-09-15 18:00:00,29.3,-88.1,70,981
2020-09-15 21:00:00,29.5,-88.1,73,978
2020-09-16 00:00:00,29.6,-88.0,75,975
2020-09-16 03:00:00,29.7,-88.0,85,971
2020-09-16 06:00:00,29.9,-87.9,95,967
2020-09-16 09:00:00,30.2,-87.7,95,965
2020-09-16 09:45:00,30.3,-87.7,95,965
2020-09-16 12:00:00,30.5,-87.6,85,967
2020-09-16 15:00:00,30.8,-87.4,73,975
2020-09-16 18:00:00,31.1,-87.2,60,982
2020-09-16 21:00:00,31.4,-87.0,48,988
2020-09-17 00:00:00,31.6,-86.7,35,994
2020-09-17 03:00:00,31.8,-86.4,33,997
2020-09-17 06:00:00,32.1,-86.1,30,1000
2020-09-17 09:00:00,32.3,-85.7,30,1002
2020-09-17 12:00:00,32.6,-85.2,30,1003
2020-09-17 15:00:00,32.9,-84.5,30,1004
2020-09-17 18:00:00,33.2,-83.8,30,1004
2020-09-17 21:00:00,33.5,-83.1,30,1004
2020-09-18 00:00:00,33.7,-82.3,30,1004
2020-09-18 03:00:00,33.9,-81.5,30,1005
2020-09-18 06:00:00,34.1,-80.8,30,1005
