time,lat,lon,vmax,mslp
2020-09-14 12:00:00,47.2,-22.0,40,1002
2020-09-14 15:00:00,47.2,-22.1,45,999
2020-09-14 18:00:00,47.2,-22.2,50,996
2020-09-14 21:00:00,47.2,-22.3,55,994
2020-09-15 00:00:00,47.0,-22.4,60,992
2020-09-15 03:00:00,46.6,-22.5,60,993
2020-09-15 06:00:00,46.0,-22.5,60,994
2020-09-15 09:00:00,45.5,-22.4,55,995
2020-09-15 12:00:00,45.0,-22.1,50,996
2020-09-15 15:00:00,44.4,-21.8,48,997
2020-09-15 18:00:00,43.9,-21.4,45,998
2020-09-15 21:00:00,43.4,-21.0,43,999
2020-09-16 00:00:00,42.9,-20.5,40,1000
2020-09-16 03:00:00,42.4,-20.1,40,1000
2020-09-16 06:00:00,41.9,-19.8,40,1000
2020-09-16 09:00:00,41.4,-19.6,40,1000
2020-09-16 12:00:00,40.9,-19.5,40,1000
2020-09-16 15:00:00,40.4,-19.4,40,1000
2020-09-16 18:00:00,39.9,-19.3,40,1000
2020-09-16 21:00:00,39.4,-19.1,38,1001
2020-09-17 00:00:00,38.9,-18.9,35,1002
2020-09-17 03:00:00,38.6,-18.5,35,1002
2020-09-17 06:00:00,38.3,-18.1,35,1002
2020-09-17 09:00:00,38.0,-17.8,35,1002
2020-09-17 12:00:00,37.7,-17.3,35,1002
2020-09-17 15:00:00,37.2,-16.6,38,1001
2020-09-17 18:00:00,36.7,-15.6,40,999
2020-09-17 21:00:00,36.5,-14.3,43,998
2020-09-18 00:00:00,36.7,-13.1,45,996
2020-09-18 03:00:00,37.2,-12.1,45,996
2020-09-18 06:00:00,37.9,-11.4,45,996
2020-09-18 09:00:00,38.4,-10.8,45,996
2020-09-18 12:00:00,38.9,-10.3,45,996
2020-09-18 15:00:00,39.4,-9.8,45,996
2020-09-18 18:00:00,39.9,-9.1,45,996
2020-09-18 18:40:00,40.0,-8.9,45,996
2020-09-18 21:00:00,40.3,-8.3,38,999
2020-09-19 00:00:00,40.6,-7.6,30,1004
