time,lat,lon,vmax,mslp
2020-09-17 00:00:00,10.2,-25.0,25,1009
2020-09-17 03:00:00,10.2,-25.4,25,1009
2020-09-17 06:00:00,10.3,-25.9,25,1009
2020-09-17 09:00:00,10.4,-26.4,28,1009
2020-09-17 12:00:00,10.5,-27.0,30,1008
2020-09-17 15:00:00,10.6,-27.5,33,1008
2020-09-17 18:00:00,10.8,-28.1,35,1007
2020-09-17 21:00:00,10.9,-28.7,35,1007
2020-09-18 00:00:00,11.1,-29.3,35,1006
2020-09-18 03:00:00,11.2,-29.9,35,1006
2020-09-18 06:00:00,11.4,-30.6,35,1006
2020-09-18 09:00:00,11.5,-31.3,35,1006
2020-09-18 12:00:00,11.7,-32.0,35,1006
2020-09-18 15:00:00,11.8,-32.7,35,1006
2020-09-18 18:00:00,12.0,-33.5,35,1006
2020-09-18 21:00:00,12.2,-34.3,35,1006
2020-09-19 00:00:00,12.4,-35.0,35,1006
2020-09-19 03:00:00,12.6,-35.6,35,1006
2020-09-19 06:00:00,12.8,-36.2,35,1006
2020-09-19 09:00:00,13.0,-36.8,35,1006
2020-09-19 12:00:00,13.2,-37.3,35,1006
2020-09-19 15:00:00,13.4,-37.9,35,1006
2020-09-19 18:00:00,13.7,-38.5,35,1006
2020-09-19 21:00:00,14.0,-39.2,35,1007
2020-09-20 00:00:00,14.3,-39.9,35,1007
2020-09-20 03:00:00,14.6,-40.7,35,1007
2020-09-20 06:00:00,14.9,-41.5,35,1007
2020-09-20 09:00:00,15.2,-42.3,33,1008
2020-09-20 12:00:00,15.4,-43.2,30,1008
2020-09-20 15:00:00,15.6,-44.1,30,1009
2020-09-20 18:00:00,15.8,-45.0,30,1009
2020-09-20 21:00:00,15.8,-45.9,30,1009
2020-09-21 00:00:00,15.8,-46.7,30,1009
