time,lat,lon,vmax,mslp
2020-09-17 06:00:00,21.1,-94.9,30,1007
2020-09-17 09:00:00,21.3,-94.8,30,1007
2020-09-17 12:00:00,21.5,-94.7,30,1007
2020-09-17 15:00:00,21.7,-94.6,30,1006
2020-09-17 18:00:00,21.8,-94.4,30,1005
2020-09-17 21:00:00,21.9,-94.3,30,1005
2020-09-18 00:00:00,22.0,-94.2,30,1005
2020-09-18 03:00:00,22.3,-94.2,30,1005
2020-09-18 06:00:00,22.6,-94.1,30,1005
2020-09-18 09:00:00,22.9,-94.0,30,1005
2020-09-18 12:00:00,23.2,-93.8,30,1005
2020-09-18 15:00:00,23.6,-93.5,35,1004
2020-09-18 18:00:00,24.1,-93.1,40,1003
2020-09-18 21:00:00,24.7,-92.6,45,1002
2020-09-19 00:00:00,25.2,-92.3,50,1000
2020-09-19 03:00:00,25.5,-92.2,50,998
2020-09-19 06:00:00,25.8,-92.3,50,996
2020-09-19 09:00:00,26.1,-92.4,50,995
2020-09-19 12:00:00,26.4,-92.4,50,994
2020-09-19 15:00:00,26.5,-92.3,50,995
2020-09-19 18:00:00,26.6,-92.2,50,995
2020-09-19 21:00:00,26.7,-92.1,50,996
2020-09-20 00:00:00,26.8,-92.1,50,997
2020-09-20 03:00:00,26.9,-92.3,50,998
2020-09-20 06:00:00,26.9,-92.5,50,998
2020-09-20 09:00:00,27.0,-92.6,50,997
2020-09-20 12:00:00,27.1,-92.8,50,996
2020-09-20 15:00:00,27.3,-93.2,53,996
2020-09-20 18:00:00,27.5,-93.6,55,996
2020-09-20 21:00:00,27.5,-93.9,53,995
2020-09-21 00:00:00,27.5,-94.1,50,993
2020-09-21 03:00:00,27.5,-94.4,48,994
2020-09-21 06:00:00,27.6,-94.8,45,995
2020-09-21 09:00:00,27.7,-95.2,45,996
2020-09-21 12:00:00,27.8,-95.5,45,997
2020-09-21 15:00:00,27.9,-95.8,43,998
2020-09-21 18:00:00,28.1,-96.0,40,999
2020-09-21 21:00:00,28.2,-96.2,43,999
2020-09-22 00:00:00,28.3,-96.3,45,998
2020-09-22 02:45:00,28.4,-96.4,45,997
2020-09-22 03:00:00,28.4,-96.4,45,997
2020-09-22 06:00:00,28.6,-96.6,40,999
2020-09-22 09:00:00,28.7,-96.8,38,1001
2020-09-22 12:00:00,28.8,-96.8,35,1002
2020-09-22 15:00:00,28.9,-96.7,30,1004
2020-09-22 18:00:00,28.9,-96.5,25,1006
2020-09-22 21:00:00,28.9,-96.2,25,1007
2020-09-23 00:00:00,29.0,-95.8,25,1007
2020-09-23 03:00:00,29.2,-95.6,25,1007
2020-09-23 06:00:00,29.4,-95.4,25,1007
2020-09-23 09:00:00,29.7,-95.0,25,1007
2020-09-23 12:00:00,30.0,-94.6,25,1007
2020-09-23 15:00:00,30.2,-94.2,25,1007
2020-09-23 18:00:00,30.3,-93.8,25,1006
2020-09-23 21:00:00,30.5,-93.1,25,1006
2020-09-24 00:00:00,30.8,-92.4,25,1005
2020-09-24 03:00:00,31.2,-91.9,25,1005
2020-09-24 06:00:00,31.6,-91.5,25,1004
2020-09-24 09:00:00,32.0,-91.1,25,1004
2020-09-24 12:00:00,32.4,-90.6,25,1003
2020-09-24 15:00:00,32.7,-89.9,23,1006
2020-09-24 18:00:00,33.0,-89.1,20,1008
2020-09-24 21:00:00,33.3,-88.3,20,1009
2020-09-25 00:00:00,33.6,-87.6,20,1009
2020-09-25 03:00:00,33.9,-87.0,18,1010
2020-09-25 06:00:00,34.1,-86.5,15,1010
