time,lat,lon,vmax,mslp
2020-10-02 00:00:00,16.6,-83.3,30,1006
2020-10-02 03:00:00,16.9,-83.6,30,1006
2020-10-02 06:00:00,17.2,-83.9,30,1006
2020-10-02 09:00:00,17.5,-84.2,30,1006
2020-10-02 12:00:00,17.8,-84.4,30,1005
2020-10-02 15:00:00,18.1,-84.7,33,1004
2020-10-02 18:00:00,18.4,-85.0,35,1002
2020-10-02 21:00:00,18.6,-85.4,38,1000
2020-10-03 00:00:00,18.8,-85.8,40,998
2020-10-03 03:00:00,19.0,-86.2,43,997
2020-10-03 06:00:00,19.2,-86.6,45,995
2020-10-03 09:00:00,19.4,-86.9,50,991
2020-10-03 12:00:00,19.7,-87.1,55,986
2020-10-03 15:00:00,20.0,-87.3,61,981
2020-10-03 16:45:00,20.2,-87.4,65,978
2020-10-03 18:00:00,20.4,-87.5,60,980
2020-10-03 21:00:00,20.7,-87.7,55,986
2020-10-04 00:00:00,21.0,-87.9,50,991
2020-10-04 03:00:00,21.4,-88.1,48,994
2020-10-04 06:00:00,21.8,-88.2,45,997
2020-10-04 09:00:00,22.1,-88.2,48,996
2020-10-04 12:00:00,22.3,-88.1,50,995
2020-10-04 15:00:00,22.5,-87.9,53,995
2020-10-04 18:00:00,22.7,-87.7,55,994
2020-10-04 21:00:00,22.8,-87.5,53,996
2020-10-05 00:00:00,22.9,-87.4,50,998
2020-10-05 03:00:00,22.9,-87.4,48,999
2020-10-05 06:00:00,22.8,-87.4,45,999
2020-10-05 09:00:00,22.7,-87.4,43,1000
2020-10-05 12:00:00,22.6,-87.5,40,1001
2020-10-05 15:00:00,22.5,-87.7,35,1003
2020-10-05 18:00:00,22.3,-87.9,30,1005
2020-10-05 21:00:00,22.1,-88.0,30,1005
2020-10-06 00:00:00,21.9,-88.2,30,1005
2020-10-06 03:00:00,21.6,-88.4,30,1005
2020-10-06 06:00:00,21.3,-88.5,30,1005
2020-10-06 09:00:00,21.0,-88.5,28,1006
2020-10-06 12:00:00,20.6,-88.5,25,1007
