time,lat,lon,vmax,mslp
2020-10-04 18:00:00,16.4,-76.2,30,1006
2020-10-04 21:00:00,16.4,-76.6,30,1006
2020-10-05 00:00:00,16.4,-77.0,30,1006
2020-10-05 03:00:00,16.4,-77.4,30,1006
2020-10-05 06:00:00,16.4,-77.7,30,1006
2020-10-05 09:00:00,16.4,-78.1,35,1005
2020-10-05 12:00:00,16.4,-78.4,40,1004
2020-10-05 15:00:00,16.4,-78.8,48,995
2020-10-05 18:00:00,16.4,-79.1,55,985
2020-10-05 21:00:00,16.5,-79.4,60,983
2020-10-06 00:00:00,16.6,-79.8,65,980
2020-10-06 03:00:00,16.8,-80.2,70,977
2020-10-06 06:00:00,17.1,-80.7,75,973
2020-10-06 09:00:00,17.4,-81.3,88,966
2020-10-06 12:00:00,17.8,-82.0,100,959
2020-10-06 15:00:00,18.1,-82.7,110,956
2020-10-06 18:00:00,18.5,-83.3,120,953
2020-10-06 21:00:00,18.9,-84.0,110,958
2020-10-07 00:00:00,19.3,-84.6,100,962
2020-10-07 03:00:00,19.7,-85.2,95,965
2020-10-07 06:00:00,20.1,-85.9,90,968
2020-10-07 09:00:00,20.5,-86.5,90,970
2020-10-07 10:30:00,20.8,-86.9,90,971
2020-10-07 12:00:00,21.1,-87.4,85,973
2020-10-07 15:00:00,21.5,-88.2,80,976
2020-10-07 18:00:00,21.7,-88.8,75,978
2020-10-07 21:00:00,22.0,-89.5,78,976
2020-10-08 00:00:00,22.3,-90.2,80,973
2020-10-08 03:00:00,22.6,-90.8,83,973
2020-10-08 06:00:00,23.0,-91.4,85,973
2020-10-08 09:00:00,23.3,-91.9,88,971
2020-10-08 12:00:00,23.7,-92.4,90,969
2020-10-08 15:00:00,24.1,-92.8,95,965
2020-10-08 18:00:00,24.5,-93.1,100,960
2020-10-08 21:00:00,24.9,-93.3,103,957
2020-10-09 00:00:00,25.3,-93.5,105,953
2020-10-09 03:00:00,25.8,-93.6,105,953
2020-10-09 06:00:00,26.3,-93.7,105,953
2020-10-09 09:00:00,26.9,-93.8,103,956
2020-10-09 12:00:00,27.5,-93.8,100,958
2020-10-09 15:00:00,28.1,-93.8,95,962
2020-10-09 18:00:00,28.7,-93.6,90,966
2020-10-09 21:00:00,29.3,-93.4,87,968
2020-10-09 23:00:00,29.8,-93.1,85,970
2020-10-10 00:00:00,30.1,-92.9,75,971
2020-10-10 03:00:00,30.8,-92.5,63,978
2020-10-10 06:00:00,31.4,-92.2,50,985
2020-10-10 09:00:00,32.0,-91.8,43,989
2020-10-10 12:00:00,32.5,-91.4,35,993
2020-10-10 15:00:00,32.9,-91.0,30,996
2020-10-10 18:00:00,33.3,-90.6,25,998
2020-10-10 21:00:00,33.6,-90.1,25,1000
2020-10-11 00:00:00,33.9,-89.6,25,1002
2020-10-11 03:00:00,34.2,-89.1,25,1003
2020-10-11 06:00:00,34.4,-88.6,25,1004
2020-10-11 09:00:00,34.6,-88.1,23,1005
2020-10-11 12:00:00,34.8,-87.5,20,1005
2020-10-11 15:00:00,35.0,-86.9,20,1006
2020-10-11 18:00:00,35.1,-86.3,20,1007
