time,lat,lon,vmax,mslp
2020-10-16 12:00:00,31.5,-54.9,20,1013
2020-10-16 15:00:00,31.4,-55.0,23,1012
2020-10-16 18:00:00,31.2,-55.1,25,1011
2020-10-16 21:00:00,31.0,-55.3,28,1010
2020-10-17 00:00:00,30.9,-55.5,30,1009
2020-10-17 03:00:00,30.8,-55.7,30,1009
2020-10-17 06:00:00,30.7,-55.9,30,1009
2020-10-17 09:00:00,30.5,-56.1,30,1009
2020-10-17 12:00:00,30.3,-56.2,30,1008
2020-10-17 15:00:00,30.0,-56.3,30,1008
2020-10-17 18:00:00,29.7,-56.3,30,1008
2020-10-17 21:00:00,29.3,-56.3,30,1007
2020-10-18 00:00:00,28.9,-56.3,30,1006
2020-10-18 03:00:00,28.5,-56.3,30,1005
2020-10-18 06:00:00,28.1,-56.3,30,1004
2020-10-18 09:00:00,27.7,-56.3,30,1004
2020-10-18 12:00:00,27.3,-56.4,30,1004
2020-10-18 15:00:00,26.8,-56.5,30,1004
2020-10-18 18:00:00,26.4,-56.6,30,1003
2020-10-18 21:00:00,26.0,-56.5,30,1003
2020-10-19 00:00:00,25.7,-56.3,30,1003
2020-10-19 03:00:00,25.6,-56.1,30,1003
2020-10-19 06:00:00,25.5,-55.9,30,1003
2020-10-19 09:00:00,25.4,-55.7,33,1002
2020-10-19 12:00:00,25.4,-55.6,35,1000
2020-10-19 15:00:00,25.3,-55.5,38,999
2020-10-19 18:00:00,25.3,-55.4,40,998
2020-10-19 21:00:00,25.2,-55.3,40,998
2020-10-20 00:00:00,25.2,-55.2,40,998
2020-10-20 03:00:00,25.3,-55.1,43,997
2020-10-20 06:00:00,25.5,-54.9,45,996
2020-10-20 09:00:00,25.8,-54.7,48,995
2020-10-20 12:00:00,26.2,-54.7,50,994
2020-10-20 15:00:00,26.7,-54.9,53,993
2020-10-20 18:00:00,27.3,-55.3,55,992
2020-10-20 21:00:00,27.9,-55.7,60,990
2020-10-21 00:00:00,28.3,-56.3,65,987
2020-10-21 03:00:00,28.6,-57.0,70,982
2020-10-21 06:00:00,28.7,-57.7,75,976
2020-10-21 09:00:00,28.8,-58.2,80,972
2020-10-21 12:00:00,28.9,-58.7,85,968
2020-10-21 15:00:00,29.1,-59.2,93,962
2020-10-21 18:00:00,29.3,-59.6,100,955
2020-10-21 21:00:00,29.4,-60.0,100,954
2020-10-22 00:00:00,29.5,-60.4,100,952
2020-10-22 03:00:00,29.8,-60.7,95,955
2020-10-22 06:00:00,30.2,-60.9,90,958
2020-10-22 09:00:00,30.5,-61.1,85,962
2020-10-22 12:00:00,30.8,-61.3,80,965
2020-10-22 15:00:00,31.1,-61.4,78,967
2020-10-22 18:00:00,31.5,-61.5,75,968
2020-10-22 21:00:00,31.8,-61.6,75,968
2020-10-23 00:00:00,32.2,-61.6,75,968
2020-10-23 03:00:00,32.5,-61.6,75,968
2020-10-23 06:00:00,32.9,-61.6,75,968
2020-10-23 09:00:00,33.3,-61.6,75,967
2020-10-23 12:00:00,33.7,-61.6,75,966
2020-10-23 15:00:00,34.3,-61.6,75,965
2020-10-23 18:00:00,34.9,-61.7,75,964
2020-10-23 21:00:00,35.5,-61.8,75,963
2020-10-24 00:00:00,36.1,-62.0,75,962
2020-10-24 03:00:00,36.5,-62.1,75,960
2020-10-24 06:00:00,36.8,-62.1,75,957
2020-10-24 09:00:00,37.1,-61.8,75,957
2020-10-24 12:00:00,37.4,-61.3,75,957
2020-10-24 15:00:00,37.9,-60.6,73,959
2020-10-24 18:00:00,38.6,-59.7,70,960
2020-10-24 21:00:00,39.4,-58.7,68,961
2020-10-25 00:00:00,40.3,-57.6,65,962
2020-10-25 03:00:00,41.2,-56.5,65,963
2020-10-25 06:00:00,42.0,-55.2,65,963
2020-10-25 09:00:00,42.6,-53.7,65,964
2020-10-25 12:00:00,43.3,-51.8,65,964
2020-10-25 15:00:00,44.1,-49.5,63,965
2020-10-25 18:00:00,45.0,-46.9,60,966
2020-10-25 21:00:00,46.0,-44.2,60,967
2020-10-26 00:00:00,47.2,-41.2,60,968
2020-10-26 03:00:00,48.3,-38.0,60,969
2020-10-26 06:00:00,49.5,-34.7,60,969
2020-10-26 09:00:00,50.8,-31.6,60,967
2020-10-26 12:00:00,52.1,-28.5,60,964
