time,lat,lon,vmax,mslp
2020-10-24 12:00:00,18.4,-82.6,25,1007
2020-10-24 15:00:00,18.3,-82.8,28,1007
2020-10-24 18:00:00,18.2,-83.0,30,1006
2020-10-24 21:00:00,18.1,-83.1,33,1006
2020-10-25 00:00:00,18.0,-83.2,35,1005
2020-10-25 03:00:00,17.8,-83.4,38,1005
2020-10-25 06:00:00,17.7,-83.5,40,1004
2020-10-25 09:00:00,17.7,-83.6,43,1004
2020-10-25 12:00:00,17.8,-83.6,45,1003
2020-10-25 15:00:00,17.9,-83.6,48,1002
2020-10-25 18:00:00,18.0,-83.7,50,1000
2020-10-25 21:00:00,18.1,-83.7,53,998
2020-10-26 00:00:00,18.2,-83.8,55,996
2020-10-26 03:00:00,18.3,-83.9,60,995
2020-10-26 06:00:00,18.5,-84.1,65,993
2020-10-26 09:00:00,18.7,-84.4,65,992
2020-10-26 12:00:00,18.9,-84.8,65,990
2020-10-26 15:00:00,19.1,-85.2,68,987
2020-10-26 18:00:00,19.4,-85.7,70,984
2020-10-26 21:00:00,19.6,-86.1,70,982
2020-10-27 00:00:00,19.9,-86.6,70,980
2020-10-27 03:00:00,20.3,-87.2,74,978
2020-10-27 03:55:00,20.4,-87.4,75,977
2020-10-27 06:00:00,20.6,-87.9,65,981
2020-10-27 09:00:00,20.9,-88.5,63,983
2020-10-27 12:00:00,21.3,-89.0,60,985
2020-10-27 15:00:00,21.7,-89.5,58,987
2020-10-27 18:00:00,22.2,-90.0,55,988
2020-10-27 21:00:00,22.7,-90.4,55,989
2020-10-28 00:00:00,23.2,-90.8,55,990
2020-10-28 03:00:00,23.8,-91.2,60,987
2020-10-28 06:00:00,24.4,-91.5,65,984
2020-10-28 09:00:00,25.1,-91.7,73,981
2020-10-28 12:00:00,26.0,-91.7,80,978
2020-10-28 15:00:00,26.9,-91.5,88,976
2020-10-28 18:00:00,28.0,-91.1,95,973
2020-10-28 21:00:00,29.2,-90.6,100,970
2020-10-29 00:00:00,30.2,-89.9,85,973
2020-10-29 03:00:00,31.4,-88.9,73,980
2020-10-29 06:00:00,32.8,-87.5,60,986
2020-10-29 09:00:00,34.1,-85.8,53,988
2020-10-29 12:00:00,35.3,-83.6,45,990
2020-10-29 15:00:00,36.6,-81.1,45,991
2020-10-29 18:00:00,37.8,-78.2,45,992
2020-10-29 21:00:00,38.7,-75.0,45,993
2020-10-30 00:00:00,39.5,-71.7,45,993
